id,prompt,pred,true_label
45258d3d-b974-44dd-a161-c3fccbdadd88,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: In the experiment , between 30 to 40 percent of the muscle fibers in one group of mice produced dystrophin for two weeks before diminishing . 
 Label: IN DT NN , IN CD TO CD NN IN DT NN NNS IN CD NN IN NNS VBD NN IN CD NNS IN VBG .
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Which of the following is not true for myelinated nerve fibers: 
A. Impulse through myelinated fibers is slower than non-myelinated fibers 
B. Membrane currents are generated at nodes of Ranvier 
C. Saltatory conduction of impulses is seen 
D. Local anesthesia is effective only when the nerve is not covered by myelin sheath 
 Answer:", D ,A
406b5b4f-9ad4-42c0-9669-12d038df4ac8,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: The following table shows total flown air cargo volumes in tonnes handled at international German airports January-July 1996 . 
 Label: DT VBG NN VBZ JJ VBN NN NN NNS IN NNS VBN IN JJ JJ NNS JJ CD .
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Highest concentration of oxygen is delivered through? 
A. Nasal cannula 
B. Venturi mask 
C. Bag and mask 
D. Mask with reservoir 
 Answer:", B ,C
8b9a0e04-4281-418a-aa94-7414a325732f,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: That 's about 1/2 inch above the average for the same time period , according to Howard Johnson , associate state climatologist at the University of Oklahoma . 
 Label: DT VBZ IN CD NN IN DT NN IN DT JJ NN NN , VBG TO NNP NNP , JJ NN NN IN DT NNP IN NNP .
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as 
A. Average 
B. High 
C. Incomplete 
D. Low 
 Answer:", C ,D
a3da135a-a6a2-4e1c-8823-8ab0913f5668,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: , at midday and told doctors that she had been paralysed by the disease . 
 Label: , IN NN CC VBD NNS IN PRP VBD VBN VBN IN DT NN .
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person? 
A. Neostigmine 
B. Atropine 
C. Flumazenil 
D. Physostigmine 
 Answer:", C ,B
7627eb54-4499-45d0-ba1f-1c8dbc6f2342,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Primary iron output was 297,700 tonnes , 14.5 percent more than last July and 0.1 percent more than in June . 
 Label: JJ NN NN VBD CD NNS , CD NN RBR IN JJ NNP CC CD NN RBR IN IN NNP .
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Iron is present in all, EXCEPT 
A. Myoglobin 
B. Cytochrome 
C. Catalase 
D. Pyruvate kinase 
 Answer:", C ,D
685afed9-5dfa-4383-9001-50148cf6cb99,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Showers and rain 0.25-1.00 inch ( 6-25 mm ) and locally heavier through most of central and south central India , up to 0.75 inch ( 19 mm ) in 75 percent of north central India , and only isolated up to 0.50 inch ( 13 mm ) elsewhere over India . 
 Label: NN CC NN CD NN ( CD NN ) CC RB JJR IN JJS IN JJ CC RB DT NNP , IN TO CD NN ( CD NN ) IN CD NN IN JJ JJ NNP , CC RB VBN RB TO CD NN ( CD NN ) RB IN NNP .
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Anti monsoon curve seen in : 
A. Premolar 
B. Molar 
C. Anterior 
D. All of the above. 
 Answer:", D ,D
e726a65e-0874-481f-b20e-717b951a7b73,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: In the experiment , between 30 to 40 percent of the muscle fibers in one group of mice produced dystrophin for two weeks before diminishing . 
 Label: IN DT NN , IN CD TO CD NN IN DT NN NNS IN CD NN IN NNS VBD NN IN CD NNS IN VBG .
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Increase in height of mandible with increase in interdental spaces in elderly man 
A. Hyperpituitarism 
B. Hyperthyroidism 
C. Hypopituitarism 
D. Hyperparathyroidism 
 Answer:", C ,A
0190a0f3-416a-4d56-a172-7738b023fd28,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Both drugs are types of interferon . 
 Label: DT NNS VBP NNS IN NN .
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:A patient has seasonal allergic rhinitis and is on terfenadine. He develops cardiac arrhythmias after a course of antibiotics. Which of the following antibiotic could have been given: 
A. Ampicillin 
B. Tetracycline 
C. Erythromycin 
D. Co-trimoxazole 
 Answer:", C ,C
f2ed694c-991d-40e5-a191-25c076168ea6,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: IPO FILING - Transkaryotic Therapies Inc . 
 Label: NN NN : NNP NNPS NNP .
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Biofilm forming bacteria causes antimicrobial resist-ance by all of the following except: 
A. Mechanical barrier 
B. Increased excretion of antibiotics 
C. Altered metabolism 
D. Adherence 
 Answer:", A ,D
e7f023ea-2147-47d3-9f2a-61fb60a900be,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Both drugs are types of interferon . 
 Label: DT NNS VBP NNS IN NN .
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Which of these drugs is an antidote for fibrinolytic therapy? 
A. Epsilon aminocaproic acid 
B. Protamine 
C. Heparin 
D. Streptokinase 
 Answer:", C ,A
57d48689-dcbd-4e81-9ea9-d56b7f7eed2d,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: - ( a ) in percent , giving balance between those 
 Label: : ( DT ) IN NN , VBG NN IN DT
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Percentage of carbon in carbon steel hand instruments is 
A. 1-1.2% 
B. 10-12% 
C. 0.6 to 0.8% 
D. 6 to 8% 
 Answer:", C ,A
0d96ee7c-7133-4d5a-becf-f9ad47582e54,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: In Venezuela , her mother told Reuters that Machado had a swollen face when she left home two weeks ago because she had her wisdom teeth extracted . 
 Label: IN NNP , PRP$ NN VBD NNP IN NNP VBD DT JJ NN WRB PRP VBD NN CD NNS RB IN PRP VBD PRP$ NN NNS VBD .
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Artery palpable at the anterior border of the masseter is : 
A. Superficial temporal artery 
B. Facial artery 
C. Lingual artery 
D. Maxillary artery 
 Answer:", B ,B
c87fcef2-1b7d-44e2-85c0-618b956f675e,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: RABOBANK [ RABN.CN ] SEES H2 NET GROWTH UNDER 10 PCT . 
 Label: NNP ( NNP ) NNP NN NN NN IN CD NNP .
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:In DIC following are seen except 
A. Fibrinogen decreased 
B. Thrombocytopenia 
C. Normal APTT 
D. PT elevation 
 Answer:", C ,C
