id,prompt,pred,true_label
4,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: Gulmarg, 52 km (32 miles) west of Srinagar, is about 2,653 m (8,622 ft) above sea level. 
 Hypothesis:Gulmarg is 8,622 feet above sea level as well as being west of Srinagar.  
 Label: entailment
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What is the height above or below sea level called?
A. elevation
B. depth
C. variation
D. latitude 
 Answer:",A. elevation,A
5,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: Ancient glaciers eroded many of the valleys, creating space for the lakes as they melted at the end of the last Ice Age, approximately 8,000 b.c. 
 Hypothesis:The floodwaters from the last ice age destroyed the area. 
 Label: contradiction
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Ice cores, varves and what else indicate the environmental conditions at the time of their creation?
A. fossils
B. tree rings
C. magma
D. mountain ranges 
 Answer:",B,B
8,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: One of the most intriguing specimens of montane flora (also found in the heath forest) is the pitcher plant (see page 125). 
 Hypothesis:The Pitcher plant is most commonly found in valleys. 
 Label: contradiction
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Which type of tree is dominant in temperate forests?
A. fungus
B. deciduous
C. shrubs
D. vines 
 Answer:",A. fungus,B
10,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: But wherefore the bonds and fetters?  
 Hypothesis:I found the bonds and fetters. 
 Label: contradiction
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?
A. occasional array
B. normal array
C. incorrect array
D. regular array 
 Answer:",B,D
12,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: Twenty islands have since been added, making the Cyclades the largest of the Greek island groups. 
 Hypothesis:They have discovered more islands farther in the distance. 
 Label: neutral
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What are by far the most common type of invertebrate?
A. corals
B. insects
C. crustaceans
D. spiders 
 Answer:",A,B
14,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: 1.5 TEST ORGANISMS 
 Hypothesis:Some organisms are used to test. 
 Label: entailment
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Penis, testes, and epididymis are organs in what system?
A. plant reproductive system​
B. male reproductive system
C. virus reproductive system​
D. female reproductive system​ 
 Answer:",B. male reproductive system,B
17,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: The surrounding area is well known for its bird life. 
 Hypothesis:Few birds can be found in this area. 
 Label: contradiction
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:The bird ancestor that lived in trees developed what feature commonly associated with birds?
A. wings
B. tails
C. beaks
D. webbed feet 
 Answer:",A,A
20,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: yeah that could be but once you get that moisture in there it it can fog up and not go away quickly enough 
 Hypothesis:Moisture makes it fog up and doesn't go away. 
 Label: entailment
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What term means the amount of water vapor in the air?
A. pressure
B. humidity
C. temperature
D. ambient 
 Answer:",B. humidity,B
22,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: There were potted plants. 
 Hypothesis:The plants were in the ground. 
 Label: contradiction
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?
A. heterotroph
B. reproductive
C. animal
D. plant 
 Answer:",A,D
24,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: That is, there is some initial bone-building response by the body to large calcium doses, but it may be a temporary and unsustainable change. 
 Hypothesis:The body never has an initial bone-building response to large calcium doses. 
 Label: contradiction
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What are people with osteoporosis at increased risk of?
A. epilepsy
B. growth spurt
C. senility
D. bone fractures 
 Answer:",B,D
