id,prompt,pred,true_label
45258d3d-b974-44dd-a161-c3fccbdadd88,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: It was absurd, this giving way to nerves!  
 Hypothesis:Being nervous wasn't absurd, but completely natural given the situation. 
 Label: neutral
Premise: This paper answers the first primarily in terms of the second. 
 Hypothesis:The first is answered in the paper, said the teacher. 
 Label: neutral
Premise: Are you finding any substantive differences in the way your guides cover the city? 
 Hypothesis:Do your guides cover the city in different ways?  
 Label: entailment
Premise: 4) Even if fiber doesn't prevent colon cancer, it does prevent other cancers and heart disease. 
 Hypothesis:Fiber does help with prevention of certain cancers. 
 Label: entailment
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not true for myelinated nerve fibers: 
A. Impulse through myelinated fibers is slower than non-myelinated fibers 
B. Membrane currents are generated at nodes of Ranvier 
C. Saltatory conduction of impulses is seen 
D. Local anesthesia is effective only when the nerve is not covered by myelin sheath 
 Answer:", A.,A
406b5b4f-9ad4-42c0-9669-12d038df4ac8,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: Part B contains provisions specifically for sulfur dioxide emission reductions. 
 Hypothesis:Sulfur dioxide is not mentioned in Part B. 
 Label: contradiction
Premise: The northerner breathed hard. 
 Hypothesis:The northerner was breathing quite hard. 
 Label: entailment
Premise: 5 ambient concentrations; visibility; ambient concentrations and deposition fluxes of several hazardous air pollutants, including mercury; deposition fluxes of nutrient nitrogen; and deposition of acids such as sulfuric acid and nitric acid. 
 Hypothesis:Mercury can only be found at the bottom of the ocean. 
 Label: contradiction
Premise: Long-Term Inhalable Particles and Other Air Pollutants Related to Mortality in Nonsmokers. 
 Hypothesis:Nonsmokers are affected by air pollutants and inhalable particles. 
 Label: entailment
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Highest concentration of oxygen is delivered through? 
A. Nasal cannula 
B. Venturi mask 
C. Bag and mask 
D. Mask with reservoir 
 Answer:",A. Nasal cannula,C
8b9a0e04-4281-418a-aa94-7414a325732f,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: Greuze bit his upper-lip, considering. 
 Hypothesis:Greuze seemed clueless, not showing any sign of thought. 
 Label: contradiction
Premise: Scarcely a sentence passed his lips without a mention of toughness. 
 Hypothesis:He tried to avoid talking about toughness. 
 Label: contradiction
Premise: upper and lower yeah right 
 Hypothesis:Not really any other area. 
 Label: neutral
Premise: Or, are These patients the least likely to respond to interventions available in the ED? 
 Hypothesis:Do you think that these patients will be least responsive to interventions? 
 Label: entailment
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as 
A. Average 
B. High 
C. Incomplete 
D. Low 
 Answer:", A. Average,D
a3da135a-a6a2-4e1c-8823-8ab0913f5668,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: On Monday Mrs. Inglethorp will take the last dose of her medicine.  
 Hypothesis:Mrs. Inglethorp will not take any more of her medicine because she will be dead. 
 Label: neutral
Premise: These levels are common and well accepted levels for this type of analysis and are presented as a recommended minimum significance level for toxicity test data analysis. 
 Hypothesis:Those levels are unexpected and quite uncommon. 
 Label: contradiction
Premise: Psychoactive substance use disorders among seriously injured trauma center patients. 
 Hypothesis:Use of psychoactive drugs in patients.  
 Label: entailment
Premise: There was a breathless hush, and every eye was fixed on the famous London specialist, who was known to be one of the greatest authorities of the day on the subject of toxicology.  
 Hypothesis:Everyone stared intently as the specialist as he entered the room. 
 Label: neutral
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person? 
A. Neostigmine 
B. Atropine 
C. Flumazenil 
D. Physostigmine 
 Answer:", A. Neostigmine,B
7627eb54-4499-45d0-ba1f-1c8dbc6f2342,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: But wherefore the bonds and fetters?  
 Hypothesis:I found the bonds and fetters. 
 Label: contradiction
Premise: His eyes blurred with tears and he tasted iron in the back of his throat. 
 Hypothesis:He was crying. 
 Label: entailment
Premise: Other biochemical markers such as mean corpuscular volume, platelet count, liver enzymes, gamma-glutamyltransferase. 
 Hypothesis:There are at least two possible biochemical markers. 
 Label: neutral
Premise: We didn't see blood. 
 Hypothesis:We continued looking for blood.  
 Label: neutral
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Iron is present in all, EXCEPT 
A. Myoglobin 
B. Cytochrome 
C. Catalase 
D. Pyruvate kinase 
 Answer:",B. Cytochrome,D
685afed9-5dfa-4383-9001-50148cf6cb99,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: It's all because of those stratospheric gases. 
 Hypothesis:The gases had no effect on anything at all. 
 Label: contradiction
Premise: The sky was--blotchy. 
 Hypothesis:The sky was clear and unblemished. 
 Label: contradiction
Premise: As stated in preamble to the 1997 PM National Ambient Air Quality Standards (40 CFR 50, 1997), the consistency of the results of the epidemiological studies from a large number of different locations and the coherent nature of the observed effects are suggestive of a likely causal role of ambient PM in contributing to the reported effects, which include premature mortality. 
 Hypothesis:Ambient PM may have contributed to premature mortality. 
 Label: entailment
Premise: Ancient and ill-maintained, it starts off shiny and gets rapidly creakier as it approaches the border. 
 Hypothesis:The line is in perfect condition everywhere. 
 Label: contradiction
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Anti monsoon curve seen in : 
A. Premolar 
B. Molar 
C. Anterior 
D. All of the above. 
 Answer:", A.,D
e726a65e-0874-481f-b20e-717b951a7b73,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: How was he different than the Eye? 
 Hypothesis:He was taller than the Eye. 
 Label: neutral
Premise: This pit dropped down twice the height of a man and stretched more than fifty feet across. 
 Hypothesis:The ground was flat. 
 Label: contradiction
Premise: but the water only comes up basically to your anywhere from your waist to your oh chest i'd say 
 Hypothesis:The water will not rise above your head or below your knees. 
 Label: neutral
Premise: Siskel was the skinny one. 
 Hypothesis:Siskel was overweight. 
 Label: contradiction
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Increase in height of mandible with increase in interdental spaces in elderly man 
A. Hyperpituitarism 
B. Hyperthyroidism 
C. Hypopituitarism 
D. Hyperparathyroidism 
 Answer:", C. Hypopituitarism,A
0190a0f3-416a-4d56-a172-7738b023fd28,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: On Monday Mrs. Inglethorp will take the last dose of her medicine.  
 Hypothesis:Mrs. Inglethorp will not take any more of her medicine because she will be dead. 
 Label: neutral
Premise: Eventually, Cod ended up with a private specialist of neutral medicine, who suggested him buttock tissue massage and antimaterialistic therapy, all preformed in his clinic, of course. 
 Hypothesis:Cod met with a private specialist of neutral medicine.  
 Label: entailment
Premise: um-hum oh i know we just went through that ourselves we just you know were like fifty dollars for this series of antibiotics and things 
 Hypothesis:We're fortunate that insurance covered the antibiotics at no cost to us. 
 Label: contradiction
Premise: yeah yeah yeah uh-huh but the drugs didn't work for long and they started having real bad side effects 
 Hypothesis:The drugs only worked for a minimum of three months. 
 Label: neutral
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:A patient has seasonal allergic rhinitis and is on terfenadine. He develops cardiac arrhythmias after a course of antibiotics. Which of the following antibiotic could have been given: 
A. Ampicillin 
B. Tetracycline 
C. Erythromycin 
D. Co-trimoxazole 
 Answer:", A. Ampicillin,C
f2ed694c-991d-40e5-a191-25c076168ea6,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: Each of their four stomachs is a breeding ground for the virulent E. coli bacteria, which is estimated to infect between 2 percent and 4 percent of U.S. livestock. 
 Hypothesis:E. coli bacteria is estimated to infect between 4 and 6 percent of the U.S. livestock. 
 Label: contradiction
Premise: But these ailments are real, and our awareness of them shows how far dentistry has come. 
 Hypothesis:Dentistry has not evolved or discovered new ailments in years. 
 Label: contradiction
Premise: um-hum oh i know we just went through that ourselves we just you know were like fifty dollars for this series of antibiotics and things 
 Hypothesis:We're fortunate that insurance covered the antibiotics at no cost to us. 
 Label: contradiction
Premise: A new towel was hanging in the bathroom and a new bar of soap was sitting in the soap dish. 
 Hypothesis:A new towel and bar of soap were in the bathroom. 
 Label: entailment
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Biofilm forming bacteria causes antimicrobial resist-ance by all of the following except: 
A. Mechanical barrier 
B. Increased excretion of antibiotics 
C. Altered metabolism 
D. Adherence 
 Answer:",B,D
e7f023ea-2147-47d3-9f2a-61fb60a900be,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: On Monday Mrs. Inglethorp will take the last dose of her medicine.  
 Hypothesis:Mrs. Inglethorp will not take any more of her medicine because she will be dead. 
 Label: neutral
Premise: yeah yeah yeah uh-huh but the drugs didn't work for long and they started having real bad side effects 
 Hypothesis:The drugs only worked for a minimum of three months. 
 Label: neutral
Premise: Other biochemical markers such as mean corpuscular volume, platelet count, liver enzymes, gamma-glutamyltransferase. 
 Hypothesis:There are at least two possible biochemical markers. 
 Label: neutral
Premise: Unlike the pills, immunotherapy shots attack the underlying problem, not just the symptoms. 
 Hypothesis:Pills not only neglect to address the actual problem, they also rot your stomach and other organs.  
 Label: neutral
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of these drugs is an antidote for fibrinolytic therapy? 
A. Epsilon aminocaproic acid 
B. Protamine 
C. Heparin 
D. Streptokinase 
 Answer:", A. Epsilon aminocaproic,A
