id,prompt,pred,true_label
45258d3d-b974-44dd-a161-c3fccbdadd88,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: sensation  
 Label: positive
Sentence: if you can push on through the slow spots  
 Label: negative
Sentence: , the writing is indifferent , and jordan brady 's direction is prosaic .  
 Label: negative
Sentence: the writing is indifferent , and jordan brady 's direction is prosaic  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not true for myelinated nerve fibers: 
A. Impulse through myelinated fibers is slower than non-myelinated fibers 
B. Membrane currents are generated at nodes of Ranvier 
C. Saltatory conduction of impulses is seen 
D. Local anesthesia is effective only when the nerve is not covered by myelin sheath 
 Answer:", A.,A
406b5b4f-9ad4-42c0-9669-12d038df4ac8,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: a breath  
 Label: positive
Sentence: the top of their lungs  
 Label: positive
Sentence: intoxicating atmosphere and  
 Label: positive
Sentence: of intoxicating atmosphere and little else  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Highest concentration of oxygen is delivered through? 
A. Nasal cannula 
B. Venturi mask 
C. Bag and mask 
D. Mask with reservoir 
 Answer:", A. Nasal cannula,C
8b9a0e04-4281-418a-aa94-7414a325732f,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching  
 Label: negative
Sentence: sit near the back and squint to avoid noticing some truly egregious lip-non-synching  
 Label: negative
Sentence: avoid noticing some truly egregious lip-non-synching  
 Label: negative
Sentence: above-average  
 Label: positive
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as 
A. Average 
B. High 
C. Incomplete 
D. Low 
 Answer:", A. Average,D
a3da135a-a6a2-4e1c-8823-8ab0913f5668,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: , this is likely to cause massive cardiac arrest if taken in large doses .  
 Label: negative
Sentence: heart attack  
 Label: negative
Sentence: cremaster 3 is at once a tough pill to swallow and a minor miracle of self-expression .  
 Label: positive
Sentence: for people who take as many drugs as the film 's characters  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person? 
A. Neostigmine 
B. Atropine 
C. Flumazenil 
D. Physostigmine 
 Answer:", A. Neostigmine,B
7627eb54-4499-45d0-ba1f-1c8dbc6f2342,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: screwball farce and blood-curdling family intensity on one continuum  
 Label: positive
Sentence: farce and blood-curdling family intensity  
 Label: positive
Sentence: this colorful bio-pic  
 Label: positive
Sentence: the thematic ironies are too obvious  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Iron is present in all, EXCEPT 
A. Myoglobin 
B. Cytochrome 
C. Catalase 
D. Pyruvate kinase 
 Answer:",A. Myoglobin,D
685afed9-5dfa-4383-9001-50148cf6cb99,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: underlines even the dullest tangents  
 Label: negative
Sentence: a halfwit plot  
 Label: negative
Sentence: of unsettling atmospherics  
 Label: negative
Sentence: the plot follows a predictable connect-the-dots course  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Anti monsoon curve seen in : 
A. Premolar 
B. Molar 
C. Anterior 
D. All of the above. 
 Answer:", A.,D
e726a65e-0874-481f-b20e-717b951a7b73,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: diminishing his stature  
 Label: negative
Sentence: a surgeon mends  
 Label: positive
Sentence: shows off a lot of stamina and vitality , and  
 Label: positive
Sentence: poignancy , and intelligence  
 Label: positive
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Increase in height of mandible with increase in interdental spaces in elderly man 
A. Hyperpituitarism 
B. Hyperthyroidism 
C. Hypopituitarism 
D. Hyperparathyroidism 
 Answer:", A. Hyperpituitarism,A
0190a0f3-416a-4d56-a172-7738b023fd28,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: , this is likely to cause massive cardiac arrest if taken in large doses .  
 Label: negative
Sentence: heart attack  
 Label: negative
Sentence: cold , gray , antiseptic and  
 Label: negative
Sentence: prescribed than recommended -- as visually bland as a dentist 's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:A patient has seasonal allergic rhinitis and is on terfenadine. He develops cardiac arrhythmias after a course of antibiotics. Which of the following antibiotic could have been given: 
A. Ampicillin 
B. Tetracycline 
C. Erythromycin 
D. Co-trimoxazole 
 Answer:", A. Ampicillin,C
f2ed694c-991d-40e5-a191-25c076168ea6,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: to overcome my resistance  
 Label: positive
Sentence: strains  
 Label: negative
Sentence: cold , gray , antiseptic and  
 Label: negative
Sentence: sanitised and  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Biofilm forming bacteria causes antimicrobial resist-ance by all of the following except: 
A. Mechanical barrier 
B. Increased excretion of antibiotics 
C. Altered metabolism 
D. Adherence 
 Answer:", A,D
e7f023ea-2147-47d3-9f2a-61fb60a900be,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: cold , gray , antiseptic and  
 Label: negative
Sentence: , this is likely to cause massive cardiac arrest if taken in large doses .  
 Label: negative
Sentence: ca n't support the epic treatment  
 Label: negative
Sentence: , inflammatory film  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of these drugs is an antidote for fibrinolytic therapy? 
A. Epsilon aminocaproic acid 
B. Protamine 
C. Heparin 
D. Streptokinase 
 Answer:", A. Epsilon aminocaproic,A
57d48689-dcbd-4e81-9ea9-d56b7f7eed2d,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: who does n't think about percentages all day long  
 Label: positive
Sentence: bronze  
 Label: positive
Sentence: hand in hand  
 Label: positive
Sentence: the humanizing stuff that will probably sink the film for anyone who does n't think about percentages all day long  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Percentage of carbon in carbon steel hand instruments is 
A. 1-1.2% 
B. 10-12% 
C. 0.6 to 0.8% 
D. 6 to 8% 
 Answer:", A. 1-1.2%,A
0d96ee7c-7133-4d5a-becf-f9ad47582e54,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: while american adobo has its heart ( and its palate ) in the right place  
 Label: positive
Sentence: teeth-gnashing actorliness  
 Label: negative
Sentence: delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition  
 Label: positive
Sentence: big round eyes and  
 Label: positive
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Artery palpable at the anterior border of the masseter is : 
A. Superficial temporal artery 
B. Facial artery 
C. Lingual artery 
D. Maxillary artery 
 Answer:", A. Superficial temporal artery,B
c87fcef2-1b7d-44e2-85c0-618b956f675e,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: reading lines from a teleprompter  
 Label: negative
Sentence: sophisticated and unsentimental treatment  
 Label: positive
Sentence: are clinically depressed  
 Label: negative
Sentence: bloodsucker computer effects  
 Label: positive
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:In DIC following are seen except 
A. Fibrinogen decreased 
B. Thrombocytopenia 
C. Normal APTT 
D. PT elevation 
 Answer:", A. Fibrinogen decreased,C
818e92da-69f5-41d8-a15a-f22c851140fb,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: most generic  
 Label: negative
Sentence: few sequels  
 Label: negative
Sentence: each one of these people stand out and  
 Label: positive
Sentence: another genre exercise ,  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Malaria relapse common with which type plasmodium species? 
A. Plasmodium malariae and vivax 
B. Plasmodium falciparum and vivax 
C. Plasmodium vivax and ovale 
D. Plasmodium ovale and malariae 
 Answer:", A.,C
