id,prompt,pred,true_label
4,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:What is the opposite of an area of elevation? 
A. disgust 
B. reduction 
C. depression 
D. demotion 
E. diminishment 
 Answer: C
Question:In what substance do clouds float? 
A. sky 
B. top of mountain 
C. air 
D. ground level 
E. outer space 
 Answer: C
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What is the height above or below sea level called?
A. elevation
B. depth
C. variation
D. latitude 
 Answer:", A,A
5,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:When did mammoth's live? 
A. boscage 
B. forest 
C. prehistory 
D. prehistoric times 
E. ancient times 
 Answer: E
Question:What happens when to ice when it is in the sun? 
A. carved 
B. melted 
C. ice cream 
D. antarctica 
E. sculptured 
 Answer: B
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Ice cores, varves and what else indicate the environmental conditions at the time of their creation?
A. fossils
B. tree rings
C. magma
D. mountain ranges 
 Answer:", B,B
8,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:The forest experienced a cold winter, where is it located? 
A. earth 
B. south america 
C. amazon basin 
D. temperate zone 
E. national park 
 Answer: D
Question:To what do trees roots cling? 
A. yard 
B. orchard 
C. museum 
D. countryside 
E. surface of earth 
 Answer: E
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Which type of tree is dominant in temperate forests?
A. fungus
B. deciduous
C. shrubs
D. vines 
 Answer:", B,B
10,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:The table wasn't level.  some parts were higher and some were lower with no rhyme or reason.   It was very what? 
A. electrical circuit 
B. build evenly 
C. uneven 
D. unbalanced 
E. tilted 
 Answer: C
Question:Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what? 
A. later 
B. updated 
C. still 
D. resistance 
E. now 
 Answer: D
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?
A. occasional array
B. normal array
C. incorrect array
D. regular array 
 Answer:", B,D
12,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:In what kind of environment does an anemone live? 
A. nursery 
B. south pacific 
C. desert 
D. sea water 
E. atlantic ocean 
 Answer: D
Question:Animals make up a large part of the? 
A. carrying cargo 
B. favorite 
C. ecosystem 
D. nature 
E. ecology 
 Answer: C
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What are by far the most common type of invertebrate?
A. corals
B. insects
C. crustaceans
D. spiders 
 Answer:", B,B
14,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:Animals who have hair and don't lay eggs are what? 
A. reproduce asexually 
B. males 
C. mammals 
D. attack 
E. ocean 
 Answer: C
Question:WHat type of keyboard is made up of one or more pipe divisions? 
A. killing 
B. typewriter 
C. office 
D. terminal 
E. organ 
 Answer: E
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Penis, testes, and epididymis are organs in what system?
A. plant reproductive system​
B. male reproductive system
C. virus reproductive system​
D. female reproductive system​ 
 Answer:", B,B
17,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:Where is a bird likely to make it's home? 
A. forest 
B. nest 
C. roof 
D. leaves 
E. sky 
 Answer: A
Question:What do the feathers look like on birds found in the rainforest? 
A. pretty smart 
B. singing 
C. dark 
D. very colorful 
E. light 
 Answer: D
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:The bird ancestor that lived in trees developed what feature commonly associated with birds?
A. wings
B. tails
C. beaks
D. webbed feet 
 Answer:", C,A
20,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:In what substance do clouds float? 
A. sky 
B. top of mountain 
C. air 
D. ground level 
E. outer space 
 Answer: C
Question:When you feel too much heat in your home you can turn on what? 
A. coolness 
B. fan 
C. get wet 
D. coldness 
E. air conditioning 
 Answer: E
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What term means the amount of water vapor in the air?
A. pressure
B. humidity
C. temperature
D. ambient 
 Answer:", B,B
22,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:What part of plants is pretty? 
A. dirt 
B. no neurons in 
C. millions of cells 
D. flowers on 
E. roots 
 Answer: D
Question:Animals make up a large part of the? 
A. carrying cargo 
B. favorite 
C. ecosystem 
D. nature 
E. ecology 
 Answer: C
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?
A. heterotroph
B. reproductive
C. animal
D. plant 
 Answer:", C,D
24,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:Why would a person like to have a large house? 
A. have choice 
B. mentally challenged 
C. own house 
D. obesity 
E. lots of space 
 Answer: E
Question:Why does having a disability sometimes making academic tasks hard for a person? 
A. mentally challenged 
B. have choice 
C. lots of space 
D. hungry 
E. acknowledgment 
 Answer: A
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What are people with osteoporosis at increased risk of?
A. epilepsy
B. growth spurt
C. senility
D. bone fractures 
 Answer:", D,D
