id,prompt,pred,true_label
4,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: 8 billion, and Stop &amp; Shop to a Dutch company for a profit of $1. 
 Hypothesis:There is a profit of 1.00. 
 Label: entailment
Premise: A 17 percent increase in this number is 1.17(0. 
 Hypothesis:The increase is considered substantial in this industry.  
 Label: neutral
Premise: The production values are high. 
 Hypothesis:The production values are high and it shows. 
 Label: neutral
Premise: Employment level also increased during this time from 69. 
 Hypothesis:Unemployment decreased during this time of 69. 
 Label: entailment
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . 
 Label:", neutral,positive
8,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: A 17 percent increase in this number is 1.17(0. 
 Hypothesis:The increase is considered substantial in this industry.  
 Label: neutral
Premise: However, given that a large portion of business saving is used to replace capital goods worn out or used in the production process, business saving net of depreciation is a smaller share-about 47 percent-of net national saving. 
 Hypothesis:Business' capital goods depreciate and have to be replaced. 
 Label: entailment
Premise: 8 billion, and Stop &amp; Shop to a Dutch company for a profit of $1. 
 Hypothesis:There is a profit of 1.00. 
 Label: entailment
Premise: This practice becomes even more pronounced outside of a breakeven requirement, when additions to net revenue can be kept. 
 Hypothesis:This practice is more apparent when additions to profit can be kept. 
 Label: entailment
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period . 
 Label:", neutral,positive
13,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: Income, 1998 35 Figure 1.5:Pensions, Income from Accumulated Assets, and Earnings 
 Hypothesis:Income from Accumulated Assets and Earnings aren't included in Figure 1.5 
 Label: contradiction
Premise: Income, 1998 35 Figure 1.5:Pensions, Income from Accumulated Assets, and Earnings 
 Hypothesis:Figure 1.5 was drafted in May, 1998.  
 Label: neutral
Premise: Figure 3.5: GDP Per Capita Under Alternative Gross National Saving Rates (2000- 2075) 
 Hypothesis:GDP Per Capita Under Alternative Gross National Saving Rates (2000- 2075) is in the figure 6. 
 Label: contradiction
Premise: For example, analysis of estimates derived from the economic literature provides an estimate of the value of reductions in mortality risk. 
 Hypothesis:There is an increase in the mortality risk. 
 Label: contradiction
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 . 
 Label:", positive,positive
22,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: But if the value of the improved service is 1 cent per piece, then the gain from offering the discount is amplified to 1.2a. 
 Hypothesis:The gain from offering the discount can be amplified to 1.2a if the value of the improved service is 1 cent per piece. 
 Label: entailment
Premise: 2 million in damages, enough to permit the estate to get a judgment and execute on the negatives. 
 Hypothesis:Since there were two million damages, the estate was allowed to seek a judgment. 
 Label: entailment
Premise: The fee increase is expected to generate $2. 
 Hypothesis:The fee is to be reduced by 150%. 
 Label: contradiction
Premise: But if the value of the improved service is 1 cent per piece, then the gain from offering the discount is amplified to 1.2a. 
 Hypothesis:The improved service can be offered for a  price much higher than its actual value, provided it is a good service. 
 Label: neutral
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million . 
 Label:", positive,positive
25,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: That lowered their interest rate to 9 percent. 
 Hypothesis:That increased the interest rate to 15 percent.  
 Label: contradiction
Premise: A 17 percent increase in this number is 1.17(0. 
 Hypothesis:The increase is considered substantial in this industry.  
 Label: neutral
Premise: The fee increase is expected to generate $2. 
 Hypothesis:The fee is to be reduced by 150%. 
 Label: contradiction
Premise: PRE-MODIFICATION VALUE - The present value of net cash inflows of direct loans estimated at the time of modification under pre-modification terms, discounted at the current discount rate. 
 Hypothesis:The pre-modification value is the current value, minus the discount rate, and calculated at the pre-modification terms.  
 Label: entailment
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % . 
 Label:", positive,positive
26,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: As shown in Figure 6-4, the cumulative demand from the Clear Skies Act plus the worldwide demand can be met with the total cumulative confirmed capacity. 
 Hypothesis:The demand from Clear Skies Act can be met with the total confirmed capacity. 
 Label: entailment
Premise: But if the value of the improved service is 1 cent per piece, then the gain from offering the discount is amplified to 1.2a. 
 Hypothesis:The gain from offering the discount can be amplified to 1.2a if the value of the improved service is 1 cent per piece. 
 Label: entailment
Premise: The Globe 's circulation is rising fast. 
 Hypothesis:Subscription numbers for The Globe are going up. 
 Label: entailment
Premise: Given these responses to volume, total street time cost would increase from $10 billion to $16. 
 Hypothesis:The street income cost would decrease.  
 Label: contradiction
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % . 
 Label:", neutral,positive
27,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: 8 billion, and Stop &amp; Shop to a Dutch company for a profit of $1. 
 Hypothesis:There is a profit of 1.00. 
 Label: entailment
Premise: (c) As a share of GDP, government now takes 40 cents on the dollar. 
 Hypothesis:They made only 10 cents per dollar. 
 Label: contradiction
Premise: A 17 percent increase in this number is 1.17(0. 
 Hypothesis:The increase is considered substantial in this industry.  
 Label: neutral
Premise: This practice becomes even more pronounced outside of a breakeven requirement, when additions to net revenue can be kept. 
 Hypothesis:This practice is more apparent when additions to profit can be kept. 
 Label: entailment
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million . 
 Label:", positive,positive
29,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: Others are produced more cheaply abroad than here. 
 Hypothesis:The others are produced abroad for less than here. 
 Label: entailment
Premise: Production, Survey of Current Business, Bureau of Economic Analysis    
 Hypothesis:The Bureau conducted a Survey of Current Business 
 Label: neutral
Premise: The production values are high. 
 Hypothesis:The production values are high and it shows. 
 Label: neutral
Premise: Customs anticipated that trade issues would assume greater prominence in the coming years as developing countries continue to industrialize, corporations continue to expand internationally, and trade barriers continue to fall. 
 Hypothesis:Countries that expand often face new challenges and problems. 
 Label: neutral
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Sales have risen in other export markets . 
 Label:", positive,positive
47,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: 8 billion, and Stop &amp; Shop to a Dutch company for a profit of $1. 
 Hypothesis:There is a profit of 1.00. 
 Label: entailment
Premise: A 17 percent increase in this number is 1.17(0. 
 Hypothesis:The increase is considered substantial in this industry.  
 Label: neutral
Premise: That lowered their interest rate to 9 percent. 
 Hypothesis:That increased the interest rate to 15 percent.  
 Label: contradiction
Premise:   The annual investment34 made in the year ended on the balance sheet date as well as in each of the 4 years preceding that year shall be reported. 
 Hypothesis:The report shall exclude any annual investment. 
 Label: contradiction
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 . 
 Label:", positive,positive
52,"Definition:  Given Sentence 1 which is a premise and Sentence 2 which is a hypothesis do natural language inference on the pair. In natural language inference we mark whether the premise and hypothesis are ""neutral"", ""contradiction"" or ""entailment"". The pair are said to be ""entailed"" if the premise justifies/supports the hypothesis, if the pair contradict each other we label them as ""contradiction"" and label them ""neutral"" in all other cases
Premise: Employment level also increased during this time from 69. 
 Hypothesis:Unemployment decreased during this time of 69. 
 Label: entailment
Premise: For each subsequent year, agencies are to include performance data for the year covered by the report and 3 prior years. 
 Hypothesis:The annual report does not need to include performance data. 
 Label: contradiction
Premise: Income, 1998 35 Figure 1.5:Pensions, Income from Accumulated Assets, and Earnings 
 Hypothesis:Income from Accumulated Assets and Earnings aren't included in Figure 1.5 
 Label: contradiction
Premise: 13 The difference between these two costs is 15. 
 Hypothesis:The difference between the two costs is 16. 
 Label: contradiction
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 . 
 Label:", positive,positive
