id,prompt,pred,true_label
4,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: The prime minister 's visit , his first trip outside the country since Jordan was shaken by food riots earlier this month , came against the backdrop of a Palestinian general strike in the West Bank and Gaza . 
 Label: DT JJ NN POS NN , PRP$ JJ NN IN DT NN IN NNP VBD VBN IN NN NNS RBR DT NN , VBD IN DT NN IN DT JJ JJ NN IN DT NNP NNP CC NNP .
Sentence: The visit was Kabariti 's first trip outside the country since Jordan was shaken by food riots earlier this month . 
 Label: DT NN VBD NNP POS JJ NN IN DT NN IN NNP VBD VBN IN NN NNS RBR DT NN .
Sentence: 5. Jordan 15 
 Label: NNP NNP CD
Sentence: JORDAN TIMES 
 Label: NNP NNP
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Jordan was in charge of taking the food on the camping trip and left all the food at home. 
 Question:How would Jordan feel afterwards? 
A. horrible that he let his friends down on the camping trip 
B. happy that he doesn't need to do the cooking on the trip 
C. very proud and accomplished about the camping trip 
 Answer:",B,A
12,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Police said the thieves intercepted a woman arriving to work at the canteen , forced her to open the safe where takings were kept and made off with the cash . 
 Label: NNS VBD DT NNS VBD DT NN VBG TO VB IN DT NN , VBD PRP TO VB DT JJ WRB NNS VBD VBN CC VBN RP IN DT NN .
Sentence: A British aid worker , held hostage in Chechnya for nearly four weeks , said on Saturday a cocked Kalashnikov had been thrust into his mouth at one point during his ordeal . 
 Label: DT NNP NN NN , VBN NN IN NNP IN RB CD NNS , VBD IN NNP DT VBD NNP VBD VBN VBN IN PRP$ NN IN CD NN IN PRP$ NN .
Sentence: Pembroke Pines police said five people were arrested as a result of the 90-minute stakeout , including the four robbers and a restaurant employee who was allegedly prepared to let them in a back door . 
 Label: NNP NNPS NN VBD CD NNS VBD VBN IN DT NN IN DT JJ NN , VBG DT CD NNS CC DT NN NN WP VBD RB JJ TO VB PRP IN DT JJ NN .
Sentence: James is a prisoner for a thoughtless act of folly , while those who have done nothing for the cause are free , "" she wrote . 
 Label: NNP VBZ DT NN IN DT JJ NN IN NN , IN DT WP VBP VBN NN IN DT NN VBP JJ , "" PRP VBD .
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Alex walked Robin towards the execution chamber for her last meal. 
 Question:Why did Alex do this? 
A. work at the jail 
B. So Robin can eat 
C. release her 
 Answer:",B,A
24,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Leeds United defender Gary Kelly is unable to travel because of a knee injury picked up in Monday 's 1-0 victory over Wimbledon at Elland Road . 
 Label: NNPS NNP NN NNP NNP VBZ JJ TO VB RB IN DT NN NN VBD RP IN NNP POS JJ NN IN NNP IN NNP NNP .
Sentence: Christie will run the anchor leg after Canada 's Bailey , American Johnson and Olympic silver medallist Fredericks have run the first three stages of the relay . 
 Label: NNP MD VB DT NN NN IN NNP POS NNP , NNP NNP CC JJ NN NN NNS VBP VBN DT JJ CD NNS IN DT NN .
Sentence: 0 1-0 Retired ( ankle injury ) 
 Label: CD CD NNP ( NN NN )
Sentence: The Bradys walked on to the stage , he on her arm and with the aid of a cane , to a rousing reception from the convention . 
 Label: DT NNPS VBD IN TO DT NN , PRP IN PRP$ NN CC IN DT NN IN DT NN , TO DT NN NN IN DT NN .
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Riley had twisted their leg and began to hurt so bad that they could not walk. 
 Question:What does Riley need to do before this? 
A. lie down 
B. run 
C. Sit and relax 
 Answer:", B,B
25,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: It said the two , after robbing the passengers , burnt them alive by sprinkling the bus with petrol and setting it on fire in the southern state of Andhra Pradesh in 1993 . 
 Label: PRP VBD DT CD , IN VBG DT NNS , VBN PRP JJ IN VBG DT NN IN NN CC VBG PRP IN NN IN DT JJ NN IN NNP NNP IN CD .
Sentence: They said 14 out of 45 passengers on the bus died instantly when the vehicle fell from the narrow road while on its way from the state capital Muzaffarabad to the nearby Pakistani town of Garhi Habibullah in the northwest . 
 Label: PRP VBD CD IN IN CD NNS IN DT NN VBD RB WRB DT NN VBD IN DT JJ NN NN IN PRP$ NN IN DT NN NN NNP TO DT JJ JJ NN IN NNP NNP IN DT JJS .
Sentence: Liam caught a taxi back to London saying he had "" problems at home "" . 
 Label: NN VBD DT NN RB TO NNP VBG PRP VBD "" NNS IN NN "" .
Sentence: The police said 14 of the 45 passengers on the bus died instantly when the vehicle fell into Kunar river from a narrow road leading from the state capital Muzaffarabad to the nearby Pakistani town of Garhi Habibullah northwest . 
 Label: DT NN VBD CD IN DT CD NNS IN DT NN VBD RB WRB DT NN VBD IN NNP NN IN DT JJ NN VBG IN DT NN NN NNP TO DT JJ JJ NN IN NNP NNP RB .
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Carson was at a friend's house but suddenly announced they needed to go home. 
 Question:Why did Carson do this? 
A. caught a bus 
B. called a cab 
C. forgot to feed the dog 
 Answer:", B. called a cab,C
26,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Education 42 6 36 3 
 Label: NNP CD CD CD CD
Sentence: - English langage to be taught as of the eighth year of the primary school instead of the third year of the secondary school . 
 Label: : JJ NN TO VB VBN IN IN DT JJ NN IN DT JJ NN RB IN DT JJ NN IN DT JJ NN .
Sentence: In the future , the accountant will be evaluated solely on "" knowledge , skill and abilities , "" she said . 
 Label: IN DT NN , DT NN MD VB VBN RB IN "" NN , NN CC NNS , "" PRP VBD .
Sentence: Education would be at risk . 
 Label: NNP MD VB IN NN .
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Taylor taught math in the schools after studying to be a teacher for four years. 
 Question:What does Taylor need to do before this? 
A. get a certificate 
B. teach small children 
C. work in a school 
 Answer:", B,A
29,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: But Stich did n't want to play that game . 
 Label: CC NNP VBD RB VB TO VB DT NN .
Sentence: Chang ran off the next three points to close out the match but for Oncins , the contest was a personal victory . 
 Label: NN VBD RP DT JJ CD NNS TO VB RP DT NN CC IN NNP , DT NN VBD DT JJ NN .
Sentence: 1 - Jansher Khan ( Pakistnn ) beat Jackie Lee ( Hong Kong ) 15-8 15-8 
 Label: CD : NNP NNP ( NNP ) VB NNP NNP ( NNP NNP ) CD CD
Sentence: *Note - OB and Lotte played two games . 
 Label: SYM : NNS CC NNP VBD CD NNS .
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: kai was bored and had nothing to do so he played card games. 
 Question:What will Kai want to do next? 
A. do math homework 
B. do nothing 
C. watch television 
 Answer:", B. do nothing,C
33,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: This visit will create a direct contact opportunity for the two parties to express their views , "" spokesman Omer Akbel told a news briefing . 
 Label: DT NN MD VB DT JJ NN NN IN DT CD NNS TO VB PRP$ NNS , "" NN NNP NNP VBD DT NN NN .
Sentence: Conchita Martinez decided that when in New York , do as the New Yorkers do -- and the Spaniard 's new-found aggressiveness seems to have put her in the right frame of mind for the U.S. Open . 
 Label: NNP NNP VBD IN WRB IN NNP NNP , VBP IN DT NNP NNPS VBP : CC DT NNP POS JJ NN VBZ TO VB VBN PRP IN DT JJ NN IN NN IN DT NNP NNP .
Sentence: NEW YORK AT LOS ANGELES 
 Label: NNP NNP NNP NNP NNP
Sentence: NEW YORK AT LOS ANGELES 
 Label: NNP NNP NNP NNP NNP
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: jan took them to NYC so that they could experience the city for the first time. 
 Question:What will Others want to do next? 
A. look around 
B. look nowhere 
C. make sure they get a good first impression of NYC 
 Answer:", B,A
34,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: "" This may explain some mistakes against some journalists and writers , "" he said . 
 Label: "" DT MD VB DT NNS IN DT NNS CC NNS , "" PRP VBD .
Sentence: The detective said details were sketchy , but two of the teenagers were reportedly downstairs watching television when White allegedly entered the house and told the girls to take off their clothes . 
 Label: DT NN VBD NNS VBD JJ , CC CD IN DT NNS VBD RB NN VBG NN WRB NNP RB VBD DT NN CC VBD DT NNS TO VB RP PRP$ NNS .
Sentence: "" Any diver knows that when a whale gets going you ca n't keep up , "" Harvey told the magazine . "" 
 Label: "" DT NN VBZ IN WRB DT NN VBZ VBG PRP MD RB VB RP , "" NNP VBD DT NN . ""
Sentence: "" For the most part they really did n't understand what was going on , "" the director of the Nagyatad camp Lajos Horvath told Reuters on Wednesday . 
 Label: "" IN DT JJS NN PRP RB VBD RB VB WP VBD VBG RP , "" DT NN IN DT NNP NN NNP NNP VBD NNP IN NNP .
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
 Question:Why did Tracy do this? 
A. tracy who has through watching the history channel 
B. prove that they know the truth 
C. tracy who has got alot of details wrong 
 Answer:",C. tracy who has got alot of,B
37,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: "" I still feel it 's embarrassing what happened and I was about to pull out yesterday and say , ' That 's it , ' "" said Stich , one of a host of men who cried foul over seeding procedures that forced an unprecedented remaking of the men 's draw last week . 
 Label: "" PRP RB VB PRP VBZ JJ WP VBD CC PRP VBD IN TO VB RP NN CC VB , '' DT VBZ PRP , '' "" VBD NNP , CD IN DT NN IN NNS WP VBD JJ IN VBG NNS WDT VBD DT JJ VBG IN DT NNS POS NN JJ NN .
Sentence: The players relived the moves and tries , the tackles and what might have been as the emotions of victory continued . 
 Label: DT NNS VBD DT NNS CC VBZ , DT VBZ CC WP MD VB VBN IN DT NNS IN NN VBD .
Sentence: That 's all I said , "" he replied as he was shaking hands with well-wishers . 
 Label: DT VBZ DT PRP VBD , "" PRP VBD IN PRP VBD VBG NNS IN NNS .
Sentence: "" I 'm pleased because I did n't play that great today , but I fought really well , "" he said . "" 
 Label: "" PRP VBP VBN IN PRP VBD RB VB DT JJ NN , CC PRP VBD RB RB , "" PRP VBD . ""
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Carson returned to Robin's house after previously storming out during a huge fight. 
 Question:How would Carson feel afterwards? 
A. proud 
B. humiliated 
C. happy 
 Answer:",B. humiliated,B
42,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: 5. Jordan 15 
 Label: NNP NNP CD
Sentence: - Jordan releases 32 from southern town of Karak . 
 Label: : NNP VBZ CD IN JJ NN IN NNP .
Sentence: "" Interviewed in the presence of a psychologist , she said she wanted to use the money for school books and clothes , "" spokesman Kazimierz Socha told Reuters . 
 Label: "" VBN IN DT NN IN DT NN , PRP VBD PRP VBD TO VB DT NN IN NN NNS CC NNS , "" NN NNP NNP VBD NNP .
Sentence: JORDAN TIMES 
 Label: NNP NNP
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: jordan wanted to be nice to a girl so he took her to the shoe store. 
 Question:What does Jordan need to do before this? 
A. buy the girl some shoes 
B. ask the girl on a date 
C. be kind 
 Answer:", B,B
