id,prompt,pred,true_label
4,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:The following represents a number displayed on a calculator. 1.454545 E3. Which of the following shows how a student should record this number in a laboratory report?
A. (1.45)^3
B. 1 5/11
C. 1.45 x 10^3
D. 1.45 x 3 
 Answer: C
Question:Which unit is used to indicate the amount of energy in food?
A. ounce
B. degree
C. calorie
D. gram 
 Answer: C
Question:As the population of small fish in a lake decreases, the population of large fish that depend on the small fish for food will
A. reproduce faster
B. begin to produce their own food
C. decrease in number
D. increase in number 
 Answer: C
Question:A student wants to figure out how many calories are needed to perform various activities. A list of some everyday activities is made, and the number of calories burned during each activity is recorded. Which method is the best way for the student to display and evaluate the information?
A. write a paragraph
B. make a line graph
C. develop a formula
D. create a table 
 Answer: D
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . 
 Label:", Positive,positive
8,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:The following represents a number displayed on a calculator. 1.454545 E3. Which of the following shows how a student should record this number in a laboratory report?
A. (1.45)^3
B. 1 5/11
C. 1.45 x 10^3
D. 1.45 x 3 
 Answer: C
Question:As the population of small fish in a lake decreases, the population of large fish that depend on the small fish for food will
A. reproduce faster
B. begin to produce their own food
C. decrease in number
D. increase in number 
 Answer: C
Question:Measurements of carbon dioxide concentrations in the air taken over the past decade have shown a
A. leveling off.
B. slow increase.
C. steady decline.
D. dramatic increase. 
 Answer: D
Question:Earth is about 81 times more massive than the Moon. How will the mass and weight of a rocket on the Moon compare to its mass and weight on Earth?
A. The mass and weight will be less on the Moon.
B. The mass and weight will be greater on the Moon.
C. The mass will be the same, but its weight will be less on the Moon.
D. The mass will be the same, but its weight will be greater on the Moon. 
 Answer: C
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period . 
 Label:", Positive,positive
13,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Census data show that the human population doubled from 2.65 billion in 1953 to 5.3 billion in 1990. If it continues to double at this rate, the human population could reach 10 billion by the year 2020. Which best explains how this rate of human growth can harm the environment on which humans depend?
A. by gradually making up more available energy
B. by using resources faster than they can be replaced
C. by changing how matter cycles through an ecosystem
D. by increasing the variety of ecosystems that are supported 
 Answer: B
Question:The axis of Earth is tilted at an angle of 23.5° from the vertical position. Which of the following is the main result of this tilt?
A. tides
B. eclipses
C. length of year
D. change of seasons 
 Answer: D
Question:As the population of small fish in a lake decreases, the population of large fish that depend on the small fish for food will
A. reproduce faster
B. begin to produce their own food
C. decrease in number
D. increase in number 
 Answer: C
Question:Reading from left to right, elements in the same period on the Periodic Table of the Elements
A. have the same reactivity.
B. decrease in atomic mass.
C. increase in atomic number.
D. have the same number of electrons. 
 Answer: C
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 . 
 Label:", Positive,positive
22,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Stacey picks apples and puts them in a basket. When she puts her basket on a scale, the scale reads two kilograms (kg). What property is Stacey measuring?
A. height
B. weight
C. temperature
D. volume 
 Answer: B
Question:Paula determines a property of a marble using a balance and a graduated cylinder. What property is Paula most likely determining by using both tools?
A. density
B. length
C. mass
D. volume 
 Answer: A
Question:Which is a physical property of an apple?
A. what color it is
B. how pretty it is
C. how much it costs
D. when it was picked 
 Answer: A
Question:Census data show that the human population doubled from 2.65 billion in 1953 to 5.3 billion in 1990. If it continues to double at this rate, the human population could reach 10 billion by the year 2020. Which best explains how this rate of human growth can harm the environment on which humans depend?
A. by gradually making up more available energy
B. by using resources faster than they can be replaced
C. by changing how matter cycles through an ecosystem
D. by increasing the variety of ecosystems that are supported 
 Answer: B
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million . 
 Label:", Positive,positive
25,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:A student proposes the rate of increase in a plant's mass will be proportional to the length of light exposure per day when all other variables are constant. How should this proposal be classified?
A. as a hypothesis
B. as a conclusion
C. as a theory
D. as a statement 
 Answer: A
Question:One student wrote a report about an investigation in which fertilizer was added to tomato plants. Which information from that student's report would most help a second student repeat the investigation?
A. the amount of fertilizer added
B. the height of the fertilized plants
C. the size of each tomato produced
D. the number of tomatoes produced 
 Answer: A
Question:As the population of small fish in a lake decreases, the population of large fish that depend on the small fish for food will
A. reproduce faster
B. begin to produce their own food
C. decrease in number
D. increase in number 
 Answer: C
Question:The following represents a number displayed on a calculator. 1.454545 E3. Which of the following shows how a student should record this number in a laboratory report?
A. (1.45)^3
B. 1 5/11
C. 1.45 x 10^3
D. 1.45 x 3 
 Answer: C
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % . 
 Label:", Positive,positive
26,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Which pair of English and metric units has most nearly the same value?
A. liter and quart
B. gram and ounce
C. kilogram and pound
D. kilometer and mile 
 Answer: A
Question:Measurements of carbon dioxide concentrations in the air taken over the past decade have shown a
A. leveling off.
B. slow increase.
C. steady decline.
D. dramatic increase. 
 Answer: D
Question:As the population in an area grows, water usage increases. Eventually, water usage can outstrip the supply. Which measure to increase the amount of available water demonstrates the best stewardship of the resource?
A. discovering new reservoirs of water in the aquifer
B. reducing water usage through conservation measures
C. combining hydrogen with oxygen to make water
D. piping in water from an aquifer elsewhere 
 Answer: B
Question:Which of the following best explains what will occur when a population grows larger than the carrying capacity of its environment?
A. The emigration rate will decrease.
B. The competition rate will decrease.
C. The birth rate will increase.
D. The death rate will increase. 
 Answer: D
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % . 
 Label:", Positive,positive
27,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:As the population of small fish in a lake decreases, the population of large fish that depend on the small fish for food will
A. reproduce faster
B. begin to produce their own food
C. decrease in number
D. increase in number 
 Answer: C
Question:The following represents a number displayed on a calculator. 1.454545 E3. Which of the following shows how a student should record this number in a laboratory report?
A. (1.45)^3
B. 1 5/11
C. 1.45 x 10^3
D. 1.45 x 3 
 Answer: C
Question:The comet Shoemaker-Levy struck the planet Jupiter in July of 1994. The process of a comet striking a planet is an example of a net decrease in kinetic energy. Kinetic energy was ultimately converted into
A. light.
B. radiation.
C. thermal energy.
D. electromagnetic energy. 
 Answer: C
Question:A light-year is a measure of
A. time.
B. energy.
C. distance.
D. direction. 
 Answer: C
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million . 
 Label:", Positive,positive
29,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Which of the following is a consumer?
A. grain
B. rabbit
C. vegetable
D. tree 
 Answer: B
Question:Mold is often found growing on old bread. In a food chain, mold is a ___.
A. decomposer
B. producer
C. consumer
D. scavenger 
 Answer: A
Question:Living things are classified as producers or consumers according to
A. their speed of movement
B. the size of their communities
C. how they obtain food
D. how they reproduce 
 Answer: C
Question:Which of the following events involves a consumer and producer in a food chain?
A. A cat eats a mouse.
B. A deer eats a leaf.
C. A hawk eats a mouse.
D. A snake eats a rat. 
 Answer: B
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Sales have risen in other export markets . 
 Label:", Positive,positive
47,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:One student wrote a report about an investigation in which fertilizer was added to tomato plants. Which information from that student's report would most help a second student repeat the investigation?
A. the amount of fertilizer added
B. the height of the fertilized plants
C. the size of each tomato produced
D. the number of tomatoes produced 
 Answer: A
Question:The following represents a number displayed on a calculator. 1.454545 E3. Which of the following shows how a student should record this number in a laboratory report?
A. (1.45)^3
B. 1 5/11
C. 1.45 x 10^3
D. 1.45 x 3 
 Answer: C
Question:As the population of small fish in a lake decreases, the population of large fish that depend on the small fish for food will
A. reproduce faster
B. begin to produce their own food
C. decrease in number
D. increase in number 
 Answer: C
Question:Which unit is used to indicate the amount of energy in food?
A. ounce
B. degree
C. calorie
D. gram 
 Answer: C
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 . 
 Label:", Positive,positive
52,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:The following represents a number displayed on a calculator. 1.454545 E3. Which of the following shows how a student should record this number in a laboratory report?
A. (1.45)^3
B. 1 5/11
C. 1.45 x 10^3
D. 1.45 x 3 
 Answer: C
Question:The axis of Earth is tilted at an angle of 23.5° from the vertical position. Which of the following is the main result of this tilt?
A. tides
B. eclipses
C. length of year
D. change of seasons 
 Answer: D
Question:Two identical lamps contain the same amount of different types of oil. They are allowed to burn until all the oil has been burned. Which measurement will best provide the total difference in chemical energy between the two oils?
A. final weight of lamp
B. original volume of oil
C. time it took for lamps to use oil
D. height of flame produced by lamp 
 Answer: C
Question:Which sequence correctly shows the levels of increasing organization in the human body?
A. tissues -> cells -> organ systems -> organs
B. cells -> tissues -> organs -> organ systems
C. organs -> organ systems -> cells -> tissues
D. organ systems -> organs -> tissues -> cells 
 Answer: A
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 . 
 Label:", Positive,positive
