id,prompt,pred,true_label
45258d3d-b974-44dd-a161-c3fccbdadd88,"Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: In the early development of many organisms, the action potential is actually initially carried by calcium current rather than sodium current. The opening and closing kinetics of calcium channels during development are slower than those of the voltage-gated sodium channels that will carry the action potential in the mature neurons. The longer opening times for the calcium channels can lead to action potentials that are considerably slower than those of mature neurons. Xenopus neurons initially have action potentials that take 60--90 ms. During development, this time decreases to 1 ms. There are two reasons for this drastic decrease. First, the inward current becomes primarily carried by sodium channels. Second, the delayed rectifier, a potassium channel current, increases to 3.5 times its initial strength. 
 Question:do all neurons have the same action potential 
 Answer: False
Context: Peripheral neuropathy may be classified according to the number and distribution of nerves affected (mononeuropathy, mononeuritis multiplex, or polyneuropathy), the type of nerve fiber predominantly affected (motor, sensory, autonomic), or the process affecting the nerves; e.g., inflammation (neuritis), compression (compression neuropathy), chemotherapy (chemotherapy-induced peripheral neuropathy). 
 Question:is polyneuropathy and peripheral neuropathy the same thing 
 Answer: False
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not true for myelinated nerve fibers: 
A. Impulse through myelinated fibers is slower than non-myelinated fibers 
B. Membrane currents are generated at nodes of Ranvier 
C. Saltatory conduction of impulses is seen 
D. Local anesthesia is effective only when the nerve is not covered by myelin sheath 
 Answer:", A,A
406b5b4f-9ad4-42c0-9669-12d038df4ac8,"Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: At the root of the lung, the right superior pulmonary vein lies in front of and a little below the pulmonary artery; the inferior is situated at the lowest part of the lung hilum. Behind the pulmonary artery is the bronchus. The right main pulmonary veins (contains oxygenated blood) pass behind the right atrium and superior vena cava; the left in front of the descending thoracic aorta. 
 Question:does the right side of the heart carry oxygenated blood 
 Answer: True
Context: The nasal mucous membrane lines the nasal cavities, and is intimately adherent to the periosteum or perichondrium of the nasal conchae. It is continuous with the skin through the nares, and with the mucous membrane of the nasal part of the pharynx through the choanae. From the nasal cavity its continuity with the conjunctiva may be traced, through the nasolacrimal and lacrimal ducts; and with the frontal, ethmoidal, sphenoidal, and maxillary sinuses, through the several openings in the meatuses. The mucous membrane is thickest, and most vascular, over the nasal conchae. It is also thick over the septum; but it is very thin in the meatuses on the floor of the nasal cavities, and in the various sinuses. It is one of the most commonly infected tissues in adults and children. Inflammation of this tissue may cause significant impairment of daily activities, with symptoms such as stuffy nose, headache, mouth breathing, etc. 
 Question:the olfactory epithelium lies in a mucous membrane covering the inferior nasal conchae 
 Answer: True
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Highest concentration of oxygen is delivered through? 
A. Nasal cannula 
B. Venturi mask 
C. Bag and mask 
D. Mask with reservoir 
 Answer:", A. Nasal cannula,C
8b9a0e04-4281-418a-aa94-7414a325732f,"Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: In human anatomy, the cephalic vein is a superficial vein in the arm. 
 Question:is the cephalic vein considered a deep vein 
 Answer: False
Context: Whether the isosceles triangle is acute, right or obtuse depends on the vertex angle. In Euclidean geometry, the base angles cannot be obtuse (greater than 90°) or right (equal to 90°) because their measures would sum to at least 180°, the total of all angles in any Euclidean triangle. Since a triangle is obtuse or right if and only if one of its angles is obtuse or right, respectively, an isosceles triangle is obtuse, right or acute if and only if its vertex angle is respectively obtuse, right or acute. 
 Question:can the base angle of an isosceles triangle be obtuse 
 Answer: False
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as 
A. Average 
B. High 
C. Incomplete 
D. Low 
 Answer:", A,D
a3da135a-a6a2-4e1c-8823-8ab0913f5668,"Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: If exposure is suspected, the person should be removed from the source of exposure and decontaminated. Treatment involves supportive care and giving the person 100% oxygen. Hydroxocobalamin (vitamin B12) appears to be useful as an antidote and is generally first-line. Sodium thiosulphate may also be given. Historically cyanide has been used for mass suicide and by the Nazis for genocide. 
 Question:is oxygen an effective treatment for cyanide poisoning 
 Answer: True
Context: Oxygen toxicity is a condition resulting from the harmful effects of breathing molecular oxygen (O ) at increased partial pressures. It is also known as oxygen toxicity syndrome, oxygen intoxication, and oxygen poisoning. Historically, the central nervous system condition was called the Paul Bert effect, and the pulmonary condition the Lorrain Smith effect, after the researchers who pioneered its discovery and description in the late 19th century. Severe cases can result in cell damage and death, with effects most often seen in the central nervous system, lungs and eyes. Oxygen toxicity is a concern for underwater divers, those on high concentrations of supplemental oxygen (particularly premature babies), and those undergoing hyperbaric oxygen therapy. 
 Question:can you be killed by too much oxygen 
 Answer: True
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person? 
A. Neostigmine 
B. Atropine 
C. Flumazenil 
D. Physostigmine 
 Answer:", A,B
7627eb54-4499-45d0-ba1f-1c8dbc6f2342,"Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: Iron(II) gluconate, or ferrous gluconate, is a black compound often used as an iron supplement. It is the iron(II) salt of gluconic acid. It is marketed under brand names such as Fergon, Ferralet and Simron. 
 Question:is iron gluconate the same as ferrous gluconate 
 Answer: True
Context: As shown in Figure 2 (left), RuBisCO is one of many enzymes in the Calvin cycle. 
 Question:is rubisco the only enzyme that takes part in the calvin cycle 
 Answer: False
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Iron is present in all, EXCEPT 
A. Myoglobin 
B. Cytochrome 
C. Catalase 
D. Pyruvate kinase 
 Answer:", B,D
685afed9-5dfa-4383-9001-50148cf6cb99,"Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: Rainfall and the tropical climate dominate the tropical rain belt, which oscillates from the northern to the southern tropics over the course of the year, roughly following the solar equator. The tropical rain belt is an area of active rain that is positioned mostly around the tropics. According to the website Journey North, the reason the rain belt is situated near the tropics can be attributed to the fact that most of the sun's radiation is directed toward the equator, which is located in the middle of the tropics. This solar radiation generates large amounts of heat near the equator providing tropical regions with higher temperatures than most other regions on Earth. 
 Question:does it rain a lot in the tropics 
 Answer: True
Context: Outside of the tropics, the maximum elevation occurs at the summer solstice and the minimum at the winter solstice. The path of the Sun, or ecliptic, sweeps north and south between the northern and southern hemispheres. The days are longer around the summer solstice and shorter around the winter solstice. When the Sun's path crosses the equator, the length of the nights at latitudes +L° and -L° are of equal length. This is known as an equinox. There are two solstices and two equinoxes in a tropical year. 
 Question:is a solstice and an equinox the same thing 
 Answer: False
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Anti monsoon curve seen in : 
A. Premolar 
B. Molar 
C. Anterior 
D. All of the above. 
 Answer:", A.,D
e726a65e-0874-481f-b20e-717b951a7b73,"Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: Short stature is a common replacement of the term 'dwarfism', especially in a medical context. Short stature is clinically defined as a height within the lowest 2.3% of those in the general population. However, those with mild skeletal dysplasias may not be affected by dwarfism. In some cases of untreated hypochondroplasia, males grow up to 5 feet 5 inches. Though that is short in a relative context, it does not fall into the extreme ranges of the growth charts. 
 Question:can you be short and not a dwarf 
 Answer: True
Context: Arm span or reach (sometimes referred to as wingspan) is the physical measurement of the length from one end of an individual's arms (measured at the fingertips) to the other when raised parallel to the ground at shoulder height at a 90° angle. The average reach correlates to the person's height. Age and sex have to be taken into account to best predict height from arm span. 
 Question:is your height the same as your arm span 
 Answer: False
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Increase in height of mandible with increase in interdental spaces in elderly man 
A. Hyperpituitarism 
B. Hyperthyroidism 
C. Hypopituitarism 
D. Hyperparathyroidism 
 Answer:", A. Hyperpituitarism,A
0190a0f3-416a-4d56-a172-7738b023fd28,"Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: Although people typically use the word ``antihistamine'' to describe drugs for treating allergies, doctors and scientists use the term to describe a class of drug that opposes the activity of histamine receptors in the body. In this sense of the word, antihistamines are subclassified according to the histamine receptor that they act upon. The two largest classes of antihistamines are H-antihistamines and H-antihistamines. Antihistamines that target the histamine H-receptor are used to treat allergic reactions in the nose (e.g., itching, runny nose, and sneezing) as well as for insomnia. They are sometimes also used to treat motion sickness or vertigo caused by problems with the inner ear. Antihistamines that target the histamine H-receptor are used to treat gastric acid conditions (e.g., peptic ulcers and acid reflux). H-antihistamines work by binding to histamine H receptors in mast cells, smooth muscle, and endothelium in the body as well as in the tuberomammillary nucleus in the brain; H-antihistamines bind to histamine H receptors in the upper gastrointestinal tract, primarily in the stomach. 
 Question:is histamine an agonist for h1 and h2 receptors 
 Answer: True
Context: Second-generation antihistamines cross the blood--brain barrier to a much lower degree than the first-generation antihistamines. Their main benefit is they primarily affect peripheral histamine receptors and therefore are less sedating. However, high doses can still induce drowsiness through acting on the central nervous system. Some second-generation antihistamines, notably cetirizine, can interact with CNS psychoactive drugs such as bupropion and benzodiazepines. 
 Question:do second generation antihistamines cross the blood brain barrier 
 Answer: True
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:A patient has seasonal allergic rhinitis and is on terfenadine. He develops cardiac arrhythmias after a course of antibiotics. Which of the following antibiotic could have been given: 
A. Ampicillin 
B. Tetracycline 
C. Erythromycin 
D. Co-trimoxazole 
 Answer:", A,C
f2ed694c-991d-40e5-a191-25c076168ea6,"Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: In molecular biology, transformation is the genetic alteration of a cell resulting from the direct uptake and incorporation of exogenous genetic material from its surroundings through the cell membrane(s). For transformation to take place, the recipient bacteria must be in a state of competence, which might occur in nature as a time-limited response to environmental conditions such as starvation and cell density, and may also be induced in a laboratory. 
 Question:is it possible for bacteria to undergo genetic transformation naturally 
 Answer: True
Context: Although bacteria are traditionally divided into two main groups, Gram-positive and Gram-negative, based on their Gram stain retention property, this classification system is ambiguous as it refers to three distinct aspects (staining result, envelope organization, taxonomic group), which do not necessarily coalesce for some bacterial species. The Gram-positive and Gram-negative staining response is also not a reliable characteristic as these two kinds of bacteria do not form phylogenetic coherent groups. However, although Gram staining response is an empirical criterion, its basis lies in the marked differences in the ultrastructure and chemical composition of the bacterial cell wall, marked by the absence or presence of an outer lipid membrane. 
 Question:can bacteria be gram positive and gram negative 
 Answer: True
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Biofilm forming bacteria causes antimicrobial resist-ance by all of the following except: 
A. Mechanical barrier 
B. Increased excretion of antibiotics 
C. Altered metabolism 
D. Adherence 
 Answer:", A,D
e7f023ea-2147-47d3-9f2a-61fb60a900be,"Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: Several classes of antibiotics are effective in treating bubonic plague. These include aminoglycosides such as streptomycin and gentamicin, tetracyclines (especially doxycycline), and the fluoroquinolone ciprofloxacin. Mortality associated with treated cases of bubonic plague is about 1--15%, compared to a mortality of 40--60% in untreated cases. 
 Question:is there a treatment for the bubonic plague 
 Answer: True
Context: Although people typically use the word ``antihistamine'' to describe drugs for treating allergies, doctors and scientists use the term to describe a class of drug that opposes the activity of histamine receptors in the body. In this sense of the word, antihistamines are subclassified according to the histamine receptor that they act upon. The two largest classes of antihistamines are H-antihistamines and H-antihistamines. Antihistamines that target the histamine H-receptor are used to treat allergic reactions in the nose (e.g., itching, runny nose, and sneezing) as well as for insomnia. They are sometimes also used to treat motion sickness or vertigo caused by problems with the inner ear. Antihistamines that target the histamine H-receptor are used to treat gastric acid conditions (e.g., peptic ulcers and acid reflux). H-antihistamines work by binding to histamine H receptors in mast cells, smooth muscle, and endothelium in the body as well as in the tuberomammillary nucleus in the brain; H-antihistamines bind to histamine H receptors in the upper gastrointestinal tract, primarily in the stomach. 
 Question:is histamine an agonist for h1 and h2 receptors 
 Answer: True
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of these drugs is an antidote for fibrinolytic therapy? 
A. Epsilon aminocaproic acid 
B. Protamine 
C. Heparin 
D. Streptokinase 
 Answer:", A. Epsilon aminocaproic,A
