id,prompt,pred,true_label
4,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: The sea is very big. When you look at the map of the world, you will find there is more water than land. The sea covers three quarters of the world. It looks very pretty when the sun is shining on it. It can be very rough when there is a big wind.
The sea is also very deep in some places. Some parts of the sea are very shallow. But in some places the depth of the sea is very great. There is one spot, near Japan, where the sea is nearly 11 kilometers deep! The highest mountain in the world is about 9 kilometers high. If that mountain were put into the sea at that place, there would be 2 kilometers of water above it!
The sea is salty. Rivers, which flow into the sea, carry salt from the land into the sea. Some parts of the sea are more salty than other parts. There is one sea, called the Dead Sea, which is very salty. It is so salty that swimmers can't sink! Fish can't live in the Dead Sea!
The sea can be very cold. Divers, who go deep down in the sea, know this. On the top the water may be warm. When the diver goes downwards, the sea becomes colder and colder. Another thing happens. When the diver goes deeper, the water above presses down on him. It squeezes him. Then the diver has to wear clothes made of metal. But he cannot go very deep. Some people who wanted to go very deep used a very strong diving ship! They went down to a depth of eleven kilometers. 
 Question:The saltier the sea is,_. 
A. the easier people can swim in it 
B. the more the fish can live in 
C. the more dangerous it will be 
D. the more floating things there will ba 
 Answer: A
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:What is the height above or below sea level called?
A. elevation
B. depth
C. variation
D. latitude 
 Answer:", A ,A
5,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Where do you keep ice? In die freezer, of course. That's what scientists might have thought when they were looking for a safe place to store ice from mountain glaciers from around the world. They've decided to store ice in Antarctica because global warming is causing some of the glaciers in places like the Alps to melt.
Jerome Chappellaz of the French National Centre for Scientific Research is involved in creating an ice vault  there. He says: ""We are probably the only scientific community whose sample   is in danger of disappearing from the face of the planet. If you work on rocks or on tree rings, the raw material is still here and will be for many centuries.""
And why do scientists need to study ice from the Alps, for example? Ice formed on the top of a mountain is made of snow accumulated over thousands of years. Trapped air bubbles   contain samples of the atmosphere that existed when that ice was formed. Ice is a record of climate By examining ice. we know carbon dioxide in the atmosphere is higher now than in the last three million years. Researchers use this kind of data to build computer models and try to predict what might happen in the future.
The ice vault will be housed in a snow cave at the Concordia Research Station, which is operated by scientists from France and Italy. The ice samples will be sealed in bags and placed 10 meters below the surface. at a constant temperature of -50*C. This will put the scientists' minds at rest. Losing the ice samples would be a disaster, and nobody wants to see a mine of scientific knowledge lost forever in a giant pool. 
 Question:What makes Antarctica a safe place to store ice? 
A. Its large mountains. 
B. Its function as a freezer. 
C. The abundant ice samples there. 
D. The absence of global warming. 
 Answer: B
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:Ice cores, varves and what else indicate the environmental conditions at the time of their creation?
A. fossils
B. tree rings
C. magma
D. mountain ranges 
 Answer:", B ,B
8,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: New findings from Queen's University biologists show that in the plant world, bigger isn't necessarily better.
""Until now most of the thinking has suggested that to be a good competitor in the forest, you have to be a big plant,"" says Queen's Biology professor Lonnie Aarssen. ""But our research shows it's virtually the other way around.""
Previous studies showed that larger plant species monopolize  sunlight, water and other resources, limiting the number of smaller plant species that can exist around them. But the research has proved that _ is not generally the case in natural vegetation.
In the Queen's project, PhD student Laura Keating targeted the largest ""host plants"" of 16 woody plant species growing in the Okanogan Valley, British Columbia. The research team calculated the number and variety of plants that neighbored each large host plant. They then randomly selected plots without host plants and calculated the plant species there as well. The research showed that the massive trees have no effect on the number of species with which they coexist.
Smaller plants have many advantages over their overbearing neighbors, Professor Aarssen notes. Larger species generate physical space niches under their shelters where smaller species grow well. Smaller plants are much more effective than large trees at using available resources. They also produce seeds at a much younger age and higher rate than their bigger counterparts, and settle down much more quickly--thuscompeting with the newly-born plants of larger species. 
 Question:What's the main idea of the text? 
A. Smaller plants may have many advantages over their neighbors. 
B. In the plant world, the bigger is better than the smaller one. 
C. To be a good competitor in the forest, you have to be a small plant. 
D. Queen's University's students made a new research. 
 Answer: A
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:Which type of tree is dominant in temperate forests?
A. fungus
B. deciduous
C. shrubs
D. vines 
 Answer:", B ,B
10,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Liu Yun, 13, pretty and smart. She is a good student. But many students try to stay from her because Liu Yun's mum has AIDS  and her father has died of AIDS. Luckily, Liu Yun didn't get it.
AIDS means fear for most people. Nobody wants to play games with her. Even a teacher who used to like her turns his back on her now. The biggest problem is how other people look at her. She sometimes wants todrop out of schoolbecause she can no longer face others' indifference . 
It is said if a person has AIDS, it's still safe to eat and play with him. So I think Liu Yun's classmates and teachers are afraid of AIDS because they don't know much about AIDS. And Liu Yun needs their love and understanding. Even a friendly smile means a lot to her. 
 Question:Which of the following is TURE? 
A. Though Liu Yun's mother has AIDS, every teacher still love her. 
B. None of teachers love her after her mother has AIDS . 
C. Most of teachers love her after her mother has AIDS. 
D. Only a few teacher love her when her mother has AIDS. 
 Answer: B
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?
A. occasional array
B. normal array
C. incorrect array
D. regular array 
 Answer:", B ,D
12,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: There are many kinds of ants in America.One kind of ants is very strong.People are afraid of them and the other animals are afraid of them,too.
These ants are often in big groups .They eat all the animals on their way.They can kill and eat elephants.And they can eat horses,too.Sometimes they can even kill people and eat them.When the ants come near,people leave their homes.But people are sometimes happy after the ants pass by.Because they can see no insects  or snakes. 
 Question:People are afraid of the ants because   _  . 
A. they can eat and kill elephants 
B. they can eat horses 
C. they are often in big groups 
D. they can kill people 
 Answer: D
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:What are by far the most common type of invertebrate?
A. corals
B. insects
C. crustaceans
D. spiders 
 Answer:", B ,B
14,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: This is a room in Kate's house. There is a big bed, a table, a computer and some chairs in it. There's a glass and some books on the table. There is a picture on the wall. Kate is in the room. She is looking at the picture. Her father and mother are in the school. They work hard. 
 Question:Is there only one room in Kate's house? 
A. Yes, there is. 
B. There is a bed. 
C. There is a computer. 
D. I don't know. 
 Answer: D
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:Penis, testes, and epididymis are organs in what system?
A. plant reproductive system​
B. male reproductive system
C. virus reproductive system​
D. female reproductive system​ 
 Answer:", B,B
17,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Along the river banks of the Amazon and the Orinoco there lives a bird that swims before it can fly, flies like a fat chicken, eats green leaves, has the stomach of a cow and has claws   on its wings when young. They build their homes about 4.6m above the river, an important feature   for the safety of the young. It is called the hoatzin.
In appearance, the birds of both sexes look very much alike with brown on the back and cream and red on the underside. The head is small, with a large set of feathers on the top, bright red eyes, and blue skin. Its nearest relatives are the common birds, cuckoos. Its most striking feature, though, is only found in the young.
Baby hoatzins have a claw on the leading edge of each wing and another at the end of each wing tip. Using these four claws, together with the beak  , they can climb about in the bushes, looking very much like primitive birds must have done. When the young hoatzins have learned to fly, they lose their claws.
During the drier months between December and March hoatzins fly about the forest in groups of 20 to 30 birds, but in April, when the rainy season begins, they collect together in smaller living units of two to seven birds for producing purposes. 
 Question:Why do hoatzins collect together in smaller groups when the rainy season comes? 
A. To find more food. 
B. To protect themselves better. 
C. To keep themselves warm. 
D. To produce their young. 
 Answer: D
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:The bird ancestor that lived in trees developed what feature commonly associated with birds?
A. wings
B. tails
C. beaks
D. webbed feet 
 Answer:", D ,A
20,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Weather changes when the temperature and the amount of water in the atmosphere change. We can see and feel water coming from the atmosphere when we have rain. But the water must somehow get back to the atmosphere. Meteorologists call this the water cycle.
There are many stages in the water cycle. Rain falls when water vapour in clouds condenses . Drops of water form and fall to the ground. The water soaks into the ground and feeds streams and rivers. A lot of rain falls into the sea. The heat of the sun evaporates some of the water in the ground and in the rivers, lakes, and the sea. It changes the liquid water into water vapour. The vapour rises onto the air. Water vapour is normally invisible. On a very damp or humid day, however, you can sometimes see water vapour rising from a puddle  or pond in a mist  above the water. Water vapour also gets into the air from living things. Trees and other plants take in water through their roots and give off water vapour from their leaves. People and land animals drink water and breathe out water vapour. In all these ways the water returns to the air. There it gathers to form clouds and condenses to form rain. The rain falls to earth, and the cycle starts again. It continues even if snow or hail  fall instead because both eventually melt to form water. The amount of water vapour in the air depends on the temperature. The air is more moist  in the tropics  than in the cold polar regions. 
 Question:How many ways of the water returning to the air are discussed in the text? 
A. Two. 
B. Three. 
C. Four. 
D. Five. 
 Answer: B
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:What term means the amount of water vapor in the air?
A. pressure
B. humidity
C. temperature
D. ambient 
 Answer:", B ,B
22,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Do you know there are many kinds of grass? Some are tall. The kind that grows around your house is short grass. But field grass often grows as tall as a man.
Some food that we eat comes from plants of the grass family. Wheat and rice are two of them. We use wheat to make bread. We use both wheat and rice to make breakfast. At some places, people eat more rice than any other food.
Animals as well as people get food from the grass family. Cows eat hay . Do you know the kind of grass that horses like to eat? 
 Question:Which of the following doesn't get food from the grass family? 
A. Horses. 
B. Sheep. 
C. Dogs. 
D. Cows. 
 Answer: C
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?
A. heterotroph
B. reproductive
C. animal
D. plant 
 Answer:", D ,D
24,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: For all the dinner table, a glass of milk seems to be a constant, at least it was when I was growing up. It was widely believed that milk was integral in building strong bones and teeth. There's no doubt that dairy products  , and milk in particular, are high in protein and calcium, and most milk products are supplemented with Vitamin D and A.
While it's well known that our bones need calcium, some studies suggest that high calcium intake doesn't necessarily lower a person's risk for fractures  . A Harvard study found that people who drank two or more glasses of milk had no greater protection from breaking a bone than those who drank a glass or less a week. 
There's no doubt that we need calcium. Some anti-dairy supporters claim that dairy can lead to heart disease. Much of this claim is based on high fat and high dairy products, like cheeses and creams, which may indeed contribute to cardiovascular problems. Some studies have linked high milk intakes with a risk of prostate cancer; this seems to be caused by high-fat dairy products, not dairy in general.
Although milk was always regarded as one of the most important thing we need for our bones, yet least promoted, factors involved in strengthening bones. Perhaps we should think of dairy as less like a nutrient and more like a food. If you like it, eat it. If not, find  _ . Because some claims may not be completely true, when I eat a cream, I'm not thinking about calcium, protein, or any such thing I'm thinking delicious. 
 Question:Which of the following is TRUE on the milk? 
A. The more milk you drink, the more risk for fractures you might be. 
B. The more milk you drink, the less risk for fractures you might be. 
C. The less milk you drink, the less risk for fractures you might be. 
D. There is no link between them. 
 Answer: D
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:What are people with osteoporosis at increased risk of?
A. epilepsy
B. growth spurt
C. senility
D. bone fractures 
 Answer:", D ,D
