id,prompt,pred,true_label
Mercury_7175875,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: The bank earlier warned that profit growth would slow in the second half , citing the increasing momentum in profit growth in the comparative period of 1995 and increased investment . 
 Label: DT NN RB VBD IN NN NN MD VB IN DT JJ NN , VBG DT VBG NN IN NN NN IN DT JJ NN IN CD CC VBN NN .
Sentence: Hurricane Edouard grew stronger on Saturday as it swirled across the Atlantic Ocean , but forecasters at the National Hurricane Center said the storm would likely swing north and miss the Caribbean . 
 Label: NNP NNP VBD JJR IN NNP IN PRP VBD IN DT NNP NNP , CC NNS IN DT NNP NNP NNP VBD DT NN MD RB VB RB CC VB DT NNP .
Sentence: The rise has been very quick and very crazy . "" 
 Label: DT NN VBZ VBN RB JJ CC RB JJ . ""
Sentence: Following are some of the main factors likely to affect Indonesian stocks on Thursday : 
 Label: VBG VBP DT IN DT JJ NNS JJ TO VB JJ NNS IN NNP :
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?
A. Planetary density will decrease.
B. Planetary years will become longer.
C. Planetary days will become shorter.
D. Planetary gravity will become stronger. 
 Answer:", B. Planetary years will become longer.,C
Mercury_407327,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: The agency said it would monitor effects of the two new rules before considering the "" price improvement "" proposal again . 
 Label: DT NN VBD PRP MD VB NNS IN DT CD JJ NNS IN VBG DT "" NN NN "" NN RB .
Sentence: VW sees group net profit doubling in Q3 . 
 Label: NNP VBZ NN JJ NN NN IN NN .
Sentence: The bank earlier warned that profit growth would slow in the second half , citing the increasing momentum in profit growth in the comparative period of 1995 and increased investment . 
 Label: DT NN RB VBD IN NN NN MD VB IN DT JJ NN , VBG DT VBG NN IN NN NN IN DT JJ NN IN CD CC VBN NN .
Sentence: "" The one it landed on is 2,250 metres ( 2,460 yards ) long while the other one if more than 3,000 metres ( 3,300 yards ) long and is less steep , "" he added . 
 Label: "" DT CD PRP VBD IN VBZ CD NNS ( CD NNS ) JJ NN DT JJ CD IN JJR IN CD NNS ( CD NNS ) JJ CC VBZ RBR JJ , "" PRP VBD .
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?
A. the control
B. the hypothesis statement
C. the dependent (responding) variable
D. the independent (manipulated) variable 
 Answer:", B,D
Mercury_7086660,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: The area is filled with treacherous mountain peaks , ice fields and frigid waters . 
 Label: DT NN VBZ VBN IN JJ NN NNS , NN NNS CC JJ NNS .
Sentence: But Gcaleka ran into trouble as soon as he returned to South Africa with a skull he found in a cottage in a lonely Highland forest near Inverness . 
 Label: CC NNP VBD IN NN RB RB IN PRP VBD TO NNP NNP IN DT NN PRP VBD IN DT NN IN DT JJ NNP NN IN NNS .
Sentence: A third well drilled in this area , the Trax et al Morinville 2-25 , encountered the Leduc Reef but tested wet . 
 Label: DT JJ NN VBN IN DT NN , DT NNP VBD JJ NNP CD , VBD DT NNP NNP CC VBD JJ .
Sentence: Geology prefessors were quoted as saying that their collection of 10,000 rocks , gathered from across the nation and abroad , were irreplaceable . 
 Label: NNP NNS VBD VBN IN VBG IN PRP$ NN IN CD NNS , VBD IN IN DT NN CC RB , VBD JJ .
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?
A. There was once more water in the area.
B. The area was once grassland.
C. The climate in the area was once tropical.
D. There are active faults in the area. 
 Answer:", B,C
Mercury_7012740,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: - MIDEAST GULF / RED SEA 
 Label: : NNP NNP SYM VBN NNP
Sentence: - MIDEAST GULF / RED SEA 
 Label: : NNP NNP SYM VBN NNP
Sentence: with immediate effect , "" it said in a statement . 
 Label: IN JJ NN , "" PRP VBD IN DT NN .
Sentence: ( C ) 
 Label: ( NNP )
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Which statement best describes the effect of the Sun on the oceans?
A. The Sun influences the formation of waves.
B. The Sun creates water particles.
C. The Sun's rays cause organisms to come to the surface.
D. The Sun provides minerals. 
 Answer:", C,A
Mercury_LBS10610,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Temperatures at ground level can be 2.0 to 5.0 Celsius lower than at chest level depending on windspeed , sky conditions and ground surface moisture . 
 Label: NNS IN NN NN MD VB CD TO CD NNP RBR IN IN NN NN VBG IN JJ , NN NNS CC NN NN NN .
Sentence: Temperatures near normal . 
 Label: NNS IN JJ .
Sentence: Tomorrow and today rupiah closed at 2,342.00 / 42.45 and 2,341.5 / 42.0 , respectively . 
 Label: NN CC NN VBG VBN IN CD SYM CD CC CD SYM CD , RB .
Sentence: Freezing occurs at 0 Celsius ( 32.0 F ) . 
 Label: NN VBZ IN CD NNP ( CD NN ) .
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:The morning temperature in a city is 41°F. If a sunny, mild day is forecast, which temperature is most likely for 2:00 p.m.?
A. 32° F
B. 41° F
C. 78° F
D. 98° F 
 Answer:", A. 32° F,C
Mercury_7186568,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: PRESS DIGEST - Jordan - Aug 25 . 
 Label: NNS NNP : NNP : NNP CD .
Sentence: Individuals with the disease have a non-working version of a gene responsible for producing a crucial muscle protein called dystrophin . 
 Label: NNS IN DT NN VB DT JJ NN IN DT NN JJ IN VBG DT JJ NN NN VBD NN .
Sentence: PRESS DIGEST - FRANCE - LE MONDE AUG 26 . 
 Label: NNS VB : VBP : NNP NNP NNP CD .
Sentence: PRESS DIGEST - Tunisia - Aug 26 . 
 Label: NNS VB : NNP : NNP CD .
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. What is the main role of lysosomes in the process of food digestion?
A. building proteins
B. breaking down wastes
C. controlling the activities of the cell
D. converting energy from one form into another 
 Answer:", B,B
Mercury_402216,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: ATRIA SEES H2 RESULT UP ON H1 . 
 Label: NNP NNP NNP NNP RP IN NN .
Sentence: Note - Industrial gases maker Hoek Loos NV . 
 Label: VB : NNP NNS NN NNP NNP NNP .
Sentence: H1 1996 H1 1995 
 Label: NNP CD NN CD
Sentence: "" Profit-taking sales in the afternoon showed the latest gains of the index were actually a reaction rise . 
 Label: "" NN NNS IN DT NN VBD DT JJS NNS IN DT NN VBD RB DT NN NN .
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:When an electric current is passed through water (H_{2}O) using a specific apparatus, hydrogen (H_{2}) and oxygen (O_{2}) gases form. How can this reaction be shown in a chemical equation?
A. H_{2}O -> H + O + H
B. 2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g)
C. H:O:H -> H_{2}O
D. H_{2}O(l) -> 2H(g) + O(g) 
 Answer:", B. 2H_{2}O(,B
MCAS_2002_8_11,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Temperatures near normal . 
 Label: NNS IN JJ .
Sentence: Temperatures at ground level can be 2.0 to 5.0 Celsius lower than at chest level depending on windspeed , sky conditions and ground surface moisture . 
 Label: NNS IN NN NN MD VB CD TO CD NNP RBR IN IN NN NN VBG IN JJ , NN NNS CC NN NN NN .
Sentence: Freezing occurs at 0 Celsius ( 32.0 F ) . 
 Label: NN VBZ IN CD NNP ( CD NN ) .
Sentence: Indeed , a nice glass of chardonnay or white zinfandel was going for $ 4.75 , while an imported beer was just a bit more than the water at $ 4.50 . 
 Label: RB , DT JJ NN IN NN CC JJ NN VBD VBG IN $ CD , IN DT VBN NN VBD RB DT NN RBR IN DT NN IN $ CD .
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:A glass of water at 110°F is placed in a room next to a glass of water that is 50°F. The temperature of the room is 73°F at all times. If the two glasses were left in the room overnight, the temperature for both glasses of water the next day would be approximately
A. 43°F.
B. 50°F.
C. 73°F.
D. 90°F. 
 Answer:", B. 50°F.,C
Mercury_SC_405086,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Variable clouds in southern India with showers . 
 Label: JJ NNS IN JJ NNP IN NNS .
Sentence: Galeforce winds and heavy rains batter Belgium . 
 Label: JJ NNS CC JJ NNS NN NNP .
Sentence: The landing took place after a rainstorm . 
 Label: DT NN VBD NN IN DT NN .
Sentence: Partly cloudy in northern India with a few light showers . 
 Label: RB RB IN JJ NNP IN DT JJ NN NNS .
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Snow, rain, hail, and fog are all forms of
A. gas.
B. water.
C. wind.
D. clouds. 
 Answer:", B,B
Mercury_SC_408324,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: They said the drug had been packed into a shipping container and was surrounded by ground coffee . 
 Label: PRP VBD DT NN VBD VBN VBD IN DT NN NN CC VBD VBN IN NN NN .
Sentence: Freezing occurs at 0 Celsius ( 32.0 F ) . 
 Label: NN VBZ IN CD NNP ( CD NN ) .
Sentence: ( C ) 
 Label: ( NNP )
Sentence: Maybe it was a combination of the heat and something I ate . "" 
 Label: RB PRP VBD DT NN IN DT NN CC NN PRP VBD . ""
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Scott filled a tray with juice and put it in a freezer. The next day, Scott opened the freezer. How did the juice most likely change?
A. It condensed.
B. It evaporated.
C. It became a gas.
D. It became a solid. 
 Answer:", B,D
