id,prompt,pred,true_label
Mercury_7175875,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Sixty-five million years ago, an asteroid   that crashed on Earth led to the disappearance of the largest animals that have ever walked our planet - the dinosaurs. At least, this is what some scientists believe. But that accident happened so long ago. People have come to believe that we are free of threats from asteroids and everything else from space.
However, what happened on Feb 15 , 2013 was a reminder that we're just as _ as the dinosaurs once were. Two objects from space - a meteor   and an asteroid called 2012 DA14 -  visited Earth's atmosphere on the same day. The former fell in Russia, injuring 1,200 people, while the latter passed by Earth at a record-setting close distance.
Scientists had been expecting the asteroid since last year, but the meteor was a surprise. NASA's telescope system only detects asteroids at least 50 meters in diameter  , which is just about the size of 2012 DA14. But the meteor was much smaller, which made it harder to spot.
But what if we do spot an asteroid that is headed right for Earth? There are several possible ways in which dangerous asteroids could be made to change its orbit. Which method is best depends on several factors and most importantly  -  how much time we have to stop it.
If there is enough time before the hit, we can send off a heavy spacecraft to travel alongside the asteroid. The gravity from the spacecraft would gradually change the rock's orbit. Besides that, scientists could one day use sun-powered lasers to either make asteroids disappear or change their course. If there's not enough time, we'll have to go after the asteroid with a spacecraft and change its orbit with a crash. Finally, if things are truly desperate, there will be only one choice left -  to use a nuclear bomb. That could turn the asteroid into a meteor shower, which would be even more dangerous. 
 Question:The author mentioned the asteroid that led to the dinosaurs' dying out to   _  . 
A. show that asteroids fall from space frequently 
B. alert people about the possible danger of objects falling from space 
C. inform readers about the constant threats the Earth faces 
D. suggest that there are still many mysteries about the universe 
 Answer: B
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?
A. Planetary density will decrease.
B. Planetary years will become longer.
C. Planetary days will become shorter.
D. Planetary gravity will become stronger. 
 Answer:", C,C
Mercury_407327,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Tom is a young man. He has a very big dog and he has a very small car, too. He likes playing tennis. Today he plays tennis for two hours at the club and then he wants to go home by car. His dog comes after him, but it does not jump into the same car. It jumps into the next car. ""Come here, foolish  dog!"" Tom shouts at it, but the dog still stays in the next car. Tom puts his key into the lock of the car, but the key does not turn . Then he looks at the car again. It is not his car! He is in the wrong car! And the dog is in the right car! 
 Question:When Tom puts his key into the lock of the car, the key   _  . 
A. doesn't turn 
B. turns 
C. is lost 
D. isn't lost 
 Answer: A
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?
A. the control
B. the hypothesis statement
C. the dependent (responding) variable
D. the independent (manipulated) variable 
 Answer:", C,D
Mercury_7086660,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: There are some places in the world where great cities once stood. There were trees, gardens and grass. But now these cities have gone and the places are like deserts. Scientists began to study this land to find out what happened. Many of them believed the land died when the trees were cut down.
Trees help other plants grow and help hold the soil in place. They keep the soil from blowing away. The leaves of trees on the ground keep rainwater from running off. Trees near farms protect growing plants from strong winds.
Once there were hundreds of farms in the southwestern United States. Then the farms turned into fields of dry dust. Trees might have saved these farms. But few trees grow in the dry southwest now.
Now we try to save trees. In many places, when a tree is cut down , a new tree is planted in its place . We do not want the land to die. 
 Question:Which is true ? 
A. Trees let the rainwater run off . 
B. All the farms in the United States have turned into deserts . 
C. There aren't any trees in the dry southwest now . 
D. Land will die if there are no trees . 
 Answer: D
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?
A. There was once more water in the area.
B. The area was once grassland.
C. The climate in the area was once tropical.
D. There are active faults in the area. 
 Answer:", A,C
Mercury_7012740,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Besides providing an ideal environment for sea plants and animals to live in, seawater has other values, one of which is that it constantly moves, and its movements produce energy.
The most obvious movements are waves and the tides. Winds causes the waves, and the gravitational pull of the moon and the son causes tides. In places like the Bay of Fundy in Canada, the difference between the high and low tide level can be as much as 40 feet.
France and Britain are now trying to use energy in the tides to produce electricity. Waves can produce electricity and some experiments are taking place to learn more about this. One of the most encouraging areas of research uses the difference between the temperature of seawater at the surface and deep down to produce electricity. 
 Question:According to the passage, which of the following is not true? 
A. The temperature difference of seawater can produce electricity. 
B. The energy in the tides can produce electricity. 
C. Waves can produce electricity. 
D. The plants and animals in the ocean can produce electricity. 
 Answer: B
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Which statement best describes the effect of the Sun on the oceans?
A. The Sun influences the formation of waves.
B. The Sun creates water particles.
C. The Sun's rays cause organisms to come to the surface.
D. The Sun provides minerals. 
 Answer:", A,A
Mercury_LBS10610,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Alice is a busy girl. Now she is relaxing .She is watching the Friday night weather report on television .She likes sunny weather just like today. She wants to know what the weather will be like tomorrow.
She's going to have a picnic  .This is what the reporter is saying, ""Good evening and welcome to evening weather report. We are going to have a very different weather across the country...""Alice is sad .She doesn't like raining. 
 Question:What day is it tomorrow?    _  . 
A. Friday 
B. Saturday 
C. Sunday 
D. Monday 
 Answer: B
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:The morning temperature in a city is 41°F. If a sunny, mild day is forecast, which temperature is most likely for 2:00 p.m.?
A. 32° F
B. 41° F
C. 78° F
D. 98° F 
 Answer:", B,C
Mercury_7186568,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: People eat different things in different parts of the world.
In south China we eat rice every day. Sometimes we eat it two or three times a day, for breakfast, lunch and supp-er. We usually eat it with fish, meat and vegetables.
The Japanese eat rice, too. They also eat a lot of fish. They sometimes eat raw fish. In Africa, maize is the most important food. People there make maize into flour .From this flour they make different kinds of bread and cakes.
In western countries such as Britain, Australia and the U.S.A, the most important food is bread or potatoes. People there usually make their bread from wheat flour. They cook the potatoes in different ways. In England the most popular food is fish and chips. Sometimes people cook this food at home, but usually they buy it at the shop. They eat this food at home, in their work place, in the park or on the road. People call it ""take-away"" food. 
 Question:This passage is about   _  . 
A. food 
B. drink 
C. clothes 
D. ways of life 
 Answer: A
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. What is the main role of lysosomes in the process of food digestion?
A. building proteins
B. breaking down wastes
C. controlling the activities of the cell
D. converting energy from one form into another 
 Answer:", B,B
Mercury_402216,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Air is an odorless  , invisible   gas that surrounds the earth. It is everywhere on the planet. An ""empty"" drinking glass and an ""empty"" room, to give two examples, are not really empty. Each is filled with air. When the glass is filled with water, the water pushes the air out of the glass.
Air, as a gas, has no definite   shape, but, because it is matter, it takes up space. It is easy to prove that air is something that takes up space. _ a dry handkerchief into the bottom  of a glass so that it will not fall out when the glass is turned upside-down. Push the upside-down glass; hold it straight into a jar of water till the glass is completely covered. When the glass is taken out of water, the handkerchief will be dry. The air inside the glass takes up space and keeps the water from coming in. 
 Question:The writer tells us that   _  . 
A. the experiment is done in the laboratory 
B. the experiment is done outside the room 
C. the experiment is easily done 
D. the experiment is carried out indoors 
 Answer: C
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:When an electric current is passed through water (H_{2}O) using a specific apparatus, hydrogen (H_{2}) and oxygen (O_{2}) gases form. How can this reaction be shown in a chemical equation?
A. H_{2}O -> H + O + H
B. 2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g)
C. H:O:H -> H_{2}O
D. H_{2}O(l) -> 2H(g) + O(g) 
 Answer:", B,B
MCAS_2002_8_11,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: This summer, Liu Hongcan, a 30-year-old Chongqing woman, had to say goodbye to her daughter again. She sent her little girl to Guizhou province to stay with her daughter's grandparents for the summer vacation  _  in Chongqing.
A list of ""hottest cities"" in China came out last month. Chongqing is No.1 on the list. Fuzhou and Hangzhou take the second and third place.
The list is based on a ""heat index"" .It uses temperature and humidity date 1981 to 2011.The scientists tried to learn how hot the weather was over a period of time, and find out how people feel.
High humidity will stop heat leaving the body. It makes people feel worse on high-temperature. Dryness, on the other hand, can allow heat to leave the body.
In July this year, Chongqing saw 25 days of high temperature (over 35degC). Forty-eight people in the city had heatstroke from the start of April to the middle of August, the local health bureau  said.
Chongqing people have to look for different ways to cool down. Throwing themselves into water is a good choice. Lin Jing, a worker at the Caribbean Water Park has received more guests this summer than before. About 15,000 people have visited the park a day during this year's hot season. 
 Question:According to the temperature, the order is  _  . 
A. Chongqing, Hangzhou, Fuzhou, Ningbo 
B. Fuzhou, Chongqing, Hangzhou, Ningbo 
C. Chongqing, Fuzhou, Hangzhou, Ningbo 
D. Ningbo, Fuzhou, Chongqing, Hangzhou 
 Answer: C
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:A glass of water at 110°F is placed in a room next to a glass of water that is 50°F. The temperature of the room is 73°F at all times. If the two glasses were left in the room overnight, the temperature for both glasses of water the next day would be approximately
A. 43°F.
B. 50°F.
C. 73°F.
D. 90°F. 
 Answer:", C,C
Mercury_SC_405086,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Weather changes when the temperature and the amount of water in the atmosphere change. We can see and feel water coming from the atmosphere when we have rain. But the water must somehow get back to the atmosphere. Meteorologists call this the water cycle.
There are many stages in the water cycle. Rain falls when water vapour in clouds condenses . Drops of water form and fall to the ground. The water soaks into the ground and feeds streams and rivers. A lot of rain falls into the sea. The heat of the sun evaporates some of the water in the ground and in the rivers, lakes, and the sea. It changes the liquid water into water vapour. The vapour rises onto the air. Water vapour is normally invisible. On a very damp or humid day, however, you can sometimes see water vapour rising from a puddle  or pond in a mist  above the water. Water vapour also gets into the air from living things. Trees and other plants take in water through their roots and give off water vapour from their leaves. People and land animals drink water and breathe out water vapour. In all these ways the water returns to the air. There it gathers to form clouds and condenses to form rain. The rain falls to earth, and the cycle starts again. It continues even if snow or hail  fall instead because both eventually melt to form water. The amount of water vapour in the air depends on the temperature. The air is more moist  in the tropics  than in the cold polar regions. 
 Question:How many ways of the water returning to the air are discussed in the text? 
A. Two. 
B. Three. 
C. Four. 
D. Five. 
 Answer: B
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Snow, rain, hail, and fog are all forms of
A. gas.
B. water.
C. wind.
D. clouds. 
 Answer:", B,B
Mercury_SC_408324,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Warm water freezes   more quickly than cold water. Sir Francis Bacon said that almost four hundred years ago. But few people believed him until 1970. In that year Canadian scientist Geoge Kell proved   the English physicist was right. Dr Kell filled one open bowl   with cold water. He filled another with warm water. He put both bowls to the same low temperature. The warm water froze   first.
The lack   of covers on the bowls was the secret  . Some of the warm water changed into vapor.   It evaporated   into the air. This meant that less of the warm water was left to freeze. And so the warm water froze faster than the cold water. 
 Question:Warm vapor can't freeze faster if the bowls are   _  . 
A. full 
B. covered 
C. put outside 
D. changed 
 Answer: B
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Scott filled a tray with juice and put it in a freezer. The next day, Scott opened the freezer. How did the juice most likely change?
A. It condensed.
B. It evaporated.
C. It became a gas.
D. It became a solid. 
 Answer:", B,D
