id,prompt,pred,true_label
45258d3d-b974-44dd-a161-c3fccbdadd88,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: sensation  
 Label: positive
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not true for myelinated nerve fibers: 
A. Impulse through myelinated fibers is slower than non-myelinated fibers 
B. Membrane currents are generated at nodes of Ranvier 
C. Saltatory conduction of impulses is seen 
D. Local anesthesia is effective only when the nerve is not covered by myelin sheath 
 Answer:", D. Local anesthesia is effective only when the nerve,A
406b5b4f-9ad4-42c0-9669-12d038df4ac8,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: a breath  
 Label: positive
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Highest concentration of oxygen is delivered through? 
A. Nasal cannula 
B. Venturi mask 
C. Bag and mask 
D. Mask with reservoir 
 Answer:", B. Venturi mask,C
8b9a0e04-4281-418a-aa94-7414a325732f,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as 
A. Average 
B. High 
C. Incomplete 
D. Low 
 Answer:", B. High,D
a3da135a-a6a2-4e1c-8823-8ab0913f5668,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: , this is likely to cause massive cardiac arrest if taken in large doses .  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person? 
A. Neostigmine 
B. Atropine 
C. Flumazenil 
D. Physostigmine 
 Answer:", D. Physostigmine,B
7627eb54-4499-45d0-ba1f-1c8dbc6f2342,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: screwball farce and blood-curdling family intensity on one continuum  
 Label: positive
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Iron is present in all, EXCEPT 
A. Myoglobin 
B. Cytochrome 
C. Catalase 
D. Pyruvate kinase 
 Answer:", D. Pyruvate kinase,D
685afed9-5dfa-4383-9001-50148cf6cb99,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: underlines even the dullest tangents  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Anti monsoon curve seen in : 
A. Premolar 
B. Molar 
C. Anterior 
D. All of the above. 
 Answer:", D. All of the above.,D
e726a65e-0874-481f-b20e-717b951a7b73,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: diminishing his stature  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Increase in height of mandible with increase in interdental spaces in elderly man 
A. Hyperpituitarism 
B. Hyperthyroidism 
C. Hypopituitarism 
D. Hyperparathyroidism 
 Answer:", D. Hyperparathyroidism,A
0190a0f3-416a-4d56-a172-7738b023fd28,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: , this is likely to cause massive cardiac arrest if taken in large doses .  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:A patient has seasonal allergic rhinitis and is on terfenadine. He develops cardiac arrhythmias after a course of antibiotics. Which of the following antibiotic could have been given: 
A. Ampicillin 
B. Tetracycline 
C. Erythromycin 
D. Co-trimoxazole 
 Answer:", C. Erythromycin,C
f2ed694c-991d-40e5-a191-25c076168ea6,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: to overcome my resistance  
 Label: positive
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Biofilm forming bacteria causes antimicrobial resist-ance by all of the following except: 
A. Mechanical barrier 
B. Increased excretion of antibiotics 
C. Altered metabolism 
D. Adherence 
 Answer:", B. Increased excretion of antibiotics,D
e7f023ea-2147-47d3-9f2a-61fb60a900be,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: cold , gray , antiseptic and  
 Label: negative
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of these drugs is an antidote for fibrinolytic therapy? 
A. Epsilon aminocaproic acid 
B. Protamine 
C. Heparin 
D. Streptokinase 
 Answer:", B. Protamine,A
57d48689-dcbd-4e81-9ea9-d56b7f7eed2d,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: who does n't think about percentages all day long  
 Label: positive
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Percentage of carbon in carbon steel hand instruments is 
A. 1-1.2% 
B. 10-12% 
C. 0.6 to 0.8% 
D. 6 to 8% 
 Answer:", C. 0.6 to 0.8%,A
