id,prompt,pred,true_label
4,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: do n't feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it 's a dish that 's best served cold .  
 Label: positive
Sentence: makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and/or restroom and not feel as if he or she has missed anything  
 Label: negative
Sentence: juiced with enough energy and excitement  
 Label: positive
Sentence: the writing is indifferent , and jordan brady 's direction is prosaic  
 Label: negative
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Jordan was in charge of taking the food on the camping trip and left all the food at home. 
 Question:How would Jordan feel afterwards? 
A. horrible that he let his friends down on the camping trip 
B. happy that he doesn't need to do the cooking on the trip 
C. very proud and accomplished about the camping trip 
 Answer:",B,A
12,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: executed it takes your breath away  
 Label: positive
Sentence: lifeless execution  
 Label: negative
Sentence: director hoffman , his writer and kline 's agent should serve detention  
 Label: negative
Sentence: a pretty good execution  
 Label: positive
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Alex walked Robin towards the execution chamber for her last meal. 
 Question:Why did Alex do this? 
A. work at the jail 
B. So Robin can eat 
C. release her 
 Answer:", A,A
24,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: sad and rote exercise  
 Label: negative
Sentence: an awkwardly contrived exercise  
 Label: negative
Sentence: makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and/or restroom and not feel as if he or she has missed anything  
 Label: negative
Sentence: lie  
 Label: negative
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Riley had twisted their leg and began to hurt so bad that they could not walk. 
 Question:What does Riley need to do before this? 
A. lie down 
B. run 
C. Sit and relax 
 Answer:", B,B
25,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: might have been called freddy gets molested by a dog  
 Label: negative
Sentence: which might have been called freddy gets molested by a dog )  
 Label: negative
Sentence: wondering why lee 's character did n't just go to a bank manager and save everyone the misery  
 Label: positive
Sentence: dead dog  
 Label: negative
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Carson was at a friend's house but suddenly announced they needed to go home. 
 Question:Why did Carson do this? 
A. caught a bus 
B. called a cab 
C. forgot to feed the dog 
 Answer:", C,C
26,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: is enough to make you put away the guitar , sell the amp , and apply to medical school .  
 Label: negative
Sentence: knowledge , education , and  
 Label: positive
Sentence: make it required viewing in university computer science departments for years to come  
 Label: positive
Sentence: taylor 's cartoonish performance  
 Label: negative
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Taylor taught math in the schools after studying to be a teacher for four years. 
 Question:What does Taylor need to do before this? 
A. get a certificate 
B. teach small children 
C. work in a school 
 Answer:", A,A
29,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: wondering why lee 's character did n't just go to a bank manager and save everyone the misery  
 Label: positive
Sentence: ca n't begin to tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents ...  
 Label: negative
Sentence: done his homework  
 Label: positive
Sentence: tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents  
 Label: negative
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: kai was bored and had nothing to do so he played card games. 
 Question:What will Kai want to do next? 
A. do math homework 
B. do nothing 
C. watch television 
 Answer:",C. watch television,C
33,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: they find new routes through a familiar neighborhood  
 Label: positive
Sentence: requisite faux-urban vibe  
 Label: negative
Sentence: bring fresh good looks and an ease in front of the camera to the work  
 Label: positive
Sentence: a look  
 Label: positive
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: jan took them to NYC so that they could experience the city for the first time. 
 Question:What will Others want to do next? 
A. look around 
B. look nowhere 
C. make sure they get a good first impression of NYC 
 Answer:", B,A
34,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: told through on-camera interviews with several survivors , whose riveting memories are rendered with such clarity that it 's as if it all happened only yesterday  
 Label: positive
Sentence: a credible account of a puzzling real-life happening  
 Label: positive
Sentence: reminds us of our own responsibility to question what is told as the truth  
 Label: positive
Sentence: may be based on a true and historically significant story  
 Label: positive
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
 Question:Why did Tracy do this? 
A. tracy who has through watching the history channel 
B. prove that they know the truth 
C. tracy who has got alot of details wrong 
 Answer:", A,B
37,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: do n't feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it 's a dish that 's best served cold .  
 Label: positive
Sentence: but it will just as likely make you weep , and it will do so in a way that does n't make you feel like a sucker .  
 Label: positive
Sentence: the tale has turned from sweet to bittersweet , and when the tears come during that final , beautiful scene , they finally feel absolutely earned .  
 Label: positive
Sentence: the tale has turned from sweet to bittersweet , and when the tears come during that final , beautiful scene , they finally feel absolutely earned  
 Label: positive
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Carson returned to Robin's house after previously storming out during a huge fight. 
 Question:How would Carson feel afterwards? 
A. proud 
B. humiliated 
C. happy 
 Answer:",B,B
42,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: is n't going to make box office money that makes michael jordan jealous  
 Label: negative
Sentence: guy gets girl  
 Label: positive
Sentence: an obvious rapport with her actors and  
 Label: positive
Sentence: mike white 's deft combination of serious subject matter and dark , funny humor make `` the good girl '' a film worth watching .  
 Label: positive
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: jordan wanted to be nice to a girl so he took her to the shoe store. 
 Question:What does Jordan need to do before this? 
A. buy the girl some shoes 
B. ask the girl on a date 
C. be kind 
 Answer:", B,B
