id,prompt,pred,true_label
4,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Oceans to Rise One Meter by 2100-Arctic Expert (Reuters) Reuters - Global warming is melting the Arctic\ice faster than expected, and the world's oceans could rise by\about a meter (3 feet) by 2100, swamping homes from Bangladesh\to Florida, the head of a study said on Tuesday. 
 Label: technology
Sentence: A Mountain Too High Less than a week after a historic 29-17 victory over Pittsburgh - UConn #39;s first as a Big East Conference member -he Huskies were no match for the conference #39;s best team, West Virginia. 
 Label: sports
Sentence: Oil Prices Climb Above \$42 a Barrel  SINGAPORE (Reuters) - Oil prices climbed above \$42 a barrel  on Wednesday, rising for the third day in a row as the heavy  consuming U.S. Northeast feels the first chills of winter. 
 Label: business
Sentence: France Unveils World #39;s Tallest Bridge MILLAU, France -- French citizens and officials are celebrating a roadway bridge considered to be the world #39;s tallest. One of the Millau bridge #39;s pillars reaches more than 1,100 feet into the air, making it more than 50 feet taller than the Eiffel Tower. 
 Label: world
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What is the height above or below sea level called?
A. elevation
B. depth
C. variation
D. latitude 
 Answer:", A. elevation,A
5,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Radar Images Suggest a Saturn Moon's Landscape Contains Basins of Ice The Cassini spacecraft's first radar images of Saturn's largest moon, Titan, have revealed a diverse frozen landscape of bright streaks and dark regions. 
 Label: technology
Sentence: Fossil Indicates Brown Bears Went South (AP) AP - A fossilized jaw found in an Alberta gravel pit may have cleared up a mystery for researchers wondering how brown bears originally made it across North America. 
 Label: technology
Sentence: When the Sun lost its heat Locked away in fossils is evidence of a sudden solar cooling. Kate Ravilious meets the experts who say it could explain a 3,000-year-old mass migration - and today #39;s global warming. 
 Label: technology
Sentence: Bottom-Dwelling Marine Life Found in Ga. (AP) AP - Researchers working off coastal Georgia have discovered what could be three new species of bottom-dwelling creatures known as sea squirts. 
 Label: technology
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Ice cores, varves and what else indicate the environmental conditions at the time of their creation?
A. fossils
B. tree rings
C. magma
D. mountain ranges 
 Answer:",A,B
8,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Likhovtseva Wins Forest Hills Title (AP) AP - Top-seeded Elena Likhovtseva of Russia won the Forest Hills Classic on Saturday, defeating fourth-seeded Iveta Benesova of the Czech Republic 6-2, 6-2. 
 Label: sports
Sentence: Rare, ""Weird"" Snake Survives in Louisiana One of the rarest snakes in the U.S., the Louisiana pine snake is relatively abundant on a tract of commercial forest in the state. Scientists hope to learn why. 
 Label: technology
Sentence: News: New England Forests at Greater Risk from Air Pollution When it comes to forests, air pollution is not an equal opportunity hazard. While dirty air spreads across large areas of the New England region, it's more scattered in the southeastern part of the United States. (University of Wisconsin-Madison press release) 
 Label: technology
Sentence: Wind disperses genes of bioengineered grass Genes from a biotech turf grass have spread as much as 13 miles from a test plot - a discovery that confirms the ability of altered traits to spread great distances into the wild on wind-borne pollen. 
 Label: business
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Which type of tree is dominant in temperate forests?
A. fungus
B. deciduous
C. shrubs
D. vines 
 Answer:",B,B
10,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Middle East ; ElBaradei denies charges of collaboration with Iran ElBaradei was reacting to news reports that he had heeded Iranian demands to drop mentions of IAEA requests to visit the Parchin military site and Irans use of the sensitive material beryllium in a report he had made to the IAEA board in September. 
 Label: world
Sentence: Israeli FM cautions EU not to back new UN vote on barrier Foreign Minister Sylvan Shalom cautioned the European Union Sunday to not back any Palestinian moves to condemn Israel at the United Nations for its controversial West Bank separation barrier. 
 Label: world
Sentence: NASD charges H amp;R Block on Enron bonds NEW YORK -- Securities regulator NASD on Monday charged H amp;R Block Inc. with fraudulently promoting Enron Corp. bonds to customers just weeks before the energy trader declared bankruptcy in 2001. 
 Label: business
Sentence: Tourists award gold to Athens ATHENS (Reuters) - The Olympic hosts are winning rave reviews after the first week of the Athens Games, with foreign visitors expressing delight with the friendly, clean and well-organised Greek capital.  
 Label: sports
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?
A. occasional array
B. normal array
C. incorrect array
D. regular array 
 Answer:",A,D
12,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Bottom-Dwelling Marine Life Found in Ga. (AP) AP - Researchers working off coastal Georgia have discovered what could be three new species of bottom-dwelling creatures known as sea squirts. 
 Label: technology
Sentence: Why did sea monsters have long necks? Scientists working in China have discovered an ancient swimming predator with a neck nearly twice as long as its body. Neck ribs line the reptiles 5.5-foot-long (1. 
 Label: technology
Sentence: Coral gets its color from bacteria The soft orange glow of a common Caribbean coral comes not from the coral itself but from bacteria that live inside it, US scientists said last week. And the bacteria not only give the coral a little night light, but they also break down seawater to help ... 
 Label: technology
Sentence: Mission Studying Lionfish Off N.C. Coast (AP) AP - When divers first reported lionfish off the North Carolina coast four years ago, biologist Paula Whitfield thought it must be a mistake or an aberration. The poisonous, carnivorous Indo-Pacific lionfish is native to tropical waters half a world away  #151; not the seas off the Outer Banks. 
 Label: technology
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What are by far the most common type of invertebrate?
A. corals
B. insects
C. crustaceans
D. spiders 
 Answer:", A,B
14,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: All Bio Systems Are Go Systems biologists are pushing the envelope of preventive medicine through research centered on the interactions of the thousands of pieces of DNA, RNA and proteins that network together in each cell of our body. By Rowan Hooper. 
 Label: technology
Sentence: Sperm grown in the lab fertilises eggs Cells critical to sperm development have been grown in the lab and used to father baby mice, US researchers say. They said the development could lead to easier ways to genetically manipulate animals, and said  
 Label: technology
Sentence: Simple Kidney Test Predicts Heart Death By Ed Edelson    New study strengthens connection between two organ ailments    HealthDayNews -- A new blood test could provide the quick, easy marker of kidney function that cardiologists need to assess patients being treated for heart attacks or other serious coronary events, Swedish researchers report.    The test measures blood levels of cystatin C, a molecule that is produced by most cells and is filtered out of the blood by the kidneys... 
 Label: technology
Sentence: Colorado Man Gets Web-Arranged Kidney Transplant (Reuters) Reuters - A 58-year-old Colorado man received a\new kidney on Wednesday in the first transplant operation in\the United States using an organ found on a private Web site,\hospital officials said. 
 Label: technology
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Penis, testes, and epididymis are organs in what system?
A. plant reproductive system​
B. male reproductive system
C. virus reproductive system​
D. female reproductive system​ 
 Answer:",B,B
17,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Feathered embryo found in China A 121 million-year-old baby arboreal bird, fossilised while still curled in its egg, has been found in China, Science magazine reports this week. 
 Label: technology
Sentence: Why did sea monsters have long necks? Scientists working in China have discovered an ancient swimming predator with a neck nearly twice as long as its body. Neck ribs line the reptiles 5.5-foot-long (1. 
 Label: technology
Sentence: Fossil Indicates Brown Bears Went South (AP) AP - A fossilized jaw found in an Alberta gravel pit may have cleared up a mystery for researchers wondering how brown bears originally made it across North America. 
 Label: technology
Sentence: Strange world of island species On one island visited by Sinbad during his travels, he found a giant bird with the wingspan of a whale, while Odysseus, according to Homer, discovered an island race of one-eyed giants who ate humans. 
 Label: technology
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:The bird ancestor that lived in trees developed what feature commonly associated with birds?
A. wings
B. tails
C. beaks
D. webbed feet 
 Answer:", A,A
20,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Study Shows Dirty Air Lowers Lung Capacity By LINDA A. JOHNSON    (AP) -- New research shows that teenagers who grow up in heavy air pollution have reduced lung capacity, putting them at risk for illness and premature death as adults... 
 Label: technology
Sentence: Wanted: Sleeping Space for Protesters. Hot Water Optional. The protesters coming to New York are receiving an outpouring of hospitality from scores of people who are opening their homes as temporary, free shelter. 
 Label: world
Sentence: Popping Opportunity's Escape Hatch The Mars Opportunity site continues to intrigue scientists as they decipher the chemistry deeper in Endurance crater. The rise in chlorine and fall in sulfur may suggest alterations by evaporating water in the crater's past. 
 Label: technology
Sentence: Study: VoIP costs all over the map Companies trying to deploy Internet phone calling face varied costs depending on the technology provider, according to a report. 
 Label: technology
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What term means the amount of water vapor in the air?
A. pressure
B. humidity
C. temperature
D. ambient 
 Answer:", B. humidity,B
22,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: The Tech Inventory Hair Ball When each company in a food chain has an inventory glut, look out below. 
 Label: business
Sentence: Tenn. Seeks Help in Plant Categorization (AP) AP - State officials are calling on the public to help them count and categorize all the plants and animals in Tennessee's 54 parks. 
 Label: technology
Sentence: Bottom-Dwelling Marine Life Found in Ga. (AP) AP - Researchers working off coastal Georgia have discovered what could be three new species of bottom-dwelling creatures known as sea squirts. 
 Label: technology
Sentence: Spinach Power Adds Muscle to Batteries Using the photosynthesis of spinach to produce electric current. 
 Label: technology
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?
A. heterotroph
B. reproductive
C. animal
D. plant 
 Answer:", A,D
24,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Study Details Mobile Phone Dangers Long-term use increases the risk of developing tumors, new research indicates. 
 Label: technology
Sentence: Vioxx recall raises prescribing questions There are many other treatment options for people with arthritis, and physicians are considering them patient by patient. Washington -- Physicians are pulling out their risk-versus-benefit calculators once  
 Label: business
Sentence: Mobile Phones Increase Tumor Risk - Swedish Study  STOCKHOLM (Reuters) - Ten or more years of mobile phone use  increases the risk of developing acoustic neuroma, a benign  tumor on the auditory nerve, according to a study released on  Wednesday by Sweden's Karolinska Institute. 
 Label: technology
Sentence: Mobile Phones Increase Tumor Risk, Study Says Ten or more years of mobile phone use increases the risk of developing acoustic neuroma, a benign tumor on the auditory nerve, according to a study released on Wednesday by Sweden #39;s Karolinska Institute. 
 Label: technology
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What are people with osteoporosis at increased risk of?
A. epilepsy
B. growth spurt
C. senility
D. bone fractures 
 Answer:", Bone fractures,D
