id,prompt,pred,true_label
4,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:When are people buying products more? 
A. debt 
B. economic boom 
C. being able to use 
D. disagreements 
E. trading 
 Answer: B
Question:What is the likely result of buying products in excess? 
A. running out of money 
B. spending money 
C. poverty 
D. comparison shopping 
E. overstocking 
 Answer: E
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . 
 Label:", Positive,positive
8,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:What is the likely result of buying products in excess? 
A. running out of money 
B. spending money 
C. poverty 
D. comparison shopping 
E. overstocking 
 Answer: E
Question:When are people buying products more? 
A. debt 
B. economic boom 
C. being able to use 
D. disagreements 
E. trading 
 Answer: B
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period . 
 Label:", Positive,positive
13,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:The teacher knew her students understood division, what was she hoping they would learn next? 
A. multiplication 
B. multiply 
C. putting together 
D. unity 
E. pay debts 
 Answer: A
Question:The person signed up for home insurance, what is he seeking? 
A. financial security 
B. live well 
C. good relationship 
D. compliments 
E. discounted furniture 
 Answer: A
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 . 
 Label:", ,positive
22,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:If somebody buys something and gives it to me as a free gift, what is the cost status of the gift? 
A. deadly 
B. imprisoned 
C. paid for 
D. expensive 
E. in prison 
 Answer: C
Question:The teacher knew her students understood division, what was she hoping they would learn next? 
A. multiplication 
B. multiply 
C. putting together 
D. unity 
E. pay debts 
 Answer: A
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million . 
 Label:", ,positive
25,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:The teacher knew her students understood division, what was she hoping they would learn next? 
A. multiplication 
B. multiply 
C. putting together 
D. unity 
E. pay debts 
 Answer: A
Question:When are people buying products more? 
A. debt 
B. economic boom 
C. being able to use 
D. disagreements 
E. trading 
 Answer: B
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % . 
 Label:", ,positive
26,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:What do most companies not want to have relative to demand? 
A. oversupply 
B. plentitude 
C. stockpile 
D. superabundance 
E. busy 
 Answer: A
Question:While waiting for this appointment, people often read magazines. 
A. doctor 
B. train station 
C. newsagent 
D. market 
E. table 
 Answer: A
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % . 
 Label:", ,positive
27,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:When are people buying products more? 
A. debt 
B. economic boom 
C. being able to use 
D. disagreements 
E. trading 
 Answer: B
Question:What is the likely result of buying products in excess? 
A. running out of money 
B. spending money 
C. poverty 
D. comparison shopping 
E. overstocking 
 Answer: E
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million . 
 Label:", ,positive
29,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:When are people buying products more? 
A. debt 
B. economic boom 
C. being able to use 
D. disagreements 
E. trading 
 Answer: B
Question:What do you do when you're going to market? 
A. buy food 
B. see other people 
C. buying vegetables 
D. buy a fat pig 
E. traveling 
 Answer: A
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Sales have risen in other export markets . 
 Label:", Positive,positive
47,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:When are people buying products more? 
A. debt 
B. economic boom 
C. being able to use 
D. disagreements 
E. trading 
 Answer: B
Question:What is the likely result of buying products in excess? 
A. running out of money 
B. spending money 
C. poverty 
D. comparison shopping 
E. overstocking 
 Answer: E
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 . 
 Label:", Positive,positive
52,"Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:When are people buying products more? 
A. debt 
B. economic boom 
C. being able to use 
D. disagreements 
E. trading 
 Answer: B
Question:What is the likely result of buying products in excess? 
A. running out of money 
B. spending money 
C. poverty 
D. comparison shopping 
E. overstocking 
 Answer: E
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 . 
 Label:", Positive,positive
