id,prompt,pred,true_label
Mercury_7175875,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Dust and ash entering the atmosphere as a result of volcanic eruptions can affect Earth's
A. tidal activity
B. orbital shape
C. weather and climate
D. rotation and revolution 
 Answer: C
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question: Which of these do scientists offer as the most recent explanation as to why many plants and animals died out at the end of the Mesozoic era?
A. ""worldwide disease 
B. global mountain building 
C. rise of mammals that preyed upon plants and animals 
D. impact of an asteroid created dust that blocked the sunlight 
 Answer: D 
Question:An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?
A. Planetary density will decrease.
B. Planetary years will become longer.
C. Planetary days will become shorter.
D. Planetary gravity will become stronger. 
 Answer:", C ,C
Mercury_407327,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:A scientist observes an unusual activity while studying bacterial cells. Using scientific inquiry to investigate the activity will enable the scientist to
A. control the behavior.
B. prove that the behavior is beneficial.
C. evaluate different explanations of the behavior.
D. conclude how the behavior will change in the future. 
 Answer: C
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question: Which of these do scientists offer as the most recent explanation as to why many plants and animals died out at the end of the Mesozoic era?
A. ""worldwide disease 
B. global mountain building 
C. rise of mammals that preyed upon plants and animals 
D. impact of an asteroid created dust that blocked the sunlight 
 Answer: D 
Question:A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?
A. the control
B. the hypothesis statement
C. the dependent (responding) variable
D. the independent (manipulated) variable 
 Answer:", C ,D
Mercury_7086660,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:The best evidence that two land areas were once connected is the discovery that both land masses
A. have the same climate.
B. are in the same stage of succession.
C. exist along the same line of longitude.
D. have similar types of rocks and fossils. 
 Answer: D
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question: Which of these do scientists offer as the most recent explanation as to why many plants and animals died out at the end of the Mesozoic era?
A. ""worldwide disease 
B. global mountain building 
C. rise of mammals that preyed upon plants and animals 
D. impact of an asteroid created dust that blocked the sunlight 
 Answer: D 
Question:Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?
A. There was once more water in the area.
B. The area was once grassland.
C. The climate in the area was once tropical.
D. There are active faults in the area. 
 Answer:", C ,C
Mercury_7012740,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:What is the MAJOR role of the Sun in the water cycle?
A. It causes evaporation.
B. It allows plants to grow.
C. It provides heat for organisms.
D. It transmits light. 
 Answer: A
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question: Which of these do scientists offer as the most recent explanation as to why many plants and animals died out at the end of the Mesozoic era?
A. ""worldwide disease 
B. global mountain building 
C. rise of mammals that preyed upon plants and animals 
D. impact of an asteroid created dust that blocked the sunlight 
 Answer: D 
Question:Which statement best describes the effect of the Sun on the oceans?
A. The Sun influences the formation of waves.
B. The Sun creates water particles.
C. The Sun's rays cause organisms to come to the surface.
D. The Sun provides minerals. 
 Answer:", C,A
Mercury_LBS10610,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:A city has a temperature of 75 °F, with partly cloudy skies. Weather forecasters are predicting that the air pressure and temperature will drop during the day. Which type of weather is most likely for this area in the late afternoon?
A. rainy.
B. sunny.
C. snowing.
D. hailing. 
 Answer: A
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question: Which of these do scientists offer as the most recent explanation as to why many plants and animals died out at the end of the Mesozoic era?
A. ""worldwide disease 
B. global mountain building 
C. rise of mammals that preyed upon plants and animals 
D. impact of an asteroid created dust that blocked the sunlight 
 Answer: D 
Question:The morning temperature in a city is 41°F. If a sunny, mild day is forecast, which temperature is most likely for 2:00 p.m.?
A. 32° F
B. 41° F
C. 78° F
D. 98° F 
 Answer:", C,C
Mercury_7186568,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:The process of digestion breaks down proteins into smaller molecules that are used to rebuild other proteins. During digestion, proteins undergo
A. cell division.
B. nuclear reactions.
C. natural selection.
D. chemical changes. 
 Answer: D
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question: Which of these do scientists offer as the most recent explanation as to why many plants and animals died out at the end of the Mesozoic era?
A. ""worldwide disease 
B. global mountain building 
C. rise of mammals that preyed upon plants and animals 
D. impact of an asteroid created dust that blocked the sunlight 
 Answer: D 
Question:Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. What is the main role of lysosomes in the process of food digestion?
A. building proteins
B. breaking down wastes
C. controlling the activities of the cell
D. converting energy from one form into another 
 Answer:", B ,B
Mercury_402216,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Hydrogen gas and oxygen gas combine to form water. Which would be a more concise way of expressing what happens in this chemical reaction?
A. write a chemical formula
B. write a chemical equation
C. describe the rearrangement of the atoms
D. describe the procedure for creating this change 
 Answer: B
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question: Which of these do scientists offer as the most recent explanation as to why many plants and animals died out at the end of the Mesozoic era?
A. ""worldwide disease 
B. global mountain building 
C. rise of mammals that preyed upon plants and animals 
D. impact of an asteroid created dust that blocked the sunlight 
 Answer: D 
Question:When an electric current is passed through water (H_{2}O) using a specific apparatus, hydrogen (H_{2}) and oxygen (O_{2}) gases form. How can this reaction be shown in a chemical equation?
A. H_{2}O -> H + O + H
B. 2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g)
C. H:O:H -> H_{2}O
D. H_{2}O(l) -> 2H(g) + O(g) 
 Answer:", B ,B
MCAS_2002_8_11,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:What is the highest temperature that water can reach in a pot on a stove?
A. 50°C
B. 90°C
C. 100°C
D. 212°C 
 Answer: C
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question: Which of these do scientists offer as the most recent explanation as to why many plants and animals died out at the end of the Mesozoic era?
A. ""worldwide disease 
B. global mountain building 
C. rise of mammals that preyed upon plants and animals 
D. impact of an asteroid created dust that blocked the sunlight 
 Answer: D 
Question:A glass of water at 110°F is placed in a room next to a glass of water that is 50°F. The temperature of the room is 73°F at all times. If the two glasses were left in the room overnight, the temperature for both glasses of water the next day would be approximately
A. 43°F.
B. 50°F.
C. 73°F.
D. 90°F. 
 Answer:", B ,C
Mercury_SC_405086,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Sleet and hail are forms of
A. clouds
B. energy
C. evaporation
D. precipitation 
 Answer: D
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question: Which of these do scientists offer as the most recent explanation as to why many plants and animals died out at the end of the Mesozoic era?
A. ""worldwide disease 
B. global mountain building 
C. rise of mammals that preyed upon plants and animals 
D. impact of an asteroid created dust that blocked the sunlight 
 Answer: D 
Question:Snow, rain, hail, and fog are all forms of
A. gas.
B. water.
C. wind.
D. clouds. 
 Answer:", D,B
Mercury_SC_408324,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Ice cream in a bowl changed from solid to liquid in a few minutes. Which of the following most likely caused this change?
A. Bacteria grew in the ice cream.
B. Heat was added to the ice cream.
C. Water evaporated from the ice cream.
D. Frozen berries were sprinkled on the ice cream. 
 Answer: B
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question: Which of these do scientists offer as the most recent explanation as to why many plants and animals died out at the end of the Mesozoic era?
A. ""worldwide disease 
B. global mountain building 
C. rise of mammals that preyed upon plants and animals 
D. impact of an asteroid created dust that blocked the sunlight 
 Answer: D 
Question:Scott filled a tray with juice and put it in a freezer. The next day, Scott opened the freezer. How did the juice most likely change?
A. It condensed.
B. It evaporated.
C. It became a gas.
D. It became a solid. 
 Answer:", A ,D
