id,prompt,pred,true_label
4,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Operating profit 9.75 vs 5.79 
 Label: NN NN CD NNP CD
Sentence: Net profit 6.08 vs 3.98 
 Label: JJ NN CD NNP CD
Sentence: - Operating profit 9 vs 3 
 Label: : NN NN CD NNP CD
Sentence: Operating profit 44.4 vs 40.7 
 Label: NN NN CD NNP CD
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . 
 Label:", NN NN CD NNP CD,positive
8,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Net profit 6.08 vs 3.98 
 Label: JJ NN CD NNP CD
Sentence: Net profit 20.318 vs 22.828 
 Label: JJ NN CD NNP CD
Sentence: Operating profit 9.75 vs 5.79 
 Label: NN NN CD NNP CD
Sentence: Operating profit 44.4 vs 40.7 
 Label: NN NN CD NNP CD
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period . 
 Label:", NN NN CD NNP CD,positive
13,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Net Income Per 
 Label: JJ NNP IN
Sentence: Net Income 9,167,000 11,175,000 16,909,000 10,880,000 
 Label: JJ NNP CD CD CD CD
Sentence: - Net Income ( loss ) $ 2,074 ( $ 3,422 ) 
 Label: : JJ NNP ( NN ) $ CD ( $ CD )
Sentence: Pro forma net income 
 Label: FW FW JJ NN
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 . 
 Label:", JJ NNP IN,positive
22,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: ** Ciputra Development on reports of a plan to build property projects worth $ 2 billion in Jakarta and Surabaya . 
 Label: SYM NNP NNP IN NNS IN DT NN TO VB NN NNS JJ $ CD CD IN NNP CC NNP .
Sentence: EPA Q2 +168,130 +31,230 +167,330 12.3 million 
 Label: NNP NNP CD CD CD CD CD
Sentence: Total Zagreb Money Market settlements shrank to 17.4 million kuna , of which dealers put new borrowing at a meagre 5.5 million . 
 Label: NNP NNP NNP NNP NNS VBD TO CD CD NN , IN WDT NNS VBP JJ NN IN DT FW CD CD .
Sentence: PF IKS KB PLUS 156.00 156.00 6000 936.000 
 Label: IN NNP NNP VBZ CD CD CD CD
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million . 
 Label:", NNP NNP NNP NNP NNS,positive
25,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: It bumped up its average interest rate projection in 1997 to 25.8 percent from 23 percent . 
 Label: PRP VBD RP PRP$ JJ NN NN NN IN CD TO CD NN IN CD NN .
Sentence: M4 MONEY SUPPLY ( % ) Jul +2.6 +4.2R +10.8 - - 
 Label: NN NN VBZ ( NN ) NNP CD CD CD : :
Sentence: In Home Health said it previously recorded a reserve equal to 16 percent of all revenue related to the community liaison costs . 
 Label: IN NNP NNP VBD PRP RB VBD DT NN JJ TO CD NN IN DT NN VBD TO DT NN NN NNS .
Sentence: Net Income 9,167,000 11,175,000 16,909,000 10,880,000 
 Label: JJ NNP CD CD CD CD
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % . 
 Label:", NN NN NN NN NN,positive
26,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: traffic 2,500 up 6.4 pct 
 Label: NN CD RB CD NN
Sentence: The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 . 
 Label: DT NNS VBP DT CD NN NN IN NN NNS CC DT CD NN NN IN NNS IN NNP CD .
Sentence: Revenue from commuter traffic 5,400 up 4.6 pct 
 Label: NN IN NN NN CD RB CD NN
Sentence: Revenue freight-tonne kilometres ( million ) 1,600 up 7 pct 
 Label: NN NN NNS ( CD ) CD RB CD NN
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % . 
 Label:", NN NN NN NN NN,positive
27,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Boskalis reported 1996 first-half net profit fell to 27.5 million guilders from a year-earlier 41.4 million . 
 Label: NNP VBD CD JJ JJ NN VBD TO CD CD NNS IN DT JJ CD CD .
Sentence: Earlier , Newcrest reported a drop in net profit after abnormals to A$ 20.81 million for the year from A$ 42.4 million the previous year . 
 Label: RBR , NNP VBD DT NN IN JJ NN IN NNS TO $ CD CD IN DT NN IN $ CD CD DT JJ NN .
Sentence: Jiangling Motors Corp , in a statement in Saturday 's edition of the China Securities newspaper , said net profit in the period was 3.385 million yuan , down from 14.956 million in the same 1995 period . 
 Label: NNP NNPS NNP , IN DT NN IN NNP POS NN IN DT NNP NNPS NN , VBD JJ NN IN DT NN VBD CD CD NN , RB IN CD CD IN DT JJ CD NN .
Sentence: News announced pre-abnormals net profit for the year fell six percent to A$ 1.26 billion ( US$ 995 million ) and earnings per share dropped to 40 cents from 46 cents . 
 Label: NN VBD NNS NN NN IN DT NN VBD CD NN TO $ CD CD ( $ CD CD ) CC NNS IN NN VBD TO CD NNS IN CD NNS .
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million . 
 Label:", NN NN IN DT NN N,positive
29,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Market Arrivals Auction Traders Plant 
 Label: NNP NNPS NNP NNS NN
Sentence: It has sales in 38 foreign countries . 
 Label: PRP VBZ NNS IN CD JJ NNS .
Sentence: Sales 8.70 8.67 
 Label: NNS CD CD
Sentence: Otherwise , you get selling out of Tokyo and Frankfurt again . "" 
 Label: RB , PRP VB VBG IN IN NNP CC NNP RB . ""
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Sales have risen in other export markets . 
 Label:", NNS NNS NNS NNS NNS,positive
47,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: The Bank of Finland earlier estimated the April trade surplus at 3.2 billion markka with exports projected at 14.5 billion and imports at 11.3 billion . 
 Label: DT NNP IN NNP RBR VBN DT NNP NN NN IN CD CD NNS IN NNS VBN IN CD CD CC NNS IN CD CD .
Sentence: The bank earlier warned that profit growth would slow in the second half , citing the increasing momentum in profit growth in the comparative period of 1995 and increased investment . 
 Label: DT NN RB VBD IN NN NN MD VB IN DT JJ NN , VBG DT VBG NN IN NN NN IN DT JJ NN IN CD CC VBN NN .
Sentence: Net profit 6.08 vs 3.98 
 Label: JJ NN CD NNP CD
Sentence: M4 MONEY SUPPLY ( % ) Jul +2.6 +4.2R +10.8 - - 
 Label: NN NN VBZ ( NN ) NNP CD CD CD : :
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 . 
 Label:", NN NN NN NN NN,positive
52,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: NOTE - Sales , profit compare with first half of 1995 , workforce compares with Dec 31 . 
 Label: NN : NNS , NN VB IN JJ NN IN CD , NN VBZ IN NNP CD .
Sentence: GDP figures are quarterly on annualised basis . 
 Label: NNP NNS VBP JJ IN JJ NN .
Sentence: - Operating profit 9 vs 3 
 Label: : NN NN CD NNP CD
Sentence: The bank earlier warned that profit growth would slow in the second half , citing the increasing momentum in profit growth in the comparative period of 1995 and increased investment . 
 Label: DT NN RB VBD IN NN NN MD VB IN DT JJ NN , VBG DT VBG NN IN NN NN IN DT JJ NN IN CD CC VBN NN .
Definition: Given a sentence mined from a financial news article, you are to determine the sentiment polarity of the sentence. The task deals with financial sentiment analysis. Based on the sentiment conveyed by the sentence, label the sentence as ""negative"", ""positive"" or ""neutral""
Sentence: Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 . 
 Label:"," NN NN CD NNP CD , N",positive
