id,prompt,pred,true_label
45258d3d-b974-44dd-a161-c3fccbdadd88,"Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not compatible with a diagnosis of chronic myelomonocytic leukemia ? 
A. Absence of Philadelphia chromosome 
B. More than 20% blasts in blood or bone marrow 
C. Both a,b 
D. None 
 Answer:B
Question:Total fluid secreted by salivary gland, stomach, pancrease and itestine in a day - 
A. 2000ml 
B. 4000ml 
C. 6500 ml 
D. 10000 ml 
 Answer:C
Question:Digoxin toxicity is increased by all except: 
A. Renal impairment 
B. Hyperkalemia 
C. Hypercalcemia 
D. Hypomagnesemia 
 Answer:B
Question:The only fat-soluble vitamin that has coenzyme function 
A. A 
B. D 
C. E 
D. K 
 Answer:D
Question:Which of the following is not true for myelinated nerve fibers: 
A. Impulse through myelinated fibers is slower than non-myelinated fibers 
B. Membrane currents are generated at nodes of Ranvier 
C. Saltatory conduction of impulses is seen 
D. Local anesthesia is effective only when the nerve is not covered by myelin sheath 
 Answer:",A,A
406b5b4f-9ad4-42c0-9669-12d038df4ac8,"Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not compatible with a diagnosis of chronic myelomonocytic leukemia ? 
A. Absence of Philadelphia chromosome 
B. More than 20% blasts in blood or bone marrow 
C. Both a,b 
D. None 
 Answer:B
Question:Total fluid secreted by salivary gland, stomach, pancrease and itestine in a day - 
A. 2000ml 
B. 4000ml 
C. 6500 ml 
D. 10000 ml 
 Answer:C
Question:Digoxin toxicity is increased by all except: 
A. Renal impairment 
B. Hyperkalemia 
C. Hypercalcemia 
D. Hypomagnesemia 
 Answer:B
Question:The only fat-soluble vitamin that has coenzyme function 
A. A 
B. D 
C. E 
D. K 
 Answer:D
Question:Highest concentration of oxygen is delivered through? 
A. Nasal cannula 
B. Venturi mask 
C. Bag and mask 
D. Mask with reservoir 
 Answer:",A,C
8b9a0e04-4281-418a-aa94-7414a325732f,"Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not compatible with a diagnosis of chronic myelomonocytic leukemia ? 
A. Absence of Philadelphia chromosome 
B. More than 20% blasts in blood or bone marrow 
C. Both a,b 
D. None 
 Answer:B
Question:Total fluid secreted by salivary gland, stomach, pancrease and itestine in a day - 
A. 2000ml 
B. 4000ml 
C. 6500 ml 
D. 10000 ml 
 Answer:C
Question:Digoxin toxicity is increased by all except: 
A. Renal impairment 
B. Hyperkalemia 
C. Hypercalcemia 
D. Hypomagnesemia 
 Answer:B
Question:The only fat-soluble vitamin that has coenzyme function 
A. A 
B. D 
C. E 
D. K 
 Answer:D
Question:In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as 
A. Average 
B. High 
C. Incomplete 
D. Low 
 Answer:",A,D
a3da135a-a6a2-4e1c-8823-8ab0913f5668,"Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not compatible with a diagnosis of chronic myelomonocytic leukemia ? 
A. Absence of Philadelphia chromosome 
B. More than 20% blasts in blood or bone marrow 
C. Both a,b 
D. None 
 Answer:B
Question:Total fluid secreted by salivary gland, stomach, pancrease and itestine in a day - 
A. 2000ml 
B. 4000ml 
C. 6500 ml 
D. 10000 ml 
 Answer:C
Question:Digoxin toxicity is increased by all except: 
A. Renal impairment 
B. Hyperkalemia 
C. Hypercalcemia 
D. Hypomagnesemia 
 Answer:B
Question:The only fat-soluble vitamin that has coenzyme function 
A. A 
B. D 
C. E 
D. K 
 Answer:D
Question:A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person? 
A. Neostigmine 
B. Atropine 
C. Flumazenil 
D. Physostigmine 
 Answer:",A,B
7627eb54-4499-45d0-ba1f-1c8dbc6f2342,"Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not compatible with a diagnosis of chronic myelomonocytic leukemia ? 
A. Absence of Philadelphia chromosome 
B. More than 20% blasts in blood or bone marrow 
C. Both a,b 
D. None 
 Answer:B
Question:Total fluid secreted by salivary gland, stomach, pancrease and itestine in a day - 
A. 2000ml 
B. 4000ml 
C. 6500 ml 
D. 10000 ml 
 Answer:C
Question:Digoxin toxicity is increased by all except: 
A. Renal impairment 
B. Hyperkalemia 
C. Hypercalcemia 
D. Hypomagnesemia 
 Answer:B
Question:The only fat-soluble vitamin that has coenzyme function 
A. A 
B. D 
C. E 
D. K 
 Answer:D
Question:Iron is present in all, EXCEPT 
A. Myoglobin 
B. Cytochrome 
C. Catalase 
D. Pyruvate kinase 
 Answer:",A,D
685afed9-5dfa-4383-9001-50148cf6cb99,"Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not compatible with a diagnosis of chronic myelomonocytic leukemia ? 
A. Absence of Philadelphia chromosome 
B. More than 20% blasts in blood or bone marrow 
C. Both a,b 
D. None 
 Answer:B
Question:Total fluid secreted by salivary gland, stomach, pancrease and itestine in a day - 
A. 2000ml 
B. 4000ml 
C. 6500 ml 
D. 10000 ml 
 Answer:C
Question:Digoxin toxicity is increased by all except: 
A. Renal impairment 
B. Hyperkalemia 
C. Hypercalcemia 
D. Hypomagnesemia 
 Answer:B
Question:The only fat-soluble vitamin that has coenzyme function 
A. A 
B. D 
C. E 
D. K 
 Answer:D
Question:Anti monsoon curve seen in : 
A. Premolar 
B. Molar 
C. Anterior 
D. All of the above. 
 Answer:",A,D
e726a65e-0874-481f-b20e-717b951a7b73,"Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not compatible with a diagnosis of chronic myelomonocytic leukemia ? 
A. Absence of Philadelphia chromosome 
B. More than 20% blasts in blood or bone marrow 
C. Both a,b 
D. None 
 Answer:B
Question:Total fluid secreted by salivary gland, stomach, pancrease and itestine in a day - 
A. 2000ml 
B. 4000ml 
C. 6500 ml 
D. 10000 ml 
 Answer:C
Question:Digoxin toxicity is increased by all except: 
A. Renal impairment 
B. Hyperkalemia 
C. Hypercalcemia 
D. Hypomagnesemia 
 Answer:B
Question:The only fat-soluble vitamin that has coenzyme function 
A. A 
B. D 
C. E 
D. K 
 Answer:D
Question:Increase in height of mandible with increase in interdental spaces in elderly man 
A. Hyperpituitarism 
B. Hyperthyroidism 
C. Hypopituitarism 
D. Hyperparathyroidism 
 Answer:",A,A
0190a0f3-416a-4d56-a172-7738b023fd28,"Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not compatible with a diagnosis of chronic myelomonocytic leukemia ? 
A. Absence of Philadelphia chromosome 
B. More than 20% blasts in blood or bone marrow 
C. Both a,b 
D. None 
 Answer:B
Question:Total fluid secreted by salivary gland, stomach, pancrease and itestine in a day - 
A. 2000ml 
B. 4000ml 
C. 6500 ml 
D. 10000 ml 
 Answer:C
Question:Digoxin toxicity is increased by all except: 
A. Renal impairment 
B. Hyperkalemia 
C. Hypercalcemia 
D. Hypomagnesemia 
 Answer:B
Question:The only fat-soluble vitamin that has coenzyme function 
A. A 
B. D 
C. E 
D. K 
 Answer:D
Question:A patient has seasonal allergic rhinitis and is on terfenadine. He develops cardiac arrhythmias after a course of antibiotics. Which of the following antibiotic could have been given: 
A. Ampicillin 
B. Tetracycline 
C. Erythromycin 
D. Co-trimoxazole 
 Answer:",A,C
f2ed694c-991d-40e5-a191-25c076168ea6,"Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not compatible with a diagnosis of chronic myelomonocytic leukemia ? 
A. Absence of Philadelphia chromosome 
B. More than 20% blasts in blood or bone marrow 
C. Both a,b 
D. None 
 Answer:B
Question:Total fluid secreted by salivary gland, stomach, pancrease and itestine in a day - 
A. 2000ml 
B. 4000ml 
C. 6500 ml 
D. 10000 ml 
 Answer:C
Question:Digoxin toxicity is increased by all except: 
A. Renal impairment 
B. Hyperkalemia 
C. Hypercalcemia 
D. Hypomagnesemia 
 Answer:B
Question:The only fat-soluble vitamin that has coenzyme function 
A. A 
B. D 
C. E 
D. K 
 Answer:D
Question:Biofilm forming bacteria causes antimicrobial resist-ance by all of the following except: 
A. Mechanical barrier 
B. Increased excretion of antibiotics 
C. Altered metabolism 
D. Adherence 
 Answer:",A,D
e7f023ea-2147-47d3-9f2a-61fb60a900be,"Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not compatible with a diagnosis of chronic myelomonocytic leukemia ? 
A. Absence of Philadelphia chromosome 
B. More than 20% blasts in blood or bone marrow 
C. Both a,b 
D. None 
 Answer:B
Question:Total fluid secreted by salivary gland, stomach, pancrease and itestine in a day - 
A. 2000ml 
B. 4000ml 
C. 6500 ml 
D. 10000 ml 
 Answer:C
Question:Digoxin toxicity is increased by all except: 
A. Renal impairment 
B. Hyperkalemia 
C. Hypercalcemia 
D. Hypomagnesemia 
 Answer:B
Question:The only fat-soluble vitamin that has coenzyme function 
A. A 
B. D 
C. E 
D. K 
 Answer:D
Question:Which of these drugs is an antidote for fibrinolytic therapy? 
A. Epsilon aminocaproic acid 
B. Protamine 
C. Heparin 
D. Streptokinase 
 Answer:",A,A
