id,prompt,pred,true_label
4,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Charles Visits Jordan Coach Crash Survivors The Prince of Wales said his heart goes out to the relatives of nine British tourists killed in a bus crash in Jordan. Charles, who was an official  
 Label: world
Sentence: For Jordan, Future Is Looking Bright Eddie Jordan checked out of the hospital yesterday. He ended up there after Washington Wizards trainers examined his swollen left calf on Thanksgiving morning and immediately recommended that the team #39;s head coach see a physician. 
 Label: sports
Sentence: Soft Drink Company Takes The Cooking Out Of Thanksgiving If you want the taste of Thanksgiving without the cooking and without the calories, a Seattle soft drink maker may have the answer. 
 Label: business
Sentence: Lakers makes selves at home The fact that Tomjanovich took no flight before the contest and actually was in Staples Center may have been lost on the Laker coach. 
 Label: sports
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Jordan was in charge of taking the food on the camping trip and left all the food at home. 
 Question:How would Jordan feel afterwards? 
A. horrible that he let his friends down on the camping trip 
B. happy that he doesn't need to do the cooking on the trip 
C. very proud and accomplished about the camping trip 
 Answer:",B,A
12,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Reds carry Kewell While standing in a queue for what proved to be an undercooked cheeseburger, the script for Sunday afternoon #39;s Insider report was suggested. 
 Label: sports
Sentence: Robinhos mother released unharmed SAO PAULO: The mother of Santos striker Robinho was released unharmed yesterday, 40 days after she was kidnapped at a family gathering. 
 Label: sports
Sentence: Kidnappers Release Robinho's Mother &lt;p&gt;&lt;/p&gt;&lt;p&gt; By Joao Carlos Assumpcao&lt;/p&gt;&lt;p&gt; SANTOS, Brazil (Reuters) - Kidnappers freed on Friday themother of Santos forward Robinho, one of Brazil's most talentedyoung players, 40 days after seizing her at gunpoint while shewas attending a barbecue.&lt;/p&gt; 
 Label: world
Sentence: Eight killed in al Qaeda jailbreak siege that started when a group of inmates identified as al Qaeda killed their guards in an attempted jailbreak. prison complex on the outskirts of the capital, prison governor Abdul Salam Bakhshi told journalists. 
 Label: world
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Alex walked Robin towards the execution chamber for her last meal. 
 Question:Why did Alex do this? 
A. work at the jail 
B. So Robin can eat 
C. release her 
 Answer:",B,A
24,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Olympics: Rowers Reprimanded Over 'Lay Down Sally'  ATHENS (Reuters) - In one of the most bizarre episodes to  erupt at the Athens Olympics, the Australian women's eight  rowing crew were reprimanded on Tuesday for laying in to ""Lay  Down Sally."" 
 Label: sports
Sentence: Police warn referee ahead of game Police will talk to referee Mike Riley before Manchester United #39;s home game with Arsenal on Sunday to try to avoid crowd trouble. 
 Label: sports
Sentence: Riley's Contribution Ryder Cup rookie Chris Riley sinks a six-foot putt on the final hole to avoid a European sweep of the four best-ball matches and provide a precious half-point for the U.S. side. 
 Label: sports
Sentence: Stuck in a Rundown Everyone surrounding the Nationals returned Wednesday to a question that has haunted the team since its days in Montreal: What do we do now? 
 Label: sports
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Riley had twisted their leg and began to hurt so bad that they could not walk. 
 Question:What does Riley need to do before this? 
A. lie down 
B. run 
C. Sit and relax 
 Answer:", B,B
25,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Sponsorship woes still dog Martin heading into new year (Canadian Press) Canadian Press - OTTAWA (CP) - Paul Martin knew it wouldn't be easy to explain the sponsorship scandal to Canadian voters. 
 Label: world
Sentence: Passenger Leaves Hijacked Greek Bus (Reuters) Reuters - A passenger was seen leaving a hijacked\Greek bus Wednesday five hours after two foreign gunmen seized\the vehicle carrying 26 passenger in an Athens suburb, a\Reuters correspondent at the scene said. 
 Label: world
Sentence: Space crew cuts down food, awaits resupply Astronaut Leroy Chiao is instructed to return by the flight controllers because of a food shortage on the international space station. 
 Label: technology
Sentence: Three on Pats Buses Injured in Accident (AP) AP - Three people traveling with the New England Patriots received minor injuries Sunday when two of their buses collided as they made their way to the team's hotel. 
 Label: sports
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Carson was at a friend's house but suddenly announced they needed to go home. 
 Question:Why did Carson do this? 
A. caught a bus 
B. called a cab 
C. forgot to feed the dog 
 Answer:",C. forgot to feed the dog ,C
26,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Students Show Mixed Science, Math Scores (AP) AP - U.S. eighth-graders are gaining on their peers across the globe in science and math, but fourth-graders are being passed as their test scores remain stagnant, according to an international review of school performance. 
 Label: technology
Sentence: Cal coach gets extension BERKELEY, Calif. (CP) - Former CFL player and coach Jeff Tedford agreed to a five-year extension Monday with the University of California that will see him remain under contract as the school #39;s head football coach through 2009. 
 Label: sports
Sentence: French Universities to Enroll Imams  PARIS (Reuters) - France will start enrolling future Muslim  prayer leaders into secular universities next autumn to teach  them the law, civics and history they need to integrate,  Interior Minister Dominique de Villepin said in an interview. 
 Label: world
Sentence: Official: Paige to Leave Education Post (AP) AP - Education Secretary Rod Paige intends to leave his Cabinet position, a Bush administration official told The Associated Press Friday. 
 Label: world
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Taylor taught math in the schools after studying to be a teacher for four years. 
 Question:What does Taylor need to do before this? 
A. get a certificate 
B. teach small children 
C. work in a school 
 Answer:", B,A
29,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Video games the answer to society #39;s happiness It #39;s almost the end of the semester and many male students are turning to video games, instead of the Internet, to relieve some much built-up stress. 
 Label: technology
Sentence: Playing the Touching Game Think fast -- Mario #39;s plummeting to Earth, and there #39;s nothing for the poor little guy to hang onto. So you take your stylus and draw him a trampoline. 
 Label: technology
Sentence: PeopleSoft CEO:  #39;Have you ever had a bad dream? #39; PeopleSoft chief executive Craig Conway wasted no time during his keynote address at the companys annual user conference reassuring customers that an Oracle takeover is not in its future. 
 Label: business
Sentence: Conway could get \$20 million golden parachute Ousted PeopleSoft CEO will get a severance package of between \$10 million and \$20 million. 
 Label: technology
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: kai was bored and had nothing to do so he played card games. 
 Question:What will Kai want to do next? 
A. do math homework 
B. do nothing 
C. watch television 
 Answer:", B. do nothing,C
33,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: The New New York Skyline The city's profile is about to undergo an extreme makeover, and \$30 million flying town houses are just the beginning. 
 Label: world
Sentence: Tourist's Guide To Driving Around Washington D.C. So you've decided that want to travel to The Capital of Teh Free World to see the sights, and possibly engage in a Constitutionally Protected Protest. You've also decided that it would more convenient, or less expensive, to drive. There are a few things you should be aware of before you come to our fine metro region. 
 Label: technology
Sentence: Condo Pandemonium Nothing makes New Yorkers pant like a luxury apartment, so when the city announced a few months ago that it would auction off seven high-end condos, a crowd was expected. 
 Label: business
Sentence: Hall of a time November 27, 2004 -- Forget the hoopla over the newly reopened Museum of Modern Art. Hop on the 7 train to Flushing, Queens, and you can go to Mars or the ice moon Europa, just past Jupiter. 
 Label: technology
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: jan took them to NYC so that they could experience the city for the first time. 
 Question:What will Others want to do next? 
A. look around 
B. look nowhere 
C. make sure they get a good first impression of NYC 
 Answer:", B,A
34,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Cheney Slip Sends Surfers to Wrong Site (AP) AP - All he wanted were the facts. But Dick Cheney ended up generating confusion_ and lots of it. 
 Label: technology
Sentence: Stewart case ink expert found not guilty of lying An ink expert who testified for the government at the Martha Stewart trial was found not guilty yesterday of lying on the witness stand. 
 Label: business
Sentence: Lying Makes Brain Work Harder Researchers expose differences in brain activity between people who fib and those who don't. Brain scans reveal that it really is easier to tell the truth. 
 Label: technology
Sentence: Stewart trial expert acquitted NEW YORK -- A Secret Service ink expert was acquitted yesterday of lying on the stand at Martha Stewart #39;s trial, a case the homemaking expert seized on in her bid to have her conviction thrown out. 
 Label: business
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
 Question:Why did Tracy do this? 
A. tracy who has through watching the history channel 
B. prove that they know the truth 
C. tracy who has got alot of details wrong 
 Answer:",B,B
37,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Hard feelings likely to linger Parting with Syracuse and the Big East was such sweet sorrow for Boston College after the 17th-ranked Eagles, playing their final game as a Big East member, absorbed a ruinous 43-17 loss yesterday that prevented them from winning the conference title outright and clinching a Bowl Championship Series berth. 
 Label: sports
Sentence: In face of losses, Woods answers questions BLOOMFIELD TOWNSHIP, Mich. -- There was a stern look on his face when he won the first hole, courtesy of Paul Casey's three-putt bogey, and when Tiger Woods went 2 up at the fifth, he hardly showed emotion. 
 Label: sports
Sentence: Knicks pained by fall at end Jamal Crawford sat in a corner of the locker room, quiet and withdrawn, in total disbelief at the opportunity he and his Knicks teammates had squandered in their bid to beat the defending NBA champion Detroit Pistons. 
 Label: sports
Sentence: Kidd Says Hello, Then Ruins Scott #39;s Return There might not be much love between Nets #39; captain Jason Kidd and his former coach, Byron Scott. But Kidd obviously wanted to make sure everybody on press row  
 Label: sports
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Carson returned to Robin's house after previously storming out during a huge fight. 
 Question:How would Carson feel afterwards? 
A. proud 
B. humiliated 
C. happy 
 Answer:",B,B
42,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Israeli president urges Syria dialogue Israeli President Moshe Katsav has urged the government to respond positively to a Syrian offer to resume peace negotiations. Although Katsav #39;s role is largely ceremonial, his comments on Thursday were in  
 Label: world
Sentence: Should You Want the New iPod Photo? It Depends Whether you want the iPod Photo (www.apple.com/ipodphoto) depends, then, on how much money you #39;re willing to spend and the value you place on looking at images of friends and family on a two  
 Label: technology
Sentence: Photos: 'Wanna buy an iPod, guv?' Apple's new London store on Regent Street puts the iPod music player front and center. 
 Label: technology
Sentence: Space Shuttle Crawler Gets New Shoes NASA -- When Space Shuttle Discovery rolls to the pad next year, the trip is guaranteed to be on firm ground. That's because the Crawler Transporters used to carry the Space Shuttles to the launch pads are being overhauled, including the installation of new tread shoes... 
 Label: technology
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: jordan wanted to be nice to a girl so he took her to the shoe store. 
 Question:What does Jordan need to do before this? 
A. buy the girl some shoes 
B. ask the girl on a date 
C. be kind 
 Answer:", B,B
