id,prompt,pred,true_label
4,"Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Jan would play games with other people's time at work. 
 Question:How would Others feel as a result? 
A. clever 
B. like Jan enjoys being around them 
C. annoyed by Jan 
 Answer:B
Context: Jordan was in charge of taking the food on the camping trip and left all the food at home. 
 Question:How would Jordan feel afterwards? 
A. horrible that he let his friends down on the camping trip 
B. happy that he doesn't need to do the cooking on the trip 
C. very proud and accomplished about the camping trip 
 Answer:",A,A
12,"Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Jan would play games with other people's time at work. 
 Question:How would Others feel as a result? 
A. clever 
B. like Jan enjoys being around them 
C. annoyed by Jan 
 Answer:B
Context: Alex walked Robin towards the execution chamber for her last meal. 
 Question:Why did Alex do this? 
A. work at the jail 
B. So Robin can eat 
C. release her 
 Answer:",B,A
24,"Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Jan would play games with other people's time at work. 
 Question:How would Others feel as a result? 
A. clever 
B. like Jan enjoys being around them 
C. annoyed by Jan 
 Answer:B
Context: Riley had twisted their leg and began to hurt so bad that they could not walk. 
 Question:What does Riley need to do before this? 
A. lie down 
B. run 
C. Sit and relax 
 Answer:",A,B
25,"Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Jan would play games with other people's time at work. 
 Question:How would Others feel as a result? 
A. clever 
B. like Jan enjoys being around them 
C. annoyed by Jan 
 Answer:B
Context: Carson was at a friend's house but suddenly announced they needed to go home. 
 Question:Why did Carson do this? 
A. caught a bus 
B. called a cab 
C. forgot to feed the dog 
 Answer:",B,C
26,"Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Jan would play games with other people's time at work. 
 Question:How would Others feel as a result? 
A. clever 
B. like Jan enjoys being around them 
C. annoyed by Jan 
 Answer:B
Context: Taylor taught math in the schools after studying to be a teacher for four years. 
 Question:What does Taylor need to do before this? 
A. get a certificate 
B. teach small children 
C. work in a school 
 Answer:",A,A
29,"Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Jan would play games with other people's time at work. 
 Question:How would Others feel as a result? 
A. clever 
B. like Jan enjoys being around them 
C. annoyed by Jan 
 Answer:B
Context: kai was bored and had nothing to do so he played card games. 
 Question:What will Kai want to do next? 
A. do math homework 
B. do nothing 
C. watch television 
 Answer:",B,C
33,"Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Jan would play games with other people's time at work. 
 Question:How would Others feel as a result? 
A. clever 
B. like Jan enjoys being around them 
C. annoyed by Jan 
 Answer:B
Context: jan took them to NYC so that they could experience the city for the first time. 
 Question:What will Others want to do next? 
A. look around 
B. look nowhere 
C. make sure they get a good first impression of NYC 
 Answer:",A,A
34,"Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Jan would play games with other people's time at work. 
 Question:How would Others feel as a result? 
A. clever 
B. like Jan enjoys being around them 
C. annoyed by Jan 
 Answer:B
Context: Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
 Question:Why did Tracy do this? 
A. tracy who has through watching the history channel 
B. prove that they know the truth 
C. tracy who has got alot of details wrong 
 Answer:",A,B
37,"Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Jan would play games with other people's time at work. 
 Question:How would Others feel as a result? 
A. clever 
B. like Jan enjoys being around them 
C. annoyed by Jan 
 Answer:B
Context: Carson returned to Robin's house after previously storming out during a huge fight. 
 Question:How would Carson feel afterwards? 
A. proud 
B. humiliated 
C. happy 
 Answer:",B,B
42,"Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Jan would play games with other people's time at work. 
 Question:How would Others feel as a result? 
A. clever 
B. like Jan enjoys being around them 
C. annoyed by Jan 
 Answer:B
Context: jordan wanted to be nice to a girl so he took her to the shoe store. 
 Question:What does Jordan need to do before this? 
A. buy the girl some shoes 
B. ask the girl on a date 
C. be kind 
 Answer:",A,B
