id,prompt,pred,true_label
Mercury_7175875,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Dust and ash entering the atmosphere as a result of volcanic eruptions can affect Earth's
A. tidal activity
B. orbital shape
C. weather and climate
D. rotation and revolution 
 Answer: C
Question:The motion of Earth is responsible for several celestial events. Which of the following events is caused by Earth revolving around the sun?
A. the days in a year
B. the hours in a day
C. the changes in the atmosphere of Earth
D. the position of the constellations in space 
 Answer: A
Question:Which statement explains what will most likely happen to the hydrosphere in an area where air temperatures increase?
A. Earthquake intensity will decrease.
B. Mountain formation will decrease.
C. Rock weathering will increase.
D. Evaporation will increase. 
 Answer: D
Question:A meteoroid becomes a meteorite when it
A. impacts the surface of a planet.
B. encounters the atmosphere of a planet.
C. makes a complete orbit around a planet.
D. starts to burn up in the atmosphere of a planet. 
 Answer: A
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?
A. Planetary density will decrease.
B. Planetary years will become longer.
C. Planetary days will become shorter.
D. Planetary gravity will become stronger. 
 Answer:", C,C
Mercury_407327,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:A scientist observes an unusual activity while studying bacterial cells. Using scientific inquiry to investigate the activity will enable the scientist to
A. control the behavior.
B. prove that the behavior is beneficial.
C. evaluate different explanations of the behavior.
D. conclude how the behavior will change in the future. 
 Answer: C
Question:Which of the following is most likely to lead to error in an experiment?
A. bias
B. repeated trials
C. peer review
D. use of a control 
 Answer: A
Question:Students researched monkeys at a zoo. They recorded the monkeys' traits and behaviors. This investigation activity is best described as
A. controlling.
B. hypothesizing.
C. observing.
D. inferring. 
 Answer: C
Question:In an investigation, a student wants to see how a ball is affected by rolling it over a surface covered with sandpaper. In preparation for the trial, the student makes a list of the possible conditions that could affect the investigation. The student is most likely listing the
A. constants.
B. variables.
C. controls.
D. trials. 
 Answer: B
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?
A. the control
B. the hypothesis statement
C. the dependent (responding) variable
D. the independent (manipulated) variable 
 Answer:", C,D
Mercury_7086660,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:The best evidence that two land areas were once connected is the discovery that both land masses
A. have the same climate.
B. are in the same stage of succession.
C. exist along the same line of longitude.
D. have similar types of rocks and fossils. 
 Answer: D
Question:The presence of which of the following geological features provides the best evidence that glaciers once covered an area?
A. wide riverbeds
B. U-shaped valleys
C. underground caves
D. groundwater springs 
 Answer: B
Question:Scientists found fish fossils in the desert. What do the fossils tell about this environment when the fish were alive?
A. There was a forest with large trees.
B. There were lakes with water plants.
C. There were mountains with glaciers.
D. There was a desert with large rocks. 
 Answer: B
Question:Scientists claim that the area around the Grand Canyon was once covered by an ocean. What evidence would support their claim?
A. Dinosaur footprints were found near the Grand Canyon.
B. Fish were found living in the rivers of the Grand Canyon.
C. Fossils of ocean animals were found at the Grand Canyon.
D. Bones from desert animals were found at the Grand Canyon. 
 Answer: C
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?
A. There was once more water in the area.
B. The area was once grassland.
C. The climate in the area was once tropical.
D. There are active faults in the area. 
 Answer:", A,C
Mercury_7012740,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:What is the MAJOR role of the Sun in the water cycle?
A. It causes evaporation.
B. It allows plants to grow.
C. It provides heat for organisms.
D. It transmits light. 
 Answer: A
Question:Solar radiation has a part in the water cycle by
A. affecting ocean tides.
B. helping in the absorption of groundwater.
C. determining the type of clouds formed.
D. changing water to a vapor. 
 Answer: D
Question:The students watch ocean waves crash on a beach. Which statement describes what will most likely happen because of the waves?
A. Grass on the beach will grow longer.
B. Sand from the beach will wash away.
C. Salt from the ocean will be left on the beach.
D. Currents in the ocean will become stronger. 
 Answer: B
Question:The oceans most influence global climate by
A. releasing heat to the atmosphere.
B. cooling bordering land masses.
C. providing continuous onshore winds.
D. removing water vapor from the atmosphere. 
 Answer: A
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Which statement best describes the effect of the Sun on the oceans?
A. The Sun influences the formation of waves.
B. The Sun creates water particles.
C. The Sun's rays cause organisms to come to the surface.
D. The Sun provides minerals. 
 Answer:", A,A
Mercury_LBS10610,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:A city has a temperature of 75 °F, with partly cloudy skies. Weather forecasters are predicting that the air pressure and temperature will drop during the day. Which type of weather is most likely for this area in the late afternoon?
A. rainy.
B. sunny.
C. snowing.
D. hailing. 
 Answer: A
Question:Clouds and precipitation moved across western Massachusetts one evening. The temperature changed from 41°F to 28°F. Which of the following changes in precipitation most likely occurred on this evening?
A. sleet changing to hail
B. snow changing to rain
C. rain changing to sleet
D. snow changing to hail 
 Answer: C
Question:Jenny measures the outside temperature as 16 degrees Celsius (°C), 61 degrees Fahrenheit (°F). She observes precipitation falling from the clouds in a solid form. What type of precipitation is Jenny most likely observing?
A. hail
B. rain
C. sleet
D. snow 
 Answer: A
Question:On a cold, cloudy day, the local weather forecaster predicts that a high-pressure system will be moving into the area in the next 24 hours. Which weather conditions will this system most likely bring to the area?
A. stormy
B. sunny
C. snowy
D. hot 
 Answer: B
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:The morning temperature in a city is 41°F. If a sunny, mild day is forecast, which temperature is most likely for 2:00 p.m.?
A. 32° F
B. 41° F
C. 78° F
D. 98° F 
 Answer:", B,C
Mercury_7186568,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:The process of digestion breaks down proteins into smaller molecules that are used to rebuild other proteins. During digestion, proteins undergo
A. cell division.
B. nuclear reactions.
C. natural selection.
D. chemical changes. 
 Answer: D
Question:The primary functions of the digestive system are to break down food, absorb nutrients and excrete wastes. Once food is absorbed, what system is responsible for carrying the nutrients to the body cells?
A. respiratory system
B. circulatory system
C. nervous system
D. skeletal system 
 Answer: B
Question:Each organ in the digestive system has a specific function. During digestion, food passes from the stomach into the small intestine. Which statement best describes what takes place in the small intestine?
A. Nutrients are absorbed from the food.
B. Wastes are prepared to pass out of the body.
C. Food is churned with acid to break down proteins.
D. Excess water is reabsorbed into the blood stream. 
 Answer: A
Question:The human body processes and eliminates food waste using the organs of the excretory system. Which organelle performs a similar function in humans at the cellular level?
A. mitochondrion
B. endoplasmic reticulum
C. lysosome
D. Golgi complex 
 Answer: C
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. What is the main role of lysosomes in the process of food digestion?
A. building proteins
B. breaking down wastes
C. controlling the activities of the cell
D. converting energy from one form into another 
 Answer:", B,B
Mercury_402216,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Hydrogen gas and oxygen gas combine to form water. Which would be a more concise way of expressing what happens in this chemical reaction?
A. write a chemical formula
B. write a chemical equation
C. describe the rearrangement of the atoms
D. describe the procedure for creating this change 
 Answer: B
Question:The chemical formula for water is H_{2}O. What does the formula show about each element in the compound?
A. the number of valence electrons
B. the charge of the compound
C. the mass of protons in each atom
D. the number of atoms of each element 
 Answer: D
Question:The chemical equation below shows reactants and products. 6CO_{2} + 12H_{2}O + light + enzymes -> C_{6}H_{12}O_{6} + 6O_{2} + 6H_{2}O Which statement is best supported by analyzing this equation?
A. CO_{2} is made from the chemical reaction.
B. No new compounds are made from this reaction.
C. O_{2}, oxygen gas, is needed to make the reaction start.
D. The atoms rearrange in the chemical reaction so that C_{6}H_{12}O_{6}, glucose, is made. 
 Answer: D
Question:An electrical circuit can be used to break down water into hydrogen and oxygen. In this process, electrical energy produces
A. kinetic energy.
B. physical changes.
C. chemical changes.
D. potential energy. 
 Answer: C
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:When an electric current is passed through water (H_{2}O) using a specific apparatus, hydrogen (H_{2}) and oxygen (O_{2}) gases form. How can this reaction be shown in a chemical equation?
A. H_{2}O -> H + O + H
B. 2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g)
C. H:O:H -> H_{2}O
D. H_{2}O(l) -> 2H(g) + O(g) 
 Answer:", B,B
MCAS_2002_8_11,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:What is the highest temperature that water can reach in a pot on a stove?
A. 50°C
B. 90°C
C. 100°C
D. 212°C 
 Answer: C
Question:At what temperature does pure water boil?
A. 0°C
B. 32°C
C. 100°C
D. 212°C 
 Answer: C
Question:The water in a pond gets colder one night. Which tool is best to observe its temperature change?
A. balance
B. magnifying glass
C. ruler
D. thermometer 
 Answer: D
Question:The surface of a heated metal object measures 120°C. It is dropped into a bucket filled with water measuring 10°C. Which of the following is most likely to occur?
A. Both the water and metal will adjust to the same temperature below 10°C.
B. The water and metal will adjust to different temperatures above 120°C.
C. The water will remain the same temperature, but the metal will cool to 10°C.
D. The water and metal will adjust to the same temperature between 10°C and 120°C. 
 Answer: D
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:A glass of water at 110°F is placed in a room next to a glass of water that is 50°F. The temperature of the room is 73°F at all times. If the two glasses were left in the room overnight, the temperature for both glasses of water the next day would be approximately
A. 43°F.
B. 50°F.
C. 73°F.
D. 90°F. 
 Answer:", C,C
Mercury_SC_405086,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Sleet and hail are forms of
A. clouds
B. energy
C. evaporation
D. precipitation 
 Answer: D
Question:Before it rains water must collect in
A. clouds.
B. snow.
C. sleet.
D. fog. 
 Answer: A
Question:Which gas, when condensed into its liquid state in the atmosphere, forms clouds?
A. methane
B. nitrogen
C. water vapor
D. carbon dioxide 
 Answer: C
Question:As water vapor condenses into liquid, which of the following can be formed?
A. ice
B. steam
C. frost
D. clouds 
 Answer: D
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Snow, rain, hail, and fog are all forms of
A. gas.
B. water.
C. wind.
D. clouds. 
 Answer:", D,B
Mercury_SC_408324,"Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Ice cream in a bowl changed from solid to liquid in a few minutes. Which of the following most likely caused this change?
A. Bacteria grew in the ice cream.
B. Heat was added to the ice cream.
C. Water evaporated from the ice cream.
D. Frozen berries were sprinkled on the ice cream. 
 Answer: B
Question:When ice cream is left out of a freezer, the ice cream changes from a ___.
A. solid to a gas
B. gas to a liquid
C. solid to a liquid
D. liquid to a gas 
 Answer: C
Question:An ice cube is placed in a pan. The pan is placed over an open flame. Which change will most likely happen over time?
A. The ice changes to a liquid and back to a solid.
B. The ice changes to a liquid then to a gas.
C. The ice changes to a gas and back to a solid.
D. The ice changes to a gas then to a liquid. 
 Answer: B
Question:Delilah put a container of water in the freezer and left it there overnight. The next morning she saw that the water in the container had changed to ice. Which of the following statements best explains why the water changed to ice?
A. The water gained energy.
B. The water absorbed light.
C. Mass was released from the water.
D. Heat was taken away from the water. 
 Answer: D
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Scott filled a tray with juice and put it in a freezer. The next day, Scott opened the freezer. How did the juice most likely change?
A. It condensed.
B. It evaporated.
C. It became a gas.
D. It became a solid. 
 Answer:", A,D
