id,prompt,pred,true_label
45258d3d-b974-44dd-a161-c3fccbdadd88,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: BUS SERVICE
New York City -- Brennan, New Jersey
(Trip time: 30 minutes each way )
Timetable
*Buses leave the Railway Station, New York 7:00 a.m. and every half-hour thereafter  until 11:30 p.m. (7 days a week).
*Buses leave Brennan Station 20 minutes before and after every hour from 6:20 a.m. to 10:40 p.m. (7 days a week ).
*Evening rush hours(5:00 p.m. to 7:00 p.m.) buses leave the Railway Station, New York every 15 minutes (Monday -- Friday).
*Holidays: buses leave every hour on the hour time, each direction.
All tickets must be bought at Window 12, the Railway Station, New York, or at the Brennan Station Window before boarding buses. 
 Question:Which is the latest bus you should take from Brennan if you have to arrive at the Railway Station, New York before 4:00 p. m. on Monday? 
A. The 3:20 p. m bus 
B. the 3:00 p. m bus 
C. The 3:30 p. m bus 
D. The 3:40 p. m bus 
 Answer: A
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Which of the following is not true for myelinated nerve fibers: 
A. Impulse through myelinated fibers is slower than non-myelinated fibers 
B. Membrane currents are generated at nodes of Ranvier 
C. Saltatory conduction of impulses is seen 
D. Local anesthesia is effective only when the nerve is not covered by myelin sheath 
 Answer:", D,A
406b5b4f-9ad4-42c0-9669-12d038df4ac8,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: During the day we work and play,and at night we sleep. Our body rests when we sleep. In the morning we are ready to work and play again. Our body grows most when we are asleep. Children who are tired usually need sleep. We can get better at our lessons after having plenty of rest. Boys and girls who are eight or nine years old need ten hours of sleep every night. Our body needs plenty of air when we are asleep. If we do not get enough fresh air, we will feel tired when we wake up. While in bed we must not cover our head,our lungs need to get enough fresh air. If we open our windows at night,we can have plenty of fresh air. Cool air is better than warm air. 
 Question:What do the lungs need most? 
A. Fresh air. 
B. Exercise. 
C. Warm air. 
D. Cold air. 
 Answer: A
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Highest concentration of oxygen is delivered through? 
A. Nasal cannula 
B. Venturi mask 
C. Bag and mask 
D. Mask with reservoir 
 Answer:", D,C
8b9a0e04-4281-418a-aa94-7414a325732f,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: There is a shy girl in our class.She is thirteen years old.She is not tall and she is not short.She is a little fat.Her face is round,like an apple.She has two big black eyes and a small nose.Her mouth is big,but her ears are small.Her hair is short and black.She likes red.But today she is wearing a yellow sweater,blue jeans and white shoes.She dislikes getting up early,so she is usually late for school.She doesn't like to talk to others.She likes little animals.She has a little black dog.She and the dog are good friends. 
 Question:The girl is   _  . 
A. tall 
B. of medium build 
C. short 
D. of medium height 
 Answer: D
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as 
A. Average 
B. High 
C. Incomplete 
D. Low 
 Answer:", D,D
a3da135a-a6a2-4e1c-8823-8ab0913f5668,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Doctors in hospital emergency rooms often see accidental poisonings . A frightened parent arrives with a child who swallowed a cleaning liquid. Or perhaps the harmful substance is a medicine. Or it might be a chemical product meant to kill insects. These are common causes of accidental poisoning.
In cases like this, look for medical help as soon as possible. Save the container of whatever caused the poisoning. And look on the container for information about anything that stops the effects of the poison. Save anything expelled   from the mouth of the victim. That way, doctors can examine it.
In the past, some people forced poisoning victims to empty the stomach. They used a liquid syrup of ipecac   to do this. But an organization of children's doctors no longer advises parents to keep syrup of ipecac. The American Academy of Pediatrics says some poisons can cause additional damage when they come back up the throat.
Millions of people know a way to save a person who is choking on something trapped in the throat. The method is commonly known as the Heimlich Maneuver or abdominal thrusts. The American Red Cross says a rescuer should first hit the person on the back five times between the shoulder bones. These back blows may ease the choking. If the airway is still blocked, the Red Cross suggests pushing hard five times along the victim's abdomen. The abdomen is the area between the chest and the hip   bones. 
 Question:What would be the best title for the text? 
A. Learning the basics of first aid 
B. Accidental poisonings 
C. Common causes of accidental poisoning 
D. Poisonings and first aid 
 Answer: A
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person? 
A. Neostigmine 
B. Atropine 
C. Flumazenil 
D. Physostigmine 
 Answer:", D,B
7627eb54-4499-45d0-ba1f-1c8dbc6f2342,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Today, we know that the role of vitamins and minerals goes way beyond the prevention of deficiency diseases   to actually preventing cancer and heart disease, the most fearsome killers of our time. With this knowledge has come the widespread call for nutritional supplementation   -- and a confusing group of vitamin, mineral, and supplements lining the supermarket shelves.
Far from contributing to better health, however, nutritional supplements threaten to turn a scientific breakthrough into a nutritional disaster.
 _ of vitamins and minerals -- especially vitamins A, C, and E-- would have consumers believe that the little vitamin pill in the bottle is all they need for good health. Take your vitamins in the morning, and you're covered. It's okay to eat fast foods for the rest of the day or skip meals to achieve today's fashionably skinny look. But vitamins and minerals are only one part of the nutritional puzzle. A diet rich in fiber   and balanced in carbohydrates and protein is essential for good health. You can't get these things from a nutritional supplement. The focus on vitamin and mineral supplements may actually be robbing us of the full nutrition we seek.
And no supplement can compare to the quality of nutrition found in natural sources. For example, our bodies turn carotenes   from plant foods into vitamin A. Many supplements contain a single carotene, but natural sources are rich in many different carotenes. Many supplements contain a form of vitamin E that is made from chemicals, when natural vitamin E is more readily absorbed and used by the body. And science is still discovering the wealth of nutrients in foods.
You'd be hard-pressed to find a supplement as nutritionally comprehensive and powerful as a balanced diet. Even if you could, you'd pay much more than if you got the same nutritional value from natural sources.
But perhaps the greatest danger presented by nutritional supplements comes from the very real risks presented by self-medication. Anyone can walk into the market and buy as many different supplements as desired. The reported benefits of high dosages of certain nutrients have led some people to believe that the more the better. Many take several vitamin and mineral supplements without regard to possible consequences.
Surprising new research suggests that vitamin C pills may speed up hardening of the arteries, the underlying cause of heart attacks. Researchers said their findings support the recommendations of health organizations, which urge people to avoid high doses of supplements and to get their nutrients from food instead.
As appealing as they're made to sound, nutritional supplements are _ . If you're looking for good health, don't look on the supplement shelves of your supermarket. Look in the produce section instead. 
 Question:What has given rise to the great need for nutritional supplements? 
A. The knowledge of deficiency diseases. 
B. The low prices of nutritional supplements. 
C. The frighteningly high death rate from cancer and heart disease. 
D. The information about the role of vitamins and minerals in health. 
 Answer: D
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Iron is present in all, EXCEPT 
A. Myoglobin 
B. Cytochrome 
C. Catalase 
D. Pyruvate kinase 
 Answer:", D,D
685afed9-5dfa-4383-9001-50148cf6cb99,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Half of the world's population is affected by Asian monsoons , but monsoons are difficult to predict. American researchers have put together a 700-year record of the rainy seasons, which is expected to provide guidance for experts making weather predictions.
Every year, damp air masses,known as monsoon,produce large amounts of rainfall in India, East Asia, Northern Australia and East Africa. All this wet air is pulled in by a high pressure area over the Indian Ocean and a low pressure area to the south.
According to Edward Cook , a weather expert at Columbia University in New York., the complex nature of the climate systems across Asia makes monsoons hard to predict. In addition, climate records for the area are too recent and not detailed enough to be of much use. Therefore, he and a team of researchers spent more than fifteen years traveling across Asia, looking for trees old enough to provide long-term records. They measured the rings, or circles, inside thousands of ancient trees in more than 300 places.
Rainfall has a direct link to the growth and width of rings on some kinds of trees. The researchers developed a document they are calling a Monsoon Asia Drought Atlas. It shows the effect of monsoons over seven centuries, beginning in the 1300s.
Professor Cook says the tree-ring records show periods of wet and dry weather. ""If the monsoon basically fails or is a very weak one, the trees affected by monsoons at that location might put on a very narrow ring. But if the monsoon is very strong, the trees affected by that monsoon might put on a wide ring for that year. So, the wide and narrow ring widths of the chronology that we developed in Asia provide us with a measure of monsoon variability."" With all this information, researchers say they can begin to improve computer climate models for predicting the behavior of monsoons.
""There has been widespread famine and starvation and human dying in the past in large droughts. And on the other hand, if the monsoon is particularly heavy, it can cause extensive flooding."" said Eugene Wahl, a scientist with America's National Oceanic and Atmospheric Administration. ""So, to get a sense of what the regional moisture patterns have been, dryness and wetness over such a long period of time in great detail, I would call it a kind of victory for climate science."" 
 Question:Which of the following best describes the tone of this passage? 
A. Matter-of -fact 
B. Pessimistic 
C. Humorous 
D. Friendly. 
 Answer: A
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Anti monsoon curve seen in : 
A. Premolar 
B. Molar 
C. Anterior 
D. All of the above. 
 Answer:", C,D
e726a65e-0874-481f-b20e-717b951a7b73,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: A new study shows that fat people in the United States suffer direct economic and social effects because of their size. The findings are from an 8-year study of about 100,000 people. The people who were studied were between the age of 18 and 24 when the research began.
The researchers who carried out the study say they consider the people fat if they are in the top of 5% of the measurement in which weight is linked to height. For example, fat women in the study were about 160 centimeters tall and weighed about 90 kilograms. Fat men in the study were about 175 centimeters tall and weighed 100 kilograms. The researchers say that more than 1,000,000 Americans are that big. The researchers found that fat young women were from wealthy families. The fat women also were 20% less likely to get married and they earned an average of about $6,700 a year less than other women. The study showed less
effects on fat men. They earned an average of about $3,000 a year less than other men. Fat men also were 11% less likely to get married. 
 Question:The researchers consider the people fat if    _   . 
A. they eat lots of food and do less exercise 
B. they are fatter than others 
C. they are in the top of 5% of the measurement of weight 
D. they are in the top of the measurement in which weight is linked to height. 
 Answer: D
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Increase in height of mandible with increase in interdental spaces in elderly man 
A. Hyperpituitarism 
B. Hyperthyroidism 
C. Hypopituitarism 
D. Hyperparathyroidism 
 Answer:", C,A
0190a0f3-416a-4d56-a172-7738b023fd28,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: There are four forms about medicine. Every must know how to use the medicine. Because it is very important. Never take any by mistake.
1)Take the medicine with water, followed by one tablet every eight hours as required. For further night-time and early morning, take two tablets at bedtime. Do not take more than six tablets in 24 hours. For Children six to twelve years old, go to your doctor for advice. Reduce dosage  if nervousness, restlessness or sleeplessness takes place.
2)Each pill of the medicine taken three times every day for fourteen years old. As usual, a pill 6:00 a. m. before breakfast, one before 11:00 and one before sleep. Not for children under six years old and old persons with heart attack.
3)The medicine for a person with a fever. Once two pills a day before sleep for adult. Not take the medicine without fever. Half for Children under 12 years old. Children with a high fever go to see a doctor.
4)The medicine taken three times a day. Once five pills for adult with a cold. Half of the pills for children 10 years old. Take the medicine before breakfast, lunch, supper or before sleep. 
 Question:Obviously a kind of medicine can't be proper for  _  judging from the information. 
A. some old persons with heart attack 
B. some old persons with a fever 
C. children over twelve years old 
D. neither adults nor heart attack 
 Answer: A
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:A patient has seasonal allergic rhinitis and is on terfenadine. He develops cardiac arrhythmias after a course of antibiotics. Which of the following antibiotic could have been given: 
A. Ampicillin 
B. Tetracycline 
C. Erythromycin 
D. Co-trimoxazole 
 Answer:", C,C
f2ed694c-991d-40e5-a191-25c076168ea6,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Health experts have long worried about the increasing rate of obesity in kids. It's an important concern: Being weight or obese during childhood can lead to serious problems normally seen in adults, such as diabetes and high blood pressure. Poor diets and a lack of exercise are usually the causes. But would you ever have imagined there might be a connection between the bacteria that lived in your guts  when you were a baby and the chance that you would become overweight?
Scientists in Finland recently found just such a link. In a recent study, they showed that overweight kids had different species of bacteria living in their guts.
You probably think of bacteria only as germs that can make you sick. While it's true that some bacteria can make people ill, your body actually depends on some types of bacteria to help you digest food and extract nutrients from it. These ""good"" bacteria live in your guts, where they process the food you eat.
Human babies get these bacterial helpers from their moms. When a baby is born, some of the bacteria in the mother move into the baby's body. Growing babies get additional ""good"" bacteria from the milk their mothers produce. And it turns out the bacteria might play an important role in regulating weight just six years later.
So how could these bacteria affect weight? The researchers still haven't tested that question, but future tests might lead to an answer. 
 Question:The purpose of writing this passage is to   _  . 
A. introduce the role of bacteria in children's weight 
B. analyze the influence of obesity on kids 
C. give advice on how to lose weight quickly 
D. explain the function of bacteria in foods 
 Answer: A
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Biofilm forming bacteria causes antimicrobial resist-ance by all of the following except: 
A. Mechanical barrier 
B. Increased excretion of antibiotics 
C. Altered metabolism 
D. Adherence 
 Answer:", B,D
e7f023ea-2147-47d3-9f2a-61fb60a900be,"Definition: Given a reading comprehension type question-answering from an english exam for school students. You are given a context and multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."". The question is answerable from the comprehension. Based on the question, the option and the context select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Context: Do you always understand the directions on a bottle of medicine? Do you know what is meant by ""Take only as directed""? Read the following directions and see if you understand them.
""To reduce pain, take two tablets   with water, followed by one tablet every eight hours, as required. For night-time and early morning relief, take two tablets at bedtime. Do not take more than six tablets in twenty-four hours.
For children six to twelve years old, give half the amount. For children under six years old ,ask for your doctor's advice.
Reduce the amount if you suffer from restlessness or sleeplessness after taking the medicine"". 
 Question:This text is most probably taken from a . 
A. textbook 
B. newsreel 
C. doctor's notebook 
D. bottle of medicine 
 Answer: A
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question: Growth hormone has its effect on growth through?
A. Directly 
B. IG1-1 
C. Tyroxine 
D. Intranuclear receptors 
 Answer: B 
Question:Which of these drugs is an antidote for fibrinolytic therapy? 
A. Epsilon aminocaproic acid 
B. Protamine 
C. Heparin 
D. Streptokinase 
 Answer:", A,A
