id,prompt,pred,true_label
45258d3d-b974-44dd-a161-c3fccbdadd88,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: In the experiment , between 30 to 40 percent of the muscle fibers in one group of mice produced dystrophin for two weeks before diminishing . 
 Label: IN DT NN , IN CD TO CD NN IN DT NN NNS IN CD NN IN NNS VBD NN IN CD NNS IN VBG .
Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:When a main artery is used to expedite travel what would it be referred to as? 
A. neck 
B. busy city 
C. own brain 
D. thruway 
E. food 
 Answer: D
Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: In the early development of many organisms, the action potential is actually initially carried by calcium current rather than sodium current. The opening and closing kinetics of calcium channels during development are slower than those of the voltage-gated sodium channels that will carry the action potential in the mature neurons. The longer opening times for the calcium channels can lead to action potentials that are considerably slower than those of mature neurons. Xenopus neurons initially have action potentials that take 60--90 ms. During development, this time decreases to 1 ms. There are two reasons for this drastic decrease. First, the inward current becomes primarily carried by sodium channels. Second, the delayed rectifier, a potassium channel current, increases to 3.5 times its initial strength. 
 Question:do all neurons have the same action potential 
 Answer: False
Definition: Given two question pairs do text classification based on whether they are duplicates or not. The questions are mined from the popular online discussion forum Quora. As duplicate quetion might be present on Quora, the task is to label two identical questions as ""duplicate"" if they ask the same query else label the pair as ""not duplicate"".
Question 1: Nerve cell function? 
 Question 2:What is the function of nerve cells? 
 Label: duplicate
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of the following is not true for myelinated nerve fibers: 
A. Impulse through myelinated fibers is slower than non-myelinated fibers 
B. Membrane currents are generated at nodes of Ranvier 
C. Saltatory conduction of impulses is seen 
D. Local anesthesia is effective only when the nerve is not covered by myelin sheath 
 Answer:", A,A
406b5b4f-9ad4-42c0-9669-12d038df4ac8,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: The following table shows total flown air cargo volumes in tonnes handled at international German airports January-July 1996 . 
 Label: DT VBG NN VBZ JJ VBN NN NN NNS IN NNS VBN IN JJ JJ NNS JJ CD .
Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:Her son scraped his knee, she fetched a bottle of peroxide from the what? 
A. supermarket 
B. diaper bag 
C. liquor store 
D. hollow log 
E. medicine cabinet 
 Answer: E
Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: At the root of the lung, the right superior pulmonary vein lies in front of and a little below the pulmonary artery; the inferior is situated at the lowest part of the lung hilum. Behind the pulmonary artery is the bronchus. The right main pulmonary veins (contains oxygenated blood) pass behind the right atrium and superior vena cava; the left in front of the descending thoracic aorta. 
 Question:does the right side of the heart carry oxygenated blood 
 Answer: True
Definition: Given two question pairs do text classification based on whether they are duplicates or not. The questions are mined from the popular online discussion forum Quora. As duplicate quetion might be present on Quora, the task is to label two identical questions as ""duplicate"" if they ask the same query else label the pair as ""not duplicate"".
Question 1: Is it possible to breathe liquid oxygen? 
 Question 2:Can humans breathe liquid oxygen? 
 Label: duplicate
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Highest concentration of oxygen is delivered through? 
A. Nasal cannula 
B. Venturi mask 
C. Bag and mask 
D. Mask with reservoir 
 Answer:", A,C
8b9a0e04-4281-418a-aa94-7414a325732f,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: That 's about 1/2 inch above the average for the same time period , according to Howard Johnson , associate state climatologist at the University of Oklahoma . 
 Label: DT VBZ IN CD NN IN DT NN IN DT JJ NN NN , VBG TO NNP NNP , JJ NN NN IN DT NNP IN NNP .
Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:For many males hair is a concern as they get older, it begins to what, causing a receding hairline? 
A. thin out 
B. grow in ear 
C. fall out 
D. bulge 
E. composted 
 Answer: C
Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: In human anatomy, the cephalic vein is a superficial vein in the arm. 
 Question:is the cephalic vein considered a deep vein 
 Answer: False
Definition: Given two question pairs do text classification based on whether they are duplicates or not. The questions are mined from the popular online discussion forum Quora. As duplicate quetion might be present on Quora, the task is to label two identical questions as ""duplicate"" if they ask the same query else label the pair as ""not duplicate"".
Question 1: What causes a rash under the lips? 
 Question 2:What causes lip rash? 
 Label: not duplicate
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as 
A. Average 
B. High 
C. Incomplete 
D. Low 
 Answer:", A,D
a3da135a-a6a2-4e1c-8823-8ab0913f5668,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: , at midday and told doctors that she had been paralysed by the disease . 
 Label: , IN NN CC VBD NNS IN PRP VBD VBN VBN IN DT NN .
Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:How can someone die from eating hamburger? 
A. gas 
B. getting full 
C. mad cow disease 
D. death 
E. feel full 
 Answer: C
Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: If exposure is suspected, the person should be removed from the source of exposure and decontaminated. Treatment involves supportive care and giving the person 100% oxygen. Hydroxocobalamin (vitamin B12) appears to be useful as an antidote and is generally first-line. Sodium thiosulphate may also be given. Historically cyanide has been used for mass suicide and by the Nazis for genocide. 
 Question:is oxygen an effective treatment for cyanide poisoning 
 Answer: True
Definition: Given two question pairs do text classification based on whether they are duplicates or not. The questions are mined from the popular online discussion forum Quora. As duplicate quetion might be present on Quora, the task is to label two identical questions as ""duplicate"" if they ask the same query else label the pair as ""not duplicate"".
Question 1: What pills can you overdose on? 
 Question 2:What happens if someone overdoses on cetirizine hcl using about 26 pills? 
 Label: not duplicate
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person? 
A. Neostigmine 
B. Atropine 
C. Flumazenil 
D. Physostigmine 
 Answer:", A,B
7627eb54-4499-45d0-ba1f-1c8dbc6f2342,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Primary iron output was 297,700 tonnes , 14.5 percent more than last July and 0.1 percent more than in June . 
 Label: JJ NN NN VBD CD NNS , CD NN RBR IN JJ NNP CC CD NN RBR IN IN NNP .
Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:A person with digestion issues eats a meat-filled breakfast, what does he feel? 
A. heartburn 
B. overeating 
C. happiness 
D. being satisfied 
E. gain energy 
 Answer: A
Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: Iron(II) gluconate, or ferrous gluconate, is a black compound often used as an iron supplement. It is the iron(II) salt of gluconic acid. It is marketed under brand names such as Fergon, Ferralet and Simron. 
 Question:is iron gluconate the same as ferrous gluconate 
 Answer: True
Definition: Given two question pairs do text classification based on whether they are duplicates or not. The questions are mined from the popular online discussion forum Quora. As duplicate quetion might be present on Quora, the task is to label two identical questions as ""duplicate"" if they ask the same query else label the pair as ""not duplicate"".
Question 1: What percentage of the Earth's mass is contained in its iron core? 
 Question 2:Who measured the mass of earth? 
 Label: not duplicate
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Iron is present in all, EXCEPT 
A. Myoglobin 
B. Cytochrome 
C. Catalase 
D. Pyruvate kinase 
 Answer:", B,D
685afed9-5dfa-4383-9001-50148cf6cb99,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Showers and rain 0.25-1.00 inch ( 6-25 mm ) and locally heavier through most of central and south central India , up to 0.75 inch ( 19 mm ) in 75 percent of north central India , and only isolated up to 0.50 inch ( 13 mm ) elsewhere over India . 
 Label: NN CC NN CD NN ( CD NN ) CC RB JJR IN JJS IN JJ CC RB DT NNP , IN TO CD NN ( CD NN ) IN CD NN IN JJ JJ NNP , CC RB VBN RB TO CD NN ( CD NN ) RB IN NNP .
Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:What does the sky do before a rain? 
A. appear beautiful 
B. appear blue 
C. shows a rainbow 
D. rain water 
E. cloud over 
 Answer: E
Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: Rainfall and the tropical climate dominate the tropical rain belt, which oscillates from the northern to the southern tropics over the course of the year, roughly following the solar equator. The tropical rain belt is an area of active rain that is positioned mostly around the tropics. According to the website Journey North, the reason the rain belt is situated near the tropics can be attributed to the fact that most of the sun's radiation is directed toward the equator, which is located in the middle of the tropics. This solar radiation generates large amounts of heat near the equator providing tropical regions with higher temperatures than most other regions on Earth. 
 Question:does it rain a lot in the tropics 
 Answer: True
Definition: Given two question pairs do text classification based on whether they are duplicates or not. The questions are mined from the popular online discussion forum Quora. As duplicate quetion might be present on Quora, the task is to label two identical questions as ""duplicate"" if they ask the same query else label the pair as ""not duplicate"".
Question 1: Atmospheric Science: How long does it take for a water parcel to travel through the entire length of the meridional overturning circulation? 
 Question 2:Atmospheric Science: Is the meridional overturning circulation the reason why the ITCZ is in the NH more than it is in the SH, and why it rains more in the NH tropics than the SH tropics? 
 Label: not duplicate
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Anti monsoon curve seen in : 
A. Premolar 
B. Molar 
C. Anterior 
D. All of the above. 
 Answer:", A,D
e726a65e-0874-481f-b20e-717b951a7b73,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: In the experiment , between 30 to 40 percent of the muscle fibers in one group of mice produced dystrophin for two weeks before diminishing . 
 Label: IN DT NN , IN CD TO CD NN IN DT NN NNS IN CD NN IN NNS VBD NN IN CD NNS IN VBG .
Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:The person tried to reduce his weight with a shrink ray, but he got it backwards and only did what? 
A. grow 
B. gain weight 
C. make larger 
D. augment 
E. get bigger 
 Answer: C
Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: Short stature is a common replacement of the term 'dwarfism', especially in a medical context. Short stature is clinically defined as a height within the lowest 2.3% of those in the general population. However, those with mild skeletal dysplasias may not be affected by dwarfism. In some cases of untreated hypochondroplasia, males grow up to 5 feet 5 inches. Though that is short in a relative context, it does not fall into the extreme ranges of the growth charts. 
 Question:can you be short and not a dwarf 
 Answer: True
Definition: Given two question pairs do text classification based on whether they are duplicates or not. The questions are mined from the popular online discussion forum Quora. As duplicate quetion might be present on Quora, the task is to label two identical questions as ""duplicate"" if they ask the same query else label the pair as ""not duplicate"".
Question 1: Can a man's height increase after 20? 
 Question 2:Is it possible to increase the body height after 20? 
 Label: duplicate
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Increase in height of mandible with increase in interdental spaces in elderly man 
A. Hyperpituitarism 
B. Hyperthyroidism 
C. Hypopituitarism 
D. Hyperparathyroidism 
 Answer:", C,A
0190a0f3-416a-4d56-a172-7738b023fd28,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Both drugs are types of interferon . 
 Label: DT NNS VBP NNS IN NN .
Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:After recovering from the disease, what did the doctor call the patient? 
A. healthy 
B. passing around 
C. cure 
D. wellness 
E. healthy 
 Answer: A
Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: Although people typically use the word ``antihistamine'' to describe drugs for treating allergies, doctors and scientists use the term to describe a class of drug that opposes the activity of histamine receptors in the body. In this sense of the word, antihistamines are subclassified according to the histamine receptor that they act upon. The two largest classes of antihistamines are H-antihistamines and H-antihistamines. Antihistamines that target the histamine H-receptor are used to treat allergic reactions in the nose (e.g., itching, runny nose, and sneezing) as well as for insomnia. They are sometimes also used to treat motion sickness or vertigo caused by problems with the inner ear. Antihistamines that target the histamine H-receptor are used to treat gastric acid conditions (e.g., peptic ulcers and acid reflux). H-antihistamines work by binding to histamine H receptors in mast cells, smooth muscle, and endothelium in the body as well as in the tuberomammillary nucleus in the brain; H-antihistamines bind to histamine H receptors in the upper gastrointestinal tract, primarily in the stomach. 
 Question:is histamine an agonist for h1 and h2 receptors 
 Answer: True
Definition: Given two question pairs do text classification based on whether they are duplicates or not. The questions are mined from the popular online discussion forum Quora. As duplicate quetion might be present on Quora, the task is to label two identical questions as ""duplicate"" if they ask the same query else label the pair as ""not duplicate"".
Question 1: How do you get cough syrup with codeine prescribed from a doctor? 
 Question 2:How can I get prescribed codeine promethazine cough syrup from my doctor? 
 Label: not duplicate
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:A patient has seasonal allergic rhinitis and is on terfenadine. He develops cardiac arrhythmias after a course of antibiotics. Which of the following antibiotic could have been given: 
A. Ampicillin 
B. Tetracycline 
C. Erythromycin 
D. Co-trimoxazole 
 Answer:", A,C
f2ed694c-991d-40e5-a191-25c076168ea6,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: IPO FILING - Transkaryotic Therapies Inc . 
 Label: NN NN : NNP NNPS NNP .
Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:What is a form of anaerobic exercising? 
A. shortness of breath 
B. lift weights 
C. error 
D. fall down 
E. run 
 Answer: E
Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: In molecular biology, transformation is the genetic alteration of a cell resulting from the direct uptake and incorporation of exogenous genetic material from its surroundings through the cell membrane(s). For transformation to take place, the recipient bacteria must be in a state of competence, which might occur in nature as a time-limited response to environmental conditions such as starvation and cell density, and may also be induced in a laboratory. 
 Question:is it possible for bacteria to undergo genetic transformation naturally 
 Answer: True
Definition: Given two question pairs do text classification based on whether they are duplicates or not. The questions are mined from the popular online discussion forum Quora. As duplicate quetion might be present on Quora, the task is to label two identical questions as ""duplicate"" if they ask the same query else label the pair as ""not duplicate"".
Question 1: If heat kills bacteria, why do bacteria thrive in warm enviornments? 
 Question 2:Why does bacteria grow better in warm areas? 
 Label: duplicate
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Biofilm forming bacteria causes antimicrobial resist-ance by all of the following except: 
A. Mechanical barrier 
B. Increased excretion of antibiotics 
C. Altered metabolism 
D. Adherence 
 Answer:", A,D
e7f023ea-2147-47d3-9f2a-61fb60a900be,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Both drugs are types of interferon . 
 Label: DT NNS VBP NNS IN NN .
Definition: The following task relates to commonsense reasoning. It consists of a question that can be easily solved using logical abilities and reasoning, a set of five options  ""A."", ""B."", ""C."", ""D."" and ""E."" are also provided along with the question, one of these options answers the question logically. Use your reasoning ability to select the most appropriate answer from the provided choices ""A."", ""B."", ""C."", ""D."" and ""E."" and assign these choices (i.e  ""A."", ""B."", ""C."", ""D."" and ""E."") as the label
Question:After recovering from the disease, what did the doctor call the patient? 
A. healthy 
B. passing around 
C. cure 
D. wellness 
E. healthy 
 Answer: A
Definition: Given a context and a question do binary true and false type text classification. You are given a passage as context and a question related to the passage that can be answered as ""True"" or ""False"". Based on the context, question and your reasoning ability answer in a ""True"" and ""False"".
Context: Several classes of antibiotics are effective in treating bubonic plague. These include aminoglycosides such as streptomycin and gentamicin, tetracyclines (especially doxycycline), and the fluoroquinolone ciprofloxacin. Mortality associated with treated cases of bubonic plague is about 1--15%, compared to a mortality of 40--60% in untreated cases. 
 Question:is there a treatment for the bubonic plague 
 Answer: True
Definition: Given two question pairs do text classification based on whether they are duplicates or not. The questions are mined from the popular online discussion forum Quora. As duplicate quetion might be present on Quora, the task is to label two identical questions as ""duplicate"" if they ask the same query else label the pair as ""not duplicate"".
Question 1: What supplement is a good replacement to viagra? 
 Question 2:What is the best otc supplement alternative to viagra? 
 Label: duplicate
Definition: Given a multiple choice question containing four options ""A."", ""B."", ""C."" and ""D."" from a medical entrance exam. The question is related to a sub-field of medical science like Microbiology, Radiology, Ophthalmology, Surgery, Human anatomy, etc. Based on the question, the option and your knowledge of the medical field select the most appropriate answer from the provided choices ""A."", ""B."", ""C."" and ""D."".
Question:Which of these drugs is an antidote for fibrinolytic therapy? 
A. Epsilon aminocaproic acid 
B. Protamine 
C. Heparin 
D. Streptokinase 
 Answer:", A,A
