id,prompt,pred,true_label
4,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Charles Visits Jordan Coach Crash Survivors The Prince of Wales said his heart goes out to the relatives of nine British tourists killed in a bus crash in Jordan. Charles, who was an official  
 Label: world
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Cameron decided to have a barbecue and gathered her friends together.
 Question: How would Others feel as a result?
A. Like attending 
B. Like staying home 
C. A good friend to have 
 Answer: A 
Context: Jordan was in charge of taking the food on the camping trip and left all the food at home. 
 Question:How would Jordan feel afterwards? 
A. horrible that he let his friends down on the camping trip 
B. happy that he doesn't need to do the cooking on the trip 
C. very proud and accomplished about the camping trip 
 Answer:", B ,A
12,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Reds carry Kewell While standing in a queue for what proved to be an undercooked cheeseburger, the script for Sunday afternoon #39;s Insider report was suggested. 
 Label: sports
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Cameron decided to have a barbecue and gathered her friends together.
 Question: How would Others feel as a result?
A. Like attending 
B. Like staying home 
C. A good friend to have 
 Answer: A 
Context: Alex walked Robin towards the execution chamber for her last meal. 
 Question:Why did Alex do this? 
A. work at the jail 
B. So Robin can eat 
C. release her 
 Answer:", B ,A
24,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Olympics: Rowers Reprimanded Over 'Lay Down Sally'  ATHENS (Reuters) - In one of the most bizarre episodes to  erupt at the Athens Olympics, the Australian women's eight  rowing crew were reprimanded on Tuesday for laying in to ""Lay  Down Sally."" 
 Label: sports
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Cameron decided to have a barbecue and gathered her friends together.
 Question: How would Others feel as a result?
A. Like attending 
B. Like staying home 
C. A good friend to have 
 Answer: A 
Context: Riley had twisted their leg and began to hurt so bad that they could not walk. 
 Question:What does Riley need to do before this? 
A. lie down 
B. run 
C. Sit and relax 
 Answer:", A ,B
25,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Sponsorship woes still dog Martin heading into new year (Canadian Press) Canadian Press - OTTAWA (CP) - Paul Martin knew it wouldn't be easy to explain the sponsorship scandal to Canadian voters. 
 Label: world
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Cameron decided to have a barbecue and gathered her friends together.
 Question: How would Others feel as a result?
A. Like attending 
B. Like staying home 
C. A good friend to have 
 Answer: A 
Context: Carson was at a friend's house but suddenly announced they needed to go home. 
 Question:Why did Carson do this? 
A. caught a bus 
B. called a cab 
C. forgot to feed the dog 
 Answer:", B ,C
26,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Students Show Mixed Science, Math Scores (AP) AP - U.S. eighth-graders are gaining on their peers across the globe in science and math, but fourth-graders are being passed as their test scores remain stagnant, according to an international review of school performance. 
 Label: technology
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Cameron decided to have a barbecue and gathered her friends together.
 Question: How would Others feel as a result?
A. Like attending 
B. Like staying home 
C. A good friend to have 
 Answer: A 
Context: Taylor taught math in the schools after studying to be a teacher for four years. 
 Question:What does Taylor need to do before this? 
A. get a certificate 
B. teach small children 
C. work in a school 
 Answer:", A ,A
29,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Video games the answer to society #39;s happiness It #39;s almost the end of the semester and many male students are turning to video games, instead of the Internet, to relieve some much built-up stress. 
 Label: technology
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Cameron decided to have a barbecue and gathered her friends together.
 Question: How would Others feel as a result?
A. Like attending 
B. Like staying home 
C. A good friend to have 
 Answer: A 
Context: kai was bored and had nothing to do so he played card games. 
 Question:What will Kai want to do next? 
A. do math homework 
B. do nothing 
C. watch television 
 Answer:", B ,C
33,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: The New New York Skyline The city's profile is about to undergo an extreme makeover, and \$30 million flying town houses are just the beginning. 
 Label: world
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Cameron decided to have a barbecue and gathered her friends together.
 Question: How would Others feel as a result?
A. Like attending 
B. Like staying home 
C. A good friend to have 
 Answer: A 
Context: jan took them to NYC so that they could experience the city for the first time. 
 Question:What will Others want to do next? 
A. look around 
B. look nowhere 
C. make sure they get a good first impression of NYC 
 Answer:", B ,A
34,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Cheney Slip Sends Surfers to Wrong Site (AP) AP - All he wanted were the facts. But Dick Cheney ended up generating confusion_ and lots of it. 
 Label: technology
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Cameron decided to have a barbecue and gathered her friends together.
 Question: How would Others feel as a result?
A. Like attending 
B. Like staying home 
C. A good friend to have 
 Answer: A 
Context: Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
 Question:Why did Tracy do this? 
A. tracy who has through watching the history channel 
B. prove that they know the truth 
C. tracy who has got alot of details wrong 
 Answer:", B ,B
37,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Hard feelings likely to linger Parting with Syracuse and the Big East was such sweet sorrow for Boston College after the 17th-ranked Eagles, playing their final game as a Big East member, absorbed a ruinous 43-17 loss yesterday that prevented them from winning the conference title outright and clinching a Bowl Championship Series berth. 
 Label: sports
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Cameron decided to have a barbecue and gathered her friends together.
 Question: How would Others feel as a result?
A. Like attending 
B. Like staying home 
C. A good friend to have 
 Answer: A 
Context: Carson returned to Robin's house after previously storming out during a huge fight. 
 Question:How would Carson feel afterwards? 
A. proud 
B. humiliated 
C. happy 
 Answer:", B ,B
42,"Definition: Given a sentence do text classification, the sentence is a clipping from a news article that may be either related to sports, business, technology, or world news. You are to recognize the category of the sentence and label them as ""sports"", ""business"", ""technology"" or ""world"" news
Sentence: Israeli president urges Syria dialogue Israeli President Moshe Katsav has urged the government to respond positively to a Syrian offer to resume peace negotiations. Although Katsav #39;s role is largely ceremonial, his comments on Thursday were in  
 Label: world
Definition: Given an action as the context and a related question, you are to answer the question based on the context using your social intelligence. The question is of multiple choice form with three options ""A"", ""B"" and ""C"". Select the most appropriate answer from the provided choices ""A"", ""B"" and ""C"".
Context: Cameron decided to have a barbecue and gathered her friends together.
 Question: How would Others feel as a result?
A. Like attending 
B. Like staying home 
C. A good friend to have 
 Answer: A 
Context: jordan wanted to be nice to a girl so he took her to the shoe store. 
 Question:What does Jordan need to do before this? 
A. buy the girl some shoes 
B. ask the girl on a date 
C. be kind 
 Answer:", A ,B
