id,prompt,pred,true_label
4,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: the depths  
 Label: positive
Sentence: the buoyant energy level  
 Label: positive
Sentence: on other levels  
 Label: positive
Sentence: midway point  
 Label: positive
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What is the height above or below sea level called?
A. elevation
B. depth
C. variation
D. latitude 
 Answer:", A,A
5,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: climate  
 Label: positive
Sentence: , ice age is consistently amusing and engrossing ...  
 Label: positive
Sentence: finds warmth in the coldest environment and  
 Label: positive
Sentence: against the frozen winter landscapes of grenoble and geneva  
 Label: positive
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Ice cores, varves and what else indicate the environmental conditions at the time of their creation?
A. fossils
B. tree rings
C. magma
D. mountain ranges 
 Answer:", B,B
8,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: against a tree  
 Label: positive
Sentence: strangely comes off as a kingdom more mild than wild .  
 Label: positive
Sentence: will argue that it ranks with the best of herzog 's works  
 Label: positive
Sentence: more elves and snow and  
 Label: negative
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Which type of tree is dominant in temperate forests?
A. fungus
B. deciduous
C. shrubs
D. vines 
 Answer:", A. fungus,B
10,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: the artwork is spectacular and unlike most animaton from japan , the characters move with grace and panache .  
 Label: positive
Sentence: each of these stories has the potential for touched by an angel simplicity and sappiness ,  
 Label: positive
Sentence: ably balances real-time rhythms with propulsive incident .  
 Label: positive
Sentence: an ` a ' list cast and some strong supporting players  
 Label: positive
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?
A. occasional array
B. normal array
C. incorrect array
D. regular array 
 Answer:", A,D
12,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: flounders  
 Label: negative
Sentence: lots of cute animals and clumsy people  
 Label: positive
Sentence: most generic  
 Label: negative
Sentence: a schlocky creature  
 Label: negative
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What are by far the most common type of invertebrate?
A. corals
B. insects
C. crustaceans
D. spiders 
 Answer:", A,B
14,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: to farts , urine , feces , semen , or any of the other foul substances  
 Label: negative
Sentence: biologically  
 Label: positive
Sentence: farts , boobs ,  
 Label: negative
Sentence: pokes , provokes ,  
 Label: positive
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Penis, testes, and epididymis are organs in what system?
A. plant reproductive system​
B. male reproductive system
C. virus reproductive system​
D. female reproductive system​ 
 Answer:", B,B
17,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: against a tree  
 Label: positive
Sentence: modernizes a.e.w. mason 's story to suit the sensibilities of a young american , a decision that plucks `` the four feathers '' bare .  
 Label: positive
Sentence: , you will enjoy seeing how both evolve  
 Label: positive
Sentence: a.e.w. mason 's story to suit the sensibilities of a young american , a decision that plucks `` the four feathers '' bare  
 Label: negative
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:The bird ancestor that lived in trees developed what feature commonly associated with birds?
A. wings
B. tails
C. beaks
D. webbed feet 
 Answer:", A,A
20,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: of unsettling atmospherics  
 Label: negative
Sentence: of intoxicating atmosphere and little else  
 Label: negative
Sentence: the buoyant energy level  
 Label: positive
Sentence: intoxicating atmosphere and  
 Label: positive
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What term means the amount of water vapor in the air?
A. pressure
B. humidity
C. temperature
D. ambient 
 Answer:", B,B
22,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: biologically  
 Label: positive
Sentence: animal  
 Label: positive
Sentence: vacuous  
 Label: negative
Sentence: distinguishes  
 Label: positive
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?
A. heterotroph
B. reproductive
C. animal
D. plant 
 Answer:", A,D
24,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: the biggest problem i have ( other than the very sluggish pace ) is we never really see her esther blossom as an actress , even though her talent is supposed to be growing .  
 Label: negative
Sentence: , this is likely to cause massive cardiac arrest if taken in large doses .  
 Label: negative
Sentence: that it risks monotony  
 Label: negative
Sentence: ( macdowell ) ventures beyond her abilities several times here and reveals how bad an actress she is .  
 Label: negative
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question:What are people with osteoporosis at increased risk of?
A. epilepsy
B. growth spurt
C. senility
D. bone fractures 
 Answer:", B,D
