id,prompt,pred,true_label
Mercury_7175875,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: far more impact  
 Label: positive
Sentence: much dramatic impact  
 Label: positive
Sentence: the true impact of the day  
 Label: positive
Sentence: the true impact  
 Label: positive
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?
A. Planetary density will decrease.
B. Planetary years will become longer.
C. Planetary days will become shorter.
D. Planetary gravity will become stronger. 
 Answer:", B. Planetary years will become longer.,C
Mercury_407327,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: provides a nice change of mindless pace in collision  
 Label: positive
Sentence: predictable than their consequences  
 Label: negative
Sentence: drag as soon as the action speeds up  
 Label: negative
Sentence: , is repellantly out of control .  
 Label: negative
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?
A. the control
B. the hypothesis statement
C. the dependent (responding) variable
D. the independent (manipulated) variable 
 Answer:", A. the control,D
Mercury_7086660,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: climate  
 Label: positive
Sentence: this region and its inhabitants  
 Label: positive
Sentence: against a tree  
 Label: positive
Sentence: aground  
 Label: negative
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?
A. There was once more water in the area.
B. The area was once grassland.
C. The climate in the area was once tropical.
D. There are active faults in the area. 
 Answer:", B,C
Mercury_7012740,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: ocean visuals  
 Label: positive
Sentence: sumptuous ocean visuals  
 Label: positive
Sentence: sand , who brings to the role her pale , dark beauty and characteristic warmth  
 Label: positive
Sentence: go to a picture-perfect beach during sunset  
 Label: positive
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Which statement best describes the effect of the Sun on the oceans?
A. The Sun influences the formation of waves.
B. The Sun creates water particles.
C. The Sun's rays cause organisms to come to the surface.
D. The Sun provides minerals. 
 Answer:", B,A
Mercury_LBS10610,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: but then again , i hate myself most mornings .  
 Label: negative
Sentence: finds warmth in the coldest environment and  
 Label: positive
Sentence: claustrophic , suffocating and chilly  
 Label: negative
Sentence: cold , gray , antiseptic and  
 Label: negative
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:The morning temperature in a city is 41°F. If a sunny, mild day is forecast, which temperature is most likely for 2:00 p.m.?
A. 32° F
B. 41° F
C. 78° F
D. 98° F 
 Answer:", B. 41° F,C
Mercury_7186568,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: drumline is its energy  
 Label: positive
Sentence: the dialogue and drama often food-spittingly funny  
 Label: positive
Sentence: the dialogue and drama often food-spittingly  
 Label: negative
Sentence: take before indigestion sets in  
 Label: negative
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. What is the main role of lysosomes in the process of food digestion?
A. building proteins
B. breaking down wastes
C. controlling the activities of the cell
D. converting energy from one form into another 
 Answer:", B,B
Mercury_402216,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: a potent chemistry  
 Label: positive
Sentence: follows the formula ,  
 Label: negative
Sentence: energetic and  
 Label: positive
Sentence: sweet , genuine chemistry  
 Label: positive
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:When an electric current is passed through water (H_{2}O) using a specific apparatus, hydrogen (H_{2}) and oxygen (O_{2}) gases form. How can this reaction be shown in a chemical equation?
A. H_{2}O -> H + O + H
B. 2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g)
C. H:O:H -> H_{2}O
D. H_{2}O(l) -> 2H(g) + O(g) 
 Answer:", B,B
MCAS_2002_8_11,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: a nice cool glass of iced tea  
 Label: positive
Sentence: finds warmth in the coldest environment and  
 Label: positive
Sentence: glass 's dirgelike score  
 Label: positive
Sentence: claustrophic , suffocating and chilly  
 Label: negative
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:A glass of water at 110°F is placed in a room next to a glass of water that is 50°F. The temperature of the room is 73°F at all times. If the two glasses were left in the room overnight, the temperature for both glasses of water the next day would be approximately
A. 43°F.
B. 50°F.
C. 73°F.
D. 90°F. 
 Answer:", B. 50°F.,C
Mercury_SC_405086,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: of unsettling atmospherics  
 Label: negative
Sentence: by storm  
 Label: positive
Sentence: two flagrantly fake thunderstorms  
 Label: negative
Sentence: one but two flagrantly fake thunderstorms  
 Label: negative
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Snow, rain, hail, and fog are all forms of
A. gas.
B. water.
C. wind.
D. clouds. 
 Answer:", B. water.,B
Mercury_SC_408324,"Definition: Given a movie review do text classification, based on the sentiment conveyed by the review label it as ""positive"" or ""negative""
Sentence: was that movie nothing more than a tepid exercise in trotting out a formula that worked five years ago but has since lost its fizz ?  
 Label: negative
Sentence: cold porridge  
 Label: negative
Sentence: sealed in a jar and left on a remote shelf indefinitely  
 Label: negative
Sentence: starts as a tart little lemon drop of a movie and  
 Label: positive
Definition: Given a question answering task from the 3rd to 9th-grade science exam. The question contains four options ""A."", ""B."", ""C."" and ""D."" Select the most appropriate choice that answers the question
Question:Scott filled a tray with juice and put it in a freezer. The next day, Scott opened the freezer. How did the juice most likely change?
A. It condensed.
B. It evaporated.
C. It became a gas.
D. It became a solid. 
 Answer:", B,D
