id,prompt,pred,true_label
4,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Temperatures at ground level can be 2.0 to 5.0 Celsius lower than at chest level depending on windspeed , sky conditions and ground surface moisture . 
 Label: NNS IN NN NN MD VB CD TO CD NNP RBR IN IN NN NN VBG IN JJ , NN NNS CC NN NN NN .
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:What is the height above or below sea level called?
A. elevation
B. depth
C. variation
D. latitude 
 Answer:", A,A
5,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: The area is filled with treacherous mountain peaks , ice fields and frigid waters . 
 Label: DT NN VBZ VBN IN JJ NN NNS , NN NNS CC JJ NNS .
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:Ice cores, varves and what else indicate the environmental conditions at the time of their creation?
A. fossils
B. tree rings
C. magma
D. mountain ranges 
 Answer:", B,B
8,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: RESEARCH ALERT - Royal Oak initiated . 
 Label: NNP NNP : NNP NNP VBD .
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:Which type of tree is dominant in temperate forests?
A. fungus
B. deciduous
C. shrubs
D. vines 
 Answer:", B,B
10,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Montana weekly muni bond indices - Piper Jaffray . 
 Label: NNP JJ JJ NN NNS : NNP NNP .
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?
A. occasional array
B. normal array
C. incorrect array
D. regular array 
 Answer:", D,D
12,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: 4. Faroe Islands 8.56 
 Label: CD NNP NNPS CD
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:What are by far the most common type of invertebrate?
A. corals
B. insects
C. crustaceans
D. spiders 
 Answer:", B,B
14,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Industrial systems and components 
 Label: NNP NNS CC NNS
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:Penis, testes, and epididymis are organs in what system?
A. plant reproductive system​
B. male reproductive system
C. virus reproductive system​
D. female reproductive system​ 
 Answer:", B,B
17,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: He had another birdie on the 17th , where he his a 6-iron to six feet . 
 Label: PRP VBD DT NN IN DT JJ , WRB PRP PRP$ DT JJ TO CD NNS .
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:The bird ancestor that lived in trees developed what feature commonly associated with birds?
A. wings
B. tails
C. beaks
D. webbed feet 
 Answer:", A,A
20,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: Oklahoma 's Agricultural Statistics Service showed similar conditions , rating topsoil moisture levels as seven percent surplus , 81 percent adequate and 12 percent short to very short . 
 Label: NNP POS NNP NNP NNP VBD JJ NNS , NN NN NN NNS IN CD NN NN , CD NN JJ CC CD NN RB TO RB JJ .
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:What term means the amount of water vapor in the air?
A. pressure
B. humidity
C. temperature
D. ambient 
 Answer:", B,B
22,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: They show that the gendarmes were aware that Dutroux was building cells in some of his houses for holding children , yet this information was either not passed on to other police forces searching for the missing girls or was overlooked when it was . 
 Label: PRP VB IN DT NNS VBD JJ IN NNP VBD VBG NNS IN DT IN PRP$ NNS IN VBG NNS , CC DT NN VBD CC RB VBN IN TO JJ NN NNS VBG IN DT VBG NNS CC VBD VBN WRB PRP VBD .
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?
A. heterotroph
B. reproductive
C. animal
D. plant 
 Answer:", D,D
24,"Definition: Given a sentence do token classification by doing Part-of-speech (POS) tagging, which is a process in natural language processing (NLP) where each word in a text is labeled with its corresponding part of speech. This can include nouns, verbs, adjectives, and other grammatical categories.
Sentence: In addition to social ostracism , the condition also carries a high risk of cancer . 
 Label: IN NN TO JJ NN , DT NN RB VBZ DT JJ NN IN NN .
Definition: Given a question from a scientific exam about Physics, Chemistry, and Biology, among others. The question is in multiple choice format with four answer options ""A."", ""B."", ""C."" and ""D."". Using your knowledge about the scientific fields answer the question and provide the label ""A"", ""B"", ""C"" and ""D"" as answer
Question: What type of organism is commonly used in preparation of foods such as cheese and yogurt?
A. Viruses 
B. Protozoa 
C. Gymnosperms 
D. Mesophilic organisms 
 Answer: D 
Question:What are people with osteoporosis at increased risk of?
A. epilepsy
B. growth spurt
C. senility
D. bone fractures 
 Answer:", D,D
